1311	Fri Jul 29 23:21:32 +0000 2011	4b515f58f964a520f54b27e3	{Sparky's Pub}	{29.44236597078677,-98.4938212308628,San Antonio,TX,United States}	{Nightlife Spot,}
1311	Sat Feb 27 03:01:52 +0000 2010	4c75c7f566be6dcb6f96c10f	{Cahuenga Luxury Hills Apt}	{34.11328131981558,-118.32866140184572,Los Angeles,CA,United States}	{Residence,}
1311	Sat Feb 27 02:34:28 +0000 2010	4b04754bf964a520515422e3	{McDonald's}	{34.096624929819015,-118.32702611200882,Los Angeles,CA,United States}	{Food,}
1311	Fri Feb 26 22:15:22 +0000 2010	4bb91bc9cf2fc9b69840a002	{Walmart Supercenter}	{33.9852817549052,-118.10473821168866,Pico Rivera,CA,United States}	{Shop & Service,}
1311	Fri Feb 26 22:15:22 +0000 2010	4bb91bc9cf2fc9b69840a002	{Walmart Supercenter}	{33.9852817549052,-118.10473821168866,Pico Rivera,CA,United States}	{Shop & Service,}
1311	Fri Feb 26 21:34:10 +0000 2010	4b81b87ff964a520e2b930e3	{SUBWAY}	{33.95364821743119,-118.13129482607222,Downey,CA,United States}	{Food,}
1311	Fri Feb 26 21:34:09 +0000 2010	4b81b87ff964a520e2b930e3	{SUBWAY}	{33.95364821743119,-118.13129482607222,Downey,CA,United States}	{Food,}
1311	Fri Feb 26 05:11:10 +0000 2010	4bc28908461576b03d9e7d32	{Elephant Bar}	{33.926907777786255,-118.12996621666667,Downey,CA,United States}	{Food,}
1311	Thu Feb 25 06:19:25 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Thu Feb 25 04:58:44 +0000 2010	4b787707f964a5202cd02ee3	{ArcLight Hollywood Cafe & Bar}	{34.097164295883516,-118.32833290100098,Los Angeles,CA,United States}	{Food,Arts & Entertainment,Movie Theater,}
1311	Thu Feb 25 04:52:26 +0000 2010	42893400f964a5205f231fe3	{ArcLight Cinemas Hollywood}	{34.09722897058994,-118.32819077603945,Los Angeles,CA,United States}	{Arts & Entertainment,Movie Theater,}
1311	Wed Feb 24 05:22:20 +0000 2010	4b74b0dbf964a520aeec2de3	{Western Apts}	{33.94561526,-118.1326,Downey,CA,United States}	{}
1311	Wed Feb 24 00:30:43 +0000 2010	4b8472e7f964a520193631e3	{76 Gas Station}	{34.042824,-118.21927728333333,Los Angeles,CA,United States}	{Shop & Service,}
1311	Wed Feb 24 00:25:31 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Wed Feb 24 00:25:30 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Tue Feb 23 05:08:25 +0000 2010	4aecc023f964a520e9ca21e3	{Arco}	{34.09046961971285,-118.35507988929749,Los Angeles,CA,United States}	{Shop & Service,}
1311	Tue Feb 23 04:18:10 +0000 2010	4a7251d4f964a520e1da1fe3	{Joey's Cafe}	{34.090802811206025,-118.37047576904297,West Hollywood,CA,United States}	{Food,}
1311	Tue Feb 23 04:06:13 +0000 2010	4b83542ff964a520a80231e3	{Oranda Aquarium}	{34.090302,-118.34738693,Los Angeles,CA,United States}	{}
1311	Tue Feb 23 03:45:37 +0000 2010	4c75c7f566be6dcb6f96c10f	{Cahuenga Luxury Hills Apt}	{34.11328131981558,-118.32866140184572,Los Angeles,CA,United States}	{Residence,}
1311	Tue Feb 23 03:45:37 +0000 2010	4c75c7f566be6dcb6f96c10f	{Cahuenga Luxury Hills Apt}	{34.11328131981558,-118.32866140184572,Los Angeles,CA,United States}	{Residence,}
1311	Tue Feb 23 02:59:30 +0000 2010	4adb6a4ef964a520302721e3	{Anna's Linens - Pico Rivera}	{33.98294342004514,-118.09985162967465,Pico Rivera,CA,United States}	{}
1311	Tue Feb 23 02:33:52 +0000 2010	4b833e8bf964a520f1fe30e3	{Ross}	{33.983585,-118.10085277,Pico Rivera,CA,United States}	{Shop & Service,}
1311	Tue Feb 23 00:41:12 +0000 2010	4bb91bc9cf2fc9b69840a002	{Walmart Supercenter}	{33.9852817549052,-118.10473821168866,Pico Rivera,CA,United States}	{Shop & Service,}
1311	Mon Feb 22 02:17:08 +0000 2010	4c75c7f566be6dcb6f96c10f	{Cahuenga Luxury Hills Apt}	{34.11328131981558,-118.32866140184572,Los Angeles,CA,United States}	{Residence,}
1311	Mon Feb 22 01:40:34 +0000 2010	4a5548daf964a52004b41fe3	{Ralphs}	{34.069676,-118.343659,Los Angeles,CA,United States}	{Shop & Service,Food & Drink Shop,}
1311	Mon Feb 22 00:54:35 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Sun Feb 21 23:48:39 +0000 2010	4b72f99af964a52059932de3	{PLS Loan Store}	{34.044592597831205,-118.27650987026972,Los Angeles,CA,United States}	{Shop & Service,}
1311	Sun Feb 21 23:07:58 +0000 2010	4b7db7f0f964a52052d02fe3	{Chevron}	{33.946797194559025,-118.14981977103525,Downey,CA,United States}	{Shop & Service,}
1311	Sun Feb 21 23:07:58 +0000 2010	4b7db7f0f964a52052d02fe3	{Chevron}	{33.946797194559025,-118.14981977103525,Downey,CA,United States}	{Shop & Service,}
1311	Sun Feb 21 22:49:44 +0000 2010	4b81b87ff964a520e2b930e3	{SUBWAY}	{33.95364821743119,-118.13129482607222,Downey,CA,United States}	{Food,}
1311	Sun Feb 21 15:17:51 +0000 2010	4b74b0dbf964a520aeec2de3	{Western Apts}	{33.94561526,-118.1326,Downey,CA,United States}	{}
1311	Sun Feb 21 00:44:16 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Sat Feb 20 22:32:09 +0000 2010	4b74b0dbf964a520aeec2de3	{Western Apts}	{33.94561526,-118.1326,Downey,CA,United States}	{}
1311	Sat Feb 20 18:01:16 +0000 2010	4b7efe91f964a520ff0e30e3	{Sprint}	{33.93729329109192,-118.12835812568665,Downey,CA,United States}	{Shop & Service,}
1311	Sat Feb 20 18:01:16 +0000 2010	4b7efe91f964a520ff0e30e3	{Sprint}	{33.93729329109192,-118.12835812568665,Downey,CA,United States}	{Shop & Service,}
1311	Sat Feb 20 17:56:59 +0000 2010	4b3047bdf964a52093f824e3	{Petco}	{33.9367726,-118.1284841,Downey,CA,United States}	{Shop & Service,}
1311	Sat Feb 20 17:56:58 +0000 2010	4b3047bdf964a52093f824e3	{Petco}	{33.9367726,-118.1284841,Downey,CA,United States}	{Shop & Service,}
1311	Fri Feb 19 22:35:45 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Fri Feb 19 21:11:51 +0000 2010	4b7efe91f964a520ff0e30e3	{Sprint}	{33.93729329109192,-118.12835812568665,Downey,CA,United States}	{Shop & Service,}
1311	Fri Feb 19 15:39:20 +0000 2010	4b74b0dbf964a520aeec2de3	{Western Apts}	{33.94561526,-118.1326,Downey,CA,United States}	{}
1311	Fri Feb 19 06:19:33 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Thu Feb 18 22:37:00 +0000 2010	4b74b0dbf964a520aeec2de3	{Western Apts}	{33.94561526,-118.1326,Downey,CA,United States}	{}
1311	Thu Feb 18 22:07:26 +0000 2010	4b7dba18f964a520e2d02fe3	{Juicymas}	{33.946628,-118.1500826030753,Downey,CA,United States}	{}
1311	Thu Feb 18 21:58:15 +0000 2010	4b7db7f0f964a52052d02fe3	{Chevron}	{33.946797194559025,-118.14981977103525,Downey,CA,United States}	{Shop & Service,}
1311	Thu Feb 18 21:52:40 +0000 2010	4b15502cf964a5200cb023e3	{StubHub Center}	{33.86385889756237,-118.26159954071045,Carson,CA,United States}	{Stadium,Arts & Entertainment,}
1311	Thu Feb 18 21:37:43 +0000 2010	4b50d603f964a520723427e3	{All American Home Center}	{33.94806360060072,-118.1534993834345,Downey,CA,United States}	{Shop & Service,Professional & Other Places,}
1311	Thu Feb 18 20:49:49 +0000 2010	4b5b85f8f964a520910429e3	{Ralphs}	{33.936226071112614,-118.12685471785777,Downey,CA,United States}	{Shop & Service,Food & Drink Shop,}
1311	Wed Feb 17 21:57:53 +0000 2010	4b74b0dbf964a520aeec2de3	{Western Apts}	{33.94561526,-118.1326,Downey,CA,United States}	{}
1311	Wed Feb 17 09:10:24 +0000 2010	4b10aa12f964a5208d7423e3	{SB Spring Lofts}	{34.04155116484553,-118.2468148139419,Los Angeles,CA,United States}	{Residence,}
1311	Wed Feb 17 08:55:55 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Wed Feb 17 01:06:55 +0000 2010	4b60c168f964a5208ef729e3	{Out Of The Closet}	{34.09057727,-118.36756516666667,West Hollywood,CA,United States}	{Shop & Service,}
1311	Tue Feb 16 02:26:24 +0000 2010	4a9b2cb5f964a520a73420e3	{Happy House}	{33.859753,-118.072111,Artesia,CA,United States}	{Food,}
1311	Tue Feb 16 01:59:13 +0000 2010	4b79fbe8f964a520bb1d2fe3	{Downey Community Health Center}	{33.93678754231209,-118.13179197400896,Downey,CA,United States}	{}
1311	Mon Feb 15 06:21:52 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Mon Feb 15 04:32:19 +0000 2010	4b74b0dbf964a520aeec2de3	{Western Apts}	{33.94561526,-118.1326,Downey,CA,United States}	{}
1311	Mon Feb 15 03:45:46 +0000 2010	4b64906ef964a52014be2ae3	{Chili's Grill & Bar}	{33.9835868,-118.0984514951706,Pico Rivera,CA,United States}	{Food,}
1311	Sun Feb 14 16:17:53 +0000 2010	4b74b0dbf964a520aeec2de3	{Western Apts}	{33.94561526,-118.1326,Downey,CA,United States}	{}
1311	Sun Feb 14 10:24:12 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Sun Feb 14 09:52:53 +0000 2010	4a261b8af964a520a57e1fe3	{DoubleTree By Hilton Los Angeles Downtown}	{34.05065344561217,-118.24308864981691,Los Angeles,CA,United States}	{Travel & Transport,Hotel,}
1311	Sun Feb 14 06:34:33 +0000 2010	4aac8e67f964a520415e20e3	{Spring tower lofts}	{34.045071,-118.252028,Los Angeles,CA,United States}	{Professional & Other Places,}
1311	Sun Feb 14 05:56:13 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Sun Feb 14 00:11:45 +0000 2010	4b773fbaf964a520988b2ee3	{Tiki's Tropical Fish}	{33.889498,-118.12712196,Bellflower,CA,United States}	{Shop & Service,}
1311	Sat Feb 13 22:03:14 +0000 2010	4b535e15f964a520579927e3	{Mimi's Cafe}	{33.93863876,-118.129799,Downey,CA,United States}	{Food,}
1311	Sat Feb 13 20:46:20 +0000 2010	4aaea2fdf964a520b66220e3	{VONS}	{34.097324,-118.287974,Los Angeles,CA,United States}	{Shop & Service,Food & Drink Shop,}
1311	Sat Feb 13 19:26:34 +0000 2010	4b71b349f964a52022572de3	{Chevron}	{33.99701324741376,-118.14604461193085,City Of Commerce,CA,United States}	{Shop & Service,}
1311	Sat Feb 13 19:26:33 +0000 2010	4b71b349f964a52022572de3	{Chevron}	{33.99701324741376,-118.14604461193085,City Of Commerce,CA,United States}	{Shop & Service,}
1311	Sat Feb 13 15:16:45 +0000 2010	4b74b0dbf964a520aeec2de3	{Western Apts}	{33.94561526,-118.1326,Downey,CA,United States}	{}
1311	Sat Feb 13 06:34:30 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Fri Feb 12 15:05:14 +0000 2010	4b74b0dbf964a520aeec2de3	{Western Apts}	{33.94561526,-118.1326,Downey,CA,United States}	{}
1311	Fri Feb 12 15:05:14 +0000 2010	4b74b0dbf964a520aeec2de3	{Western Apts}	{33.94561526,-118.1326,Downey,CA,United States}	{}
1311	Fri Feb 12 06:08:21 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Fri Feb 12 05:44:54 +0000 2010	4be9d7034f5576b0cb11b396	{Downtown Los Angeles Artwalk}	{34.04737608402853,-118.24942736345383,Los Angeles,CA,United States}	{Nightlife Spot,Museum,Arts & Entertainment,}
1311	Fri Feb 12 04:28:52 +0000 2010	4af791eff964a520e90922e3	{Ichiban Sushi}	{33.9417263737564,-118.13299769472592,Downey,CA,United States}	{Food,}
1311	Fri Feb 12 01:37:52 +0000 2010	4b74b0dbf964a520aeec2de3	{Western Apts}	{33.94561526,-118.1326,Downey,CA,United States}	{}
1311	Thu Feb 11 05:30:58 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Thu Feb 11 02:10:47 +0000 2010	4bdceb6cf1499c74448138f3	{Stater Bros.}	{33.94420463006503,-118.14178034699749,Downey,CA,United States}	{Shop & Service,Food & Drink Shop,}
1311	Thu Feb 11 02:10:46 +0000 2010	4bdceb6cf1499c74448138f3	{Stater Bros.}	{33.94420463006503,-118.14178034699749,Downey,CA,United States}	{Shop & Service,Food & Drink Shop,}
1311	Tue Feb 09 21:08:53 +0000 2010	4b400a5cf964a520adb425e3	{Aldo}	{34.07443,-118.37694,Los Angeles,CA,United States}	{Shop & Service,Clothing Store,}
1311	Tue Feb 09 20:56:13 +0000 2010	4b7b378af964a5209b582fe3	{H&M}	{34.07520925,-118.377207,Los Angeles,CA,United States}	{Shop & Service,Clothing Store,}
1311	Tue Feb 09 20:14:20 +0000 2010	4a7896caf964a520f7e51fe3	{Johnny Rockets}	{34.07367062652467,-118.37687015533447,Los Angeles,CA,United States}	{Food,}
1311	Tue Feb 09 19:28:26 +0000 2010	4a492436f964a52006ab1fe3	{LA Cafe}	{34.04501001399508,-118.25194358825684,Los Angeles,CA,United States}	{Food,}
1311	Tue Feb 09 19:11:35 +0000 2010	4b71b349f964a52022572de3	{Chevron}	{33.99701324741376,-118.14604461193085,City Of Commerce,CA,United States}	{Shop & Service,}
1311	Tue Feb 09 18:05:24 +0000 2010	4b3047bdf964a52093f824e3	{Petco}	{33.9367726,-118.1284841,Downey,CA,United States}	{Shop & Service,}
1311	Tue Feb 09 18:01:02 +0000 2010	4b71a2d9f964a520a8522de3	{U.S. Bank}	{33.94175260079271,-118.13148911394036,Downey,CA,United States}	{Shop & Service,}
1311	Sun Feb 07 23:52:31 +0000 2010	4bdceb6cf1499c74448138f3	{Stater Bros.}	{33.94420463006503,-118.14178034699749,Downey,CA,United States}	{Shop & Service,Food & Drink Shop,}
1311	Sun Feb 07 22:57:38 +0000 2010	4b491e1ef964a5209f6626e3	{Ziba Beauty (Stonewood Center)}	{33.935918774392945,-118.12105178833008,Downey,CA,United States}	{Shop & Service,}
