1105	Fri Aug 12 16:35:11 +0000 2011	4c3a5c593849c92883e3c2b1	{Bixby Knolls}	{33.832752326388494,-118.18534419740293,Long Beach,CA,United States}	{Shop & Service,Outdoors & Recreation,Arts & Entertainment,}
1105	Mon Aug 08 04:12:21 +0000 2011	4c34edb116adc92838fec59c	{Emerald Pointe  Apartments}	{33.96825826134299,-117.83700405507383,Diamond Bar,CA,United States}	{Residence,}
1105	Mon Aug 08 04:12:11 +0000 2011	4cd6fc2da5b34688f5bb9650	{The Emerald Pointe / The Childs Domain!}	{33.96825826134299,-117.83700405507383,,CA,United States}	{Residence,}
1105	Mon Aug 08 03:26:30 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Mon Aug 08 03:26:16 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Mon Aug 08 03:26:05 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Sun Aug 07 19:04:02 +0000 2011	4aff11e1f964a520ca3322e3	{Saint Denis Catholic Church}	{33.98580797032929,-117.82699573809153,Diamond Bar,CA,United States}	{Spiritual Center,Professional & Other Places,}
1105	Sun Aug 07 19:03:51 +0000 2011	4aff11e1f964a520ca3322e3	{Saint Denis Catholic Church}	{33.98580797032929,-117.82699573809153,Diamond Bar,CA,United States}	{Spiritual Center,Professional & Other Places,}
1105	Sun Aug 07 07:28:49 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Sun Aug 07 07:28:36 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Sun Aug 07 07:28:24 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Sat Aug 06 19:24:46 +0000 2011	3fd66200f964a52082f01ee3	{Ocean Star}	{34.06414911977849,-118.13458626189555,Monterey Park,CA,United States}	{Food,}
1105	Sat Aug 06 03:45:34 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Sat Aug 06 03:45:22 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Sat Aug 06 03:45:11 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Sat Aug 06 03:45:10 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Fri Aug 05 21:22:42 +0000 2011	4a9ac6ddf964a520a13220e3	{99 Cents Only Stores - Rowland Heights}	{33.98825367702514,-117.88833633234219,Rowland Heights,CA,United States}	{Shop & Service,}
1105	Fri Aug 05 20:10:27 +0000 2011	4b88528af964a5201def31e3	{Macy's}	{34.07050684,-117.9290915,West Covina,CA,United States}	{Shop & Service,}
1105	Fri Aug 05 20:10:04 +0000 2011	4a7f2f4cf964a5202cf31fe3	{Westfield West Covina}	{34.07071711807214,-117.93283780317992,West Covina,CA,United States}	{Shop & Service,}
1105	Fri Aug 05 05:50:06 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Fri Aug 05 05:49:49 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Fri Aug 05 05:49:34 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Thu Aug 04 21:05:53 +0000 2011	4b3d0e8df964a520f78c25e3	{Honeybaked}	{33.61611931798019,-117.70754650736177,Lake Forest,CA,United States}	{Food,}
1105	Thu Aug 04 16:36:07 +0000 2011	4c5ee6287735c9b6fdf89272	{Ready Pac}	{34.092743764761195,-117.93715130735507,Irwindale,CA,United States}	{Professional & Other Places,}
1105	Thu Aug 04 16:35:56 +0000 2011	4b464db2f964a5200c1d26e3	{In-N-Out Burger}	{34.08988952636719,-117.94100328333333,West Covina,CA,United States}	{Food,}
1105	Thu Aug 04 16:35:44 +0000 2011	4b516748f964a520974c27e3	{DoubleTree by Hilton Hotel Monrovia - Pasadena Area}	{34.13904218873244,-118.01866306869104,Monrovia,CA,United States}	{Travel & Transport,}
1105	Thu Aug 04 01:34:42 +0000 2011	4e0637721f6e211033854028	{Jogasaki Food Truck}	{33.98593783378601,-117.8696483373642,East San Gabriel Valley,CA,United States}	{Food,}
1105	Thu Aug 04 01:34:25 +0000 2011	4c51e4c216719c745a28535a	{Southlands Christian School}	{33.98487661761621,-117.86786696731853,Walnut,CA,United States}	{Professional & Other Places,}
1105	Thu Aug 04 01:34:11 +0000 2011	4df02058b0fbfee72f3d7e8f	{Rowland Heights Truck Fiesta}	{33.985435,-117.868353,Walnut,CA,United States}	{Food,}
1105	Wed Aug 03 21:37:04 +0000 2011	4c5ee6287735c9b6fdf89272	{Ready Pac}	{34.092743764761195,-117.93715130735507,Irwindale,CA,United States}	{Professional & Other Places,}
1105	Wed Aug 03 21:36:53 +0000 2011	4b464db2f964a5200c1d26e3	{In-N-Out Burger}	{34.08988952636719,-117.94100328333333,West Covina,CA,United States}	{Food,}
1105	Wed Aug 03 21:36:36 +0000 2011	4b516748f964a520974c27e3	{DoubleTree by Hilton Hotel Monrovia - Pasadena Area}	{34.13904218873244,-118.01866306869104,Monrovia,CA,United States}	{Travel & Transport,}
1105	Wed Aug 03 19:05:16 +0000 2011	4a91ad2cf964a5204c1b20e3	{Costco}	{34.132142250886815,-117.92568681177629,Azusa,CA,United States}	{Travel & Transport,Shop & Service,Food & Drink Shop,}
1105	Wed Aug 03 19:05:04 +0000 2011	4be0819f2aed2d7fc298c86f	{Costco Gasoline}	{34.133215,-117.925264,Azusa,CA,United States}	{Shop & Service,}
1105	Wed Aug 03 05:50:58 +0000 2011	4bb3f1389af3b713c7cc8b28	{Cherry On Top}	{33.975787315316126,-117.83781051635742,Diamond Bar,CA,United States}	{Food,}
1105	Wed Aug 03 05:50:29 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Wed Aug 03 05:50:29 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Wed Aug 03 05:49:54 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Wed Aug 03 05:49:54 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Wed Aug 03 03:31:04 +0000 2011	4c5cf9097f661b8db84c4a1c	{3K's BBQ haus}	{34.02258229566169,-117.9064355045557,West Covina,CA,United States}	{Food,}
1105	Wed Aug 03 01:20:37 +0000 2011	4aad6c28f964a520326020e3	{Hot Dog on a Stick}	{33.91588537669995,-117.88602456007781,Brea,CA,United States}	{Food,}
1105	Wed Aug 03 01:20:13 +0000 2011	4b4123cff964a520edc125e3	{Sephora}	{33.915542,-117.885977,Brea,CA,United States}	{Shop & Service,}
1105	Wed Aug 03 01:12:37 +0000 2011	4ae1082ef964a520ba8421e3	{Disney Store}	{33.91516589007246,-117.88674004375935,Brea,CA,United States}	{Shop & Service,}
1105	Wed Aug 03 01:12:22 +0000 2011	4ad8ea72f964a520ef1521e3	{Nordstrom}	{33.91559465290412,-117.88813412189484,Brea,CA,United States}	{Shop & Service,Clothing Store,}
1105	Wed Aug 03 01:11:35 +0000 2011	47f6977cf964a520af4e1fe3	{Brea Mall}	{33.91522961,-117.8862405,Brea,CA,United States}	{Shop & Service,Food & Drink Shop,}
1105	Tue Aug 02 03:34:34 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Tue Aug 02 03:34:11 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Tue Aug 02 03:34:10 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Tue Aug 02 03:33:51 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Mon Aug 01 16:54:44 +0000 2011	4c5ee6287735c9b6fdf89272	{Ready Pac}	{34.092743764761195,-117.93715130735507,Irwindale,CA,United States}	{Professional & Other Places,}
1105	Mon Aug 01 16:54:27 +0000 2011	4b464db2f964a5200c1d26e3	{In-N-Out Burger}	{34.08988952636719,-117.94100328333333,West Covina,CA,United States}	{Food,}
1105	Mon Aug 01 05:33:31 +0000 2011	4ce07d5cffcf370440552082	{Bank of America ATM}	{33.97450611710866,-117.83918380737305,Diamond Bar,CA,United States}	{Shop & Service,}
1105	Mon Aug 01 05:33:31 +0000 2011	4ce07d5cffcf370440552082	{Bank of America ATM}	{33.97450611710866,-117.83918380737305,Diamond Bar,CA,United States}	{Shop & Service,}
1105	Mon Aug 01 05:33:12 +0000 2011	4c34edb116adc92838fec59c	{Emerald Pointe  Apartments}	{33.96825826134299,-117.83700405507383,Diamond Bar,CA,United States}	{Residence,}
1105	Mon Aug 01 04:18:56 +0000 2011	4c05e67913b99c749653aff3	{Cham Sut Gol}	{33.98701726,-117.895362,Rowland Heights,CA,United States}	{Food,}
1105	Sun Jul 31 15:29:17 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Sun Jul 31 15:28:56 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Sun Jul 31 15:28:34 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Sat Jul 30 23:56:29 +0000 2011	4b2cd5ccf964a520b7c924e3	{St. Elizabeth Ann Seton Church}	{33.98653192323944,-117.90981036934011,Rowland Heights,CA,United States}	{Spiritual Center,Professional & Other Places,}
1105	Sat Jul 30 22:51:00 +0000 2011	4c26affb136d20a1d5dde561	{Porto's Bakery & Cafe}	{33.9404939261664,-118.13338994979858,Downey,CA,United States}	{Food,}
1105	Sat Jul 30 18:46:09 +0000 2011	4c51e4c216719c745a28535a	{Southlands Christian School}	{33.98487661761621,-117.86786696731853,Walnut,CA,United States}	{Professional & Other Places,}
1105	Sat Jul 30 18:46:09 +0000 2011	4c51e4c216719c745a28535a	{Southlands Christian School}	{33.98487661761621,-117.86786696731853,Walnut,CA,United States}	{Professional & Other Places,}
1105	Sat Jul 30 18:45:53 +0000 2011	4c015b43f7ab0f4783f415b6	{Southlands School Basketball Courts - Saturday Team FIH practice}	{33.98527,-117.86836,Walnut,CA,United States}	{Outdoors & Recreation,Athletics & Sports,}
1105	Sat Jul 30 05:48:27 +0000 2011	4a9ae39ff964a520633320e3	{DoubleTree by Hilton Hotel LAX - El Segundo}	{33.919983934148284,-118.39193344116211,El Segundo,CA,United States}	{Travel & Transport,Shop & Service,Food,Gym / Fitness Center,}
1105	Sat Jul 30 05:48:10 +0000 2011	4bc45183dce4eee10c17729d	{Residence Inn LAX El Segundo}	{33.91687673814447,-118.38881134986877,El Segundo,CA,United States}	{Travel & Transport,}
1105	Sat Jul 30 03:01:16 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Sat Jul 30 03:01:16 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Sat Jul 30 03:00:53 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Sat Jul 30 03:00:36 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Sat Jul 30 01:42:59 +0000 2011	4b8c81b2f964a5203fd432e3	{BJ's Restaurant & Brewhouse}	{33.9131061060104,-117.88927137851715,Brea,CA,United States}	{Nightlife Spot,Food,}
1105	Fri Jul 29 01:48:24 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Fri Jul 29 01:48:24 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Fri Jul 29 01:48:10 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Fri Jul 29 01:29:36 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Fri Jul 29 00:34:15 +0000 2011	4b4124f4f964a52004c225e3	{Albertsons}	{34.00015826458511,-117.81251318893985,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Thu Jul 28 04:18:02 +0000 2011	4cd6fc2da5b34688f5bb9650	{The Emerald Pointe / The Childs Domain!}	{33.96825826134299,-117.83700405507383,,CA,United States}	{Residence,}
1105	Thu Jul 28 04:17:49 +0000 2011	4c34edb116adc92838fec59c	{Emerald Pointe  Apartments}	{33.96825826134299,-117.83700405507383,Diamond Bar,CA,United States}	{Residence,}
1105	Thu Jul 28 00:59:04 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Thu Jul 28 00:58:46 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Thu Jul 28 00:58:33 +0000 2011	4c34edb116adc92838fec59c	{Emerald Pointe  Apartments}	{33.96825826134299,-117.83700405507383,Diamond Bar,CA,United States}	{Residence,}
1105	Wed Jul 27 20:59:28 +0000 2011	4b516748f964a520974c27e3	{DoubleTree by Hilton Hotel Monrovia - Pasadena Area}	{34.13904218873244,-118.01866306869104,Monrovia,CA,United States}	{Travel & Transport,}
1105	Wed Jul 27 20:59:07 +0000 2011	4b464db2f964a5200c1d26e3	{In-N-Out Burger}	{34.08988952636719,-117.94100328333333,West Covina,CA,United States}	{Food,}
1105	Wed Jul 27 20:59:07 +0000 2011	4b464db2f964a5200c1d26e3	{In-N-Out Burger}	{34.08988952636719,-117.94100328333333,West Covina,CA,United States}	{Food,}
1105	Wed Jul 27 20:58:54 +0000 2011	4c5ee6287735c9b6fdf89272	{Ready Pac}	{34.092743764761195,-117.93715130735507,Irwindale,CA,United States}	{Professional & Other Places,}
1105	Wed Jul 27 05:04:59 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Wed Jul 27 05:04:43 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Wed Jul 27 05:04:26 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Tue Jul 26 05:52:38 +0000 2011	4aeb8285f964a520d8c221e3	{DoubleTree Suites by Hilton}	{33.79663309241122,-117.9158091545105,Anaheim,CA,United States}	{Travel & Transport,}
1105	Tue Jul 26 05:52:13 +0000 2011	4a86f591f964a520c90120e3	{DoubleTree by Hilton Hotel Anaheim - Orange County}	{33.78827853625996,-117.89149761199951,Orange,CA,United States}	{Travel & Transport,Arts & Entertainment,}
1105	Tue Jul 26 05:47:57 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Tue Jul 26 05:47:57 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Tue Jul 26 05:47:38 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Tue Jul 26 05:47:23 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Mon Jul 25 19:18:22 +0000 2011	4b464db2f964a5200c1d26e3	{In-N-Out Burger}	{34.08988952636719,-117.94100328333333,West Covina,CA,United States}	{Food,}
1105	Mon Jul 25 19:18:11 +0000 2011	4c5ee6287735c9b6fdf89272	{Ready Pac}	{34.092743764761195,-117.93715130735507,Irwindale,CA,United States}	{Professional & Other Places,}
1105	Mon Jul 25 01:42:57 +0000 2011	4bb3f1389af3b713c7cc8b28	{Cherry On Top}	{33.975787315316126,-117.83781051635742,Diamond Bar,CA,United States}	{Food,}
1105	Mon Jul 25 01:41:30 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Mon Jul 25 01:41:10 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Mon Jul 25 01:40:56 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Mon Jul 25 00:39:38 +0000 2011	4bd3467c9854d13a0a5dfd4d	{Chino Buffet}	{34.010145610246305,-117.74216214482944,Chino,CA,United States}	{Food,}
1105	Sun Jul 24 21:18:49 +0000 2011	4b10219af964a520aa6923e3	{Diamond Bar High School}	{33.982962095450915,-117.83933648366691,Diamond Bar,CA,United States}	{School,Professional & Other Places,}
1105	Sun Jul 24 17:32:27 +0000 2011	4aff11e1f964a520ca3322e3	{Saint Denis Catholic Church}	{33.98580797032929,-117.82699573809153,Diamond Bar,CA,United States}	{Spiritual Center,Professional & Other Places,}
1105	Sun Jul 24 17:32:26 +0000 2011	4aff11e1f964a520ca3322e3	{Saint Denis Catholic Church}	{33.98580797032929,-117.82699573809153,Diamond Bar,CA,United States}	{Spiritual Center,Professional & Other Places,}
1105	Sun Jul 24 17:32:13 +0000 2011	4aff11e1f964a520ca3322e3	{Saint Denis Catholic Church}	{33.98580797032929,-117.82699573809153,Diamond Bar,CA,United States}	{Spiritual Center,Professional & Other Places,}
1105	Sun Jul 24 17:32:13 +0000 2011	4aff11e1f964a520ca3322e3	{Saint Denis Catholic Church}	{33.98580797032929,-117.82699573809153,Diamond Bar,CA,United States}	{Spiritual Center,Professional & Other Places,}
1105	Sun Jul 24 15:22:19 +0000 2011	4b516748f964a520974c27e3	{DoubleTree by Hilton Hotel Monrovia - Pasadena Area}	{34.13904218873244,-118.01866306869104,Monrovia,CA,United States}	{Travel & Transport,}
1105	Sun Jul 24 15:22:01 +0000 2011	4a86f591f964a520c90120e3	{DoubleTree by Hilton Hotel Anaheim - Orange County}	{33.78827853625996,-117.89149761199951,Orange,CA,United States}	{Travel & Transport,Arts & Entertainment,}
1105	Sun Jul 24 06:18:38 +0000 2011	4a86f591f964a520c90120e3	{DoubleTree by Hilton Hotel Anaheim - Orange County}	{33.78827853625996,-117.89149761199951,Orange,CA,United States}	{Travel & Transport,Arts & Entertainment,}
1105	Sun Jul 24 06:13:30 +0000 2011	4aeb8285f964a520d8c221e3	{DoubleTree Suites by Hilton}	{33.79663309241122,-117.9158091545105,Anaheim,CA,United States}	{Travel & Transport,}
1105	Sun Jul 24 03:24:25 +0000 2011	4cd6fc2da5b34688f5bb9650	{The Emerald Pointe / The Childs Domain!}	{33.96825826134299,-117.83700405507383,,CA,United States}	{Residence,}
1105	Sun Jul 24 03:24:06 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Sun Jul 24 00:30:02 +0000 2011	49bd9bbcf964a5208a541fe3	{SONIC Drive In}	{33.85862479450807,-117.91936039924622,Anaheim,CA,United States}	{Food,}
1105	Sat Jul 23 20:50:26 +0000 2011	4b675e10f964a520b44a2be3	{St Jude Medical Center}	{33.89446020507165,-117.92831844722646,Fullerton,CA,United States}	{Medical Center,Professional & Other Places,}
1105	Sat Jul 23 20:22:08 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Sat Jul 23 20:21:44 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Sat Jul 23 20:21:21 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Sat Jul 23 20:21:08 +0000 2011	4b0f370bf964a520796023e3	{Super H Mart}	{33.9742791141982,-117.83915904842874,Diamond Bar,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1105	Sat Jul 23 18:48:27 +0000 2011	4e0637721f6e211033854028	{Jogasaki Food Truck}	{33.98593783378601,-117.8696483373642,East San Gabriel Valley,CA,United States}	{Food,}
1105	Sat Jul 23 18:48:10 +0000 2011	4c51e4c216719c745a28535a	{Southlands Christian School}	{33.98487661761621,-117.86786696731853,Walnut,CA,United States}	{Professional & Other Places,}
1105	Sat Jul 23 18:47:57 +0000 2011	4c015b43f7ab0f4783f415b6	{Southlands School Basketball Courts - Saturday Team FIH practice}	{33.98527,-117.86836,Walnut,CA,United States}	{Outdoors & Recreation,Athletics & Sports,}
1105	Fri Jul 22 01:27:21 +0000 2011	47053daef964a520544b1fe3	{Ontario International Airport (ONT)}	{34.05994816216629,-117.5930643081665,Ontario,CA,United States}	{Travel & Transport,Airport,}
1105	Thu Jul 21 22:46:00 +0000 2011	4bd5015d6798ef3bf2d6628d	{Burger King}	{37.710994269594735,-122.21192479133606,Oakland,CA,United States}	{Food,}
1105	Thu Jul 21 22:45:22 +0000 2011	4493522af964a5207c341fe3	{Oakland International Airport (OAK)}	{37.71226740592608,-122.21261143684387,Oakland,CA,United States}	{Travel & Transport,}
1105	Thu Jul 21 21:57:22 +0000 2011	4d06d65f347da1cdbd21388f	{Rental Car Shuttle}	{37.73700818447017,-122.21523280607877,Oakland,CA,United States}	{Travel & Transport,Bus Station,}
1105	Thu Jul 21 21:46:03 +0000 2011	4c32c07d7cc0c9b695d3f09a	{Rental Car Center}	{37.73700858770744,-122.2150844335556,Oakland,CA,United States}	{Travel & Transport,}
1105	Thu Jul 21 21:45:43 +0000 2011	4813c3cbf964a5204d4f1fe3	{Coliseum/Oakland Airport BART Station}	{37.75351883492808,-122.19670997167515,Oakland,CA,United States}	{Travel & Transport,}
1105	Thu Jul 21 21:44:25 +0000 2011	468eec84f964a5208d481fe3	{MacArthur BART Station}	{37.82938707949219,-122.26697444915771,Oakland,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
1105	Thu Jul 21 21:14:19 +0000 2011	4bca18aab6c49c74ddbf8f91	{Nike Clearance Store}	{37.710323742333145,-122.1631407737732,San Leandro,CA,United States}	{Shop & Service,Clothing Store,}
1105	Thu Jul 21 20:55:31 +0000 2011	4813c605f964a520514f1fe3	{South Hayward BART Station}	{37.63479547217482,-122.05759048461914,Hayward,CA,United States}	{Travel & Transport,}
