2827	Tue Aug 09 03:24:28 +0000 2011	4bc62a22db8fa593ecdf9b37	{Gate K5}	{41.97633772983207,-87.89963722229004,Chicago,IL,United States}	{Travel & Transport,Airport,}
2827	Wed May 18 02:54:10 +0000 2011	4aca6de1f964a520e7c120e3	{Erewhon Natural Foods Market}	{34.0758612157806,-118.35665702819824,Los Angeles,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
2827	Tue May 17 19:40:06 +0000 2011	49ff23c3f964a520de6f1fe3	{Hugo's Restaurant}	{34.15782313383136,-118.41326236724854,Studio City,CA,United States}	{Food,}
2827	Sun May 15 03:39:33 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sat May 14 19:49:22 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Thu May 05 00:10:51 +0000 2011	4c06b6cbcf8c76b042f03a65	{Raw Cane Super Juice}	{34.098363,-118.306112,Los Angeles,CA,United States}	{Food,}
2827	Mon May 02 03:16:02 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Mon May 02 01:21:10 +0000 2011	4a0305e6f964a5207f711fe3	{Lemonade}	{34.07736608333333,-118.38786808333333,West Hollywood,CA,United States}	{Food,}
2827	Sun May 01 23:17:02 +0000 2011	4aca6de1f964a520e7c120e3	{Erewhon Natural Foods Market}	{34.0758612157806,-118.35665702819824,Los Angeles,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
2827	Sun May 01 22:50:20 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sun May 01 08:19:11 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sun May 01 02:04:07 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sat Apr 30 20:33:02 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Sat Apr 30 03:07:14 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sat Apr 30 01:52:54 +0000 2011	4a0305e6f964a5207f711fe3	{Lemonade}	{34.07736608333333,-118.38786808333333,West Hollywood,CA,United States}	{Food,}
2827	Fri Apr 29 20:14:15 +0000 2011	4d9f626caffda35da827a348	{Charlie's Pantry}	{34.14331,-118.400592,Studio City,CA,United States}	{Food,}
2827	Fri Apr 29 20:13:27 +0000 2011	4aaa74d3f964a520065620e3	{Bank of America}	{34.143608869573995,-118.39929478563748,Studio City,CA,United States}	{Shop & Service,}
2827	Fri Apr 29 04:20:24 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Fri Apr 29 01:03:21 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Mon Apr 25 20:30:28 +0000 2011	4d9f626caffda35da827a348	{Charlie's Pantry}	{34.14331,-118.400592,Studio City,CA,United States}	{Food,}
2827	Mon Apr 25 02:24:02 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Sat Apr 23 19:46:20 +0000 2011	4a24765cf964a520247e1fe3	{Spark Woodfire Grill - Studio City}	{34.142091431143946,-118.3892673254013,Studio City,CA,United States}	{Nightlife Spot,Food,}
2827	Fri Apr 22 01:33:57 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Thu Apr 21 20:28:27 +0000 2011	49c3c2ecf964a52074561fe3	{Whole Foods Market}	{34.091532,-118.360822,West Hollywood,CA,United States}	{Shop & Service,Food & Drink Shop,}
2827	Thu Apr 21 03:27:22 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Wed Apr 20 07:10:22 +0000 2011	42338280f964a5200e201fe3	{Ralphs}	{34.09849250644006,-118.34843337535858,West Hollywood,CA,United States}	{Shop & Service,Food & Drink Shop,}
2827	Wed Apr 20 04:59:10 +0000 2011	439ec330f964a520102c1fe3	{Los Angeles International Airport (LAX)}	{33.94389397698472,-118.40502262115479,Los Angeles,CA,United States}	{Travel & Transport,}
2827	Wed Apr 20 01:18:55 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Tue Apr 19 20:48:40 +0000 2011	4b0f62a6f964a520ed6123e3	{AMC Burbank Town Center 8}	{34.18350134374192,-118.31215652199637,Burbank,CA,United States}	{Food,Arts & Entertainment,Movie Theater,}
2827	Tue Apr 19 19:56:32 +0000 2011	4a0e150df964a520c7751fe3	{Bob's Big Boy}	{34.15236739668237,-118.34613740444183,Burbank,CA,United States}	{Food,}
2827	Sun Apr 17 23:27:52 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Sun Apr 17 02:11:30 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sat Apr 16 20:06:52 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Sat Apr 16 01:04:32 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Fri Apr 15 03:23:27 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Thu Apr 14 03:57:36 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Thu Apr 14 03:57:36 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Thu Apr 14 02:00:37 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Tue Apr 12 02:07:21 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Mon Apr 11 01:20:12 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Sun Apr 10 04:07:33 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Thu Apr 07 03:31:42 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Mon Apr 04 20:53:49 +0000 2011	4b46c026f964a520c42726e3	{Sharky's Woodfired Mexican Grill}	{34.17203402,-118.42157152,Sherman Oaks,CA,United States}	{Food,}
2827	Mon Apr 04 02:40:29 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Sat Apr 02 22:00:43 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Fri Apr 01 20:12:39 +0000 2011	4a79d406f964a520bae71fe3	{California Chicken Cafe}	{34.155164116385784,-118.47336530685425,Encino,CA,United States}	{Food,}
2827	Thu Mar 31 23:11:12 +0000 2011	4a7dec7cf964a52032f01fe3	{Giuseppe Franco Salon}	{34.070258,-118.40019545,Beverly Hills,CA,United States}	{Shop & Service,}
2827	Sat Mar 26 20:02:55 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Sun Mar 20 21:08:03 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Sun Mar 20 09:08:18 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sun Mar 20 09:07:36 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Sat Mar 19 20:16:01 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Tue Mar 15 22:12:13 +0000 2011	4ba061d9f964a520476b37e3	{Leonor's Mexican Vegetarian Restaurant}	{34.1505716,-118.40456,Studio City,CA,United States}	{Food,}
2827	Tue Mar 15 03:40:18 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Mon Mar 14 02:55:59 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sun Mar 06 03:31:53 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sat Mar 05 21:36:40 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Sat Mar 05 02:15:35 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Fri Mar 04 09:54:53 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Thu Mar 03 01:58:28 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Sat Feb 26 21:40:03 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Sat Feb 26 00:46:28 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Wed Feb 23 01:34:58 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Mon Feb 21 02:47:45 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sun Feb 20 23:24:16 +0000 2011	4b189784f964a52077d423e3	{California Pizza Kitchen}	{34.14329739711324,-118.40047359466553,Studio City,CA,United States}	{Food,}
2827	Sat Feb 19 08:57:25 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sat Feb 19 07:49:57 +0000 2011	4ada775af964a520d12221e3	{Whisky a Go Go}	{34.09066469680873,-118.38566974506597,West Hollywood,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sat Feb 19 07:04:03 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Thu Feb 17 07:06:48 +0000 2011	4ada775af964a520d12221e3	{Whisky a Go Go}	{34.09066469680873,-118.38566974506597,West Hollywood,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Thu Feb 17 01:26:13 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Sat Feb 12 21:18:21 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Sat Feb 12 03:09:08 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Fri Feb 11 20:58:06 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Fri Feb 11 20:58:06 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Fri Feb 11 02:21:08 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Thu Feb 10 02:08:25 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Wed Feb 09 02:35:57 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Mon Feb 07 13:53:02 +0000 2011	4bd09f199854d13abb17f84d	{Stage 30: Paramount Studios}	{34.08664448743107,-118.32146644592285,Los Angeles,CA,United States}	{Arts & Entertainment,Professional & Other Places,}
2827	Mon Feb 07 02:27:55 +0000 2011	4d4ad2e8f2cc6a31686ec188	{Super Bowl Sunday}	{32.747868226330375,-97.09356307983398,Arlington,TX,United States}	{Stadium,Arts & Entertainment,}
2827	Sun Feb 06 08:00:18 +0000 2011	4ada775af964a520d12221e3	{Whisky a Go Go}	{34.09066469680873,-118.38566974506597,West Hollywood,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sat Feb 05 21:27:22 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Sat Feb 05 05:37:24 +0000 2011	4b3bb300f964a5201b7925e3	{On The Rox}	{34.090791,-118.387987,West Hollywood,CA,United States}	{Nightlife Spot,}
2827	Sat Feb 05 04:39:58 +0000 2011	4ada775af964a520d12221e3	{Whisky a Go Go}	{34.09066469680873,-118.38566974506597,West Hollywood,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sat Feb 05 04:21:05 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sat Feb 05 00:57:54 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Fri Feb 04 22:40:57 +0000 2011	49cff672f964a520e95a1fe3	{Beverly Center}	{34.075056969511444,-118.37755680084229,Los Angeles,CA,United States}	{Shop & Service,}
2827	Fri Feb 04 01:40:24 +0000 2011	4b538abbf964a5204ba127e3	{Fred Segal}	{34.083532,-118.36621702968907,Los Angeles,CA,United States}	{Shop & Service,Clothing Store,}
2827	Thu Feb 03 06:02:34 +0000 2011	4ada775af964a520d12221e3	{Whisky a Go Go}	{34.09066469680873,-118.38566974506597,West Hollywood,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Thu Feb 03 01:55:48 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Wed Feb 02 02:09:09 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Tue Feb 01 17:10:16 +0000 2011	4bcf1077b6c49c749e129891	{LAC+USC Medical Center}	{34.05761938873174,-118.20870637893677,Los Angeles,CA,United States}	{Medical Center,College & University,Professional & Other Places,}
2827	Tue Feb 01 02:11:28 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Sun Jan 30 07:24:40 +0000 2011	4ada775af964a520d12221e3	{Whisky a Go Go}	{34.09066469680873,-118.38566974506597,West Hollywood,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sun Jan 30 07:15:02 +0000 2011	4b3bb300f964a5201b7925e3	{On The Rox}	{34.090791,-118.387987,West Hollywood,CA,United States}	{Nightlife Spot,}
2827	Sun Jan 30 07:05:32 +0000 2011	3fd66200f964a52080ee1ee3	{The Roxy}	{34.09074855448929,-118.38794066203201,West Hollywood,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sun Jan 30 06:40:08 +0000 2011	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Wed Jan 26 20:43:23 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Wed Jan 26 02:31:26 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Mon Jan 24 01:57:51 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Sat Jan 15 21:37:12 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Sat Jan 15 02:30:02 +0000 2011	43bd6072f964a520062d1fe3	{The 101 Coffee Shop}	{34.10535533586527,-118.3237624168396,Los Angeles,CA,United States}	{Food,}
2827	Sun Jan 09 01:27:46 +0000 2011	49c141eaf964a52095551fe3	{M Caf? de Chaya}	{34.083605032015484,-118.34493638295505,Los Angeles,CA,United States}	{Food,}
2827	Fri Jan 07 22:00:57 +0000 2011	4c75740e604a370422bc8249	{Fresh East}	{34.084017,-118.385698,West Hollywood,CA,United States}	{Food,}
2827	Wed Jan 05 01:34:36 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Tue Jan 04 19:45:11 +0000 2011	4ae20ae6f964a520188a21e3	{24 Hour Fitness}	{34.098,-118.328395,Hollywood,CA,United States}	{Shop & Service,}
2827	Tue Jan 04 18:22:06 +0000 2011	4a32da5af964a520a69a1fe3	{Trader Joe's}	{34.0895500043872,-118.34906101226807,West Hollywood,CA,United States}	{Shop & Service,Food & Drink Shop,}
2827	Sun Jan 02 21:32:04 +0000 2011	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Thu Dec 30 02:12:11 +0000 2010	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Sat Dec 18 23:33:12 +0000 2010	4b416491f964a52031c625e3	{American Film Institute}	{34.107362996904655,-118.31005096435547,Los Angeles,CA,United States}	{College & University,}
2827	Sat Dec 04 23:29:30 +0000 2010	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Sun Nov 28 03:48:28 +0000 2010	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Sat Nov 27 03:49:24 +0000 2010	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Tue Nov 23 14:27:43 +0000 2010	4bcf1077b6c49c749e129891	{LAC+USC Medical Center}	{34.05761938873174,-118.20870637893677,Los Angeles,CA,United States}	{Medical Center,College & University,Professional & Other Places,}
2827	Mon Nov 22 20:10:00 +0000 2010	4be31862d27a20a14339915b	{The Munchie Machine}	{34.04583232505719,-118.26370239257812,Los Angeles,CA,United States}	{Food,}
2827	Sun Nov 21 23:07:34 +0000 2010	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Fri Nov 19 21:21:00 +0000 2010	4747dd94f964a5208b4c1fe3	{ArcLight Cinemas Sherman Oaks}	{34.15463585420314,-118.46731424331665,Sherman Oaks,CA,United States}	{Nightlife Spot,Arts & Entertainment,Movie Theater,}
2827	Fri Nov 19 20:29:34 +0000 2010	4b26a34bf964a520c47e24e3	{Fuddruckers}	{34.15547929645021,-118.46682071685791,Sherman Oaks,CA,United States}	{Food,Arts & Entertainment,}
2827	Tue Nov 16 00:55:53 +0000 2010	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Sat Nov 13 23:47:12 +0000 2010	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Sat Nov 13 02:17:12 +0000 2010	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Sun Nov 07 21:45:13 +0000 2010	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Sat Nov 06 21:20:15 +0000 2010	4ae20ae6f964a520188a21e3	{24 Hour Fitness}	{34.098,-118.328395,Hollywood,CA,United States}	{Shop & Service,}
2827	Sun Oct 31 20:47:43 +0000 2010	4a105a66f964a520a8761fe3	{Hugo's Restaurant}	{34.090799,-118.372897,West Hollywood,CA,United States}	{Food,}
2827	Tue Oct 26 18:55:18 +0000 2010	4b9db3aef964a520faba36e3	{Descanso Gardens}	{34.20168704949896,-118.21035861968994,La Ca?ada Flintridge,CA,United States}	{Outdoors & Recreation,}
2827	Sat Oct 23 04:55:37 +0000 2010	4ada775af964a520d12221e3	{Whisky a Go Go}	{34.09066469680873,-118.38566974506597,West Hollywood,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sat Oct 23 04:02:45 +0000 2010	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2827	Sat Oct 23 04:02:39 +0000 2010	3fd66200f964a52031f01ee3	{Key Club}	{34.09078294100318,-118.38885358481453,Los Angeles,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
