2213	Thu Aug 11 20:27:41 +0000 2011	4c49036b20ab1b8d9e953216	{Ramen Jinya}	{34.141610260902546,-118.37530374526978,Studio City,CA,United States}	{Food,}
2213	Sun Jun 26 20:03:27 +0000 2011	40db6b00f964a5207d011fe3	{Dodger Stadium}	{34.073408462960174,-118.24019819498062,Los Angeles,CA,United States}	{Outdoors & Recreation,Stadium,Arts & Entertainment,Athletics & Sports,}
2213	Sat Jun 25 18:23:46 +0000 2011	4b43b104f964a5208ee625e3	{Golden Chicken}	{34.18182390439144,-118.31052963550775,Burbank,CA,United States}	{Food,}
2213	Sat Jun 25 15:50:53 +0000 2011	43768200f964a5203d2a1fe3	{AMC Burbank 16}	{34.1819235954088,-118.31200361251831,Burbank,CA,United States}	{Food,Arts & Entertainment,Movie Theater,}
2213	Thu Jun 23 16:20:11 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Wed Jun 08 22:16:44 +0000 2011	4dd70863091ad1a8054416e1	{E3 2011 LA Convention Center}	{34.04049827357798,-118.26898097991943,Los Angeles,CA,United States}	{Professional & Other Places,}
===
2213	Sat May 14 01:18:26 +0000 2011	4b70c88ff964a5207f2e2de3	{California Lutheran University}	{34.224324531972464,-118.87766575129201,Thousand Oaks,CA,United States}	{College & University,}
2213	Sun May 01 16:44:47 +0000 2011	3fd66200f964a520e3ef1ee3	{Paradise Cove Beach Cafe}	{34.02015912488075,-118.78725349903107,Malibu,CA,United States}	{Food,}
2213	Thu Apr 28 20:30:08 +0000 2011	4742ecddf964a5207a4c1fe3	{Walt Disney Studios}	{34.15784088992688,-118.32592964172363,Burbank,CA,United States}	{Shop & Service,Arts & Entertainment,Professional & Other Places,}
2213	Tue Apr 26 01:43:04 +0000 2011	42893400f964a5207e231fe3	{STAPLES Center}	{34.043058660157634,-118.26724290847778,Los Angeles,CA,United States}	{Stadium,Arts & Entertainment,}
2213	Fri Apr 22 01:42:06 +0000 2011	42893400f964a5207e231fe3	{STAPLES Center}	{34.043058660157634,-118.26724290847778,Los Angeles,CA,United States}	{Stadium,Arts & Entertainment,}
2213	Mon Apr 18 18:35:52 +0000 2011	4b423ce4f964a520c5cf25e3	{Mammoth Mountain Ski Resort}	{37.647131175362965,-118.99845600128174,Mammoth Lakes,CA,United States}	{Travel & Transport,Outdoors & Recreation,Ski Area,}
2213	Sun Apr 17 21:54:35 +0000 2011	4b423ce4f964a520c5cf25e3	{Mammoth Mountain Ski Resort}	{37.647131175362965,-118.99845600128174,Mammoth Lakes,CA,United States}	{Travel & Transport,Outdoors & Recreation,Ski Area,}
2213	Sun Apr 10 00:29:01 +0000 2011	4c9e96cbd3c2b60ca4fcccbc	{Omega Sushi}	{34.271379,-118.67774,Simi Valley,CA,United States}	{Food,}
2213	Thu Apr 07 16:41:09 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Thu Mar 31 15:49:33 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Fri Mar 25 17:09:20 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Mon Mar 14 16:39:35 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Sat Feb 26 21:21:07 +0000 2011	42893400f964a5207e231fe3	{STAPLES Center}	{34.043058660157634,-118.26724290847778,Los Angeles,CA,United States}	{Stadium,Arts & Entertainment,}
2213	Wed Feb 16 04:13:17 +0000 2011	4b6349ccf964a520f76f2ae3	{Sport Chalet}	{34.276829,-118.564845,Porter Ranch,CA,United States}	{Shop & Service,}
2213	Fri Feb 04 03:48:32 +0000 2011	49dac64af964a520ad5e1fe3	{Ramenya}	{34.035984915434796,-118.44530247518149,Los Angeles,CA,United States}	{Food,}
2213	Tue Jan 18 05:51:02 +0000 2011	4a344606f964a520069c1fe3	{Bob Hope Airport (BUR)}	{34.19639831676446,-118.35313796997072,Burbank,CA,United States}	{Travel & Transport,}
2213	Tue Jan 18 02:56:31 +0000 2011	45f555cef964a5200e441fe3	{Seattle-Tacoma International Airport (SEA)}	{47.44364658280913,-122.30259418487549,Seatac,WA,United States}	{Travel & Transport,}
2213	Sat Jan 15 19:06:10 +0000 2011	440da9b6f964a52095301fe3	{Warren G. Magnuson Park}	{47.68081860050263,-122.25096702575684,Seattle,WA,United States}	{Shop & Service,Outdoors & Recreation,Gym / Fitness Center,}
2213	Sat Jan 15 05:07:43 +0000 2011	45f555cef964a5200e441fe3	{Seattle-Tacoma International Airport (SEA)}	{47.44364658280913,-122.30259418487549,Seatac,WA,United States}	{Travel & Transport,}
2213	Sat Jan 15 01:58:39 +0000 2011	4a344606f964a520069c1fe3	{Bob Hope Airport (BUR)}	{34.19639831676446,-118.35313796997072,Burbank,CA,United States}	{Travel & Transport,}
2213	Mon Jan 10 17:33:29 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Sun Jan 09 02:59:47 +0000 2011	42893400f964a5207e231fe3	{STAPLES Center}	{34.043058660157634,-118.26724290847778,Los Angeles,CA,United States}	{Stadium,Arts & Entertainment,}
2213	Wed Jan 05 17:28:11 +0000 2011	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Sat Jan 01 04:40:31 +0000 2011	4b69ce4df964a5205db52be3	{Maison Riz}	{33.838707,-118.391378,Redondo Beach,CA,United States}	{Food,}
2213	Sat Jan 01 03:17:55 +0000 2011	4a70abf3f964a52027d81fe3	{The Portofino Hotel & Marina}	{33.84589679025758,-118.39753389358522,Redondo Beach,CA,United States}	{Travel & Transport,}
2213	Fri Dec 31 03:16:11 +0000 2010	42893400f964a5207e231fe3	{STAPLES Center}	{34.043058660157634,-118.26724290847778,Los Angeles,CA,United States}	{Stadium,Arts & Entertainment,}
2213	Fri Dec 31 01:25:51 +0000 2010	439ec330f964a520102c1fe3	{Los Angeles International Airport (LAX)}	{33.94389397698472,-118.40502262115479,Los Angeles,CA,United States}	{Travel & Transport,}
2213	Thu Dec 30 22:24:16 +0000 2010	45f555cef964a5200e441fe3	{Seattle-Tacoma International Airport (SEA)}	{47.44364658280913,-122.30259418487549,Seatac,WA,United States}	{Travel & Transport,}
2213	Wed Dec 29 05:20:03 +0000 2010	4a5e95e0f964a520d8be1fe3	{AMC Loews Alderwood Mall 16}	{47.82747599292278,-122.27543413639069,Lynwood,WA,United States}	{Arts & Entertainment,Movie Theater,}
2213	Tue Dec 21 17:37:59 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Fri Dec 17 20:32:09 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Tue Dec 14 03:49:47 +0000 2010	40f86c00f964a520bd0a1fe3	{Disneyland}	{33.80958286695518,-117.91899628937244,Anaheim,CA,United States}	{Arts & Entertainment,}
2213	Thu Dec 09 17:43:09 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Sun Nov 28 17:19:09 +0000 2010	4b3e50a6f964a520189b25e3	{The Stove}	{37.6368159376166,-118.96677424343243,Mammoth Lakes,CA,United States}	{Food,}
2213	Sat Nov 27 20:25:07 +0000 2010	4b50c6edf964a520fe3127e3	{Canyon Lodge}	{37.644718568109354,-119.00184631347656,Mammoth Lakes,CA,United States}	{Shop & Service,Outdoors & Recreation,Ski Area,Food & Drink Shop,}
2213	Wed Nov 24 23:28:05 +0000 2010	4bc8be2712bdb71399ee3c94	{IG Boarding Shop}	{34.155146,-118.794045,Westlake Village,CA,United States}	{Shop & Service,}
2213	Tue Nov 23 16:54:45 +0000 2010	4ce839b8f1c6236a74875ef0	{Martinizing}	{34.27810942605866,-118.74049186706543,Simi Valley,CA,United States}	{Shop & Service,}
2213	Wed Nov 17 03:39:14 +0000 2010	47cafdaef964a520024e1fe3	{The 3rd Stop}	{34.07358218,-118.380802,Los Angeles,CA,United States}	{Food,}
2213	Thu Nov 11 20:18:15 +0000 2010	49ea1f12f964a52026661fe3	{Pitfire Pizza Company}	{34.165227101802856,-118.3750730752945,North Hollywood,CA,United States}	{Food,}
===
2213	Wed Sep 22 02:15:04 +0000 2010	4ab053e2f964a520156720e3	{Best Buy}	{34.28577409,-118.7777531,Simi Valley,CA,United States}	{Shop & Service,}
2213	Tue Sep 21 16:50:10 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Tue Sep 21 02:19:40 +0000 2010	4af6462bf964a520c70222e3	{Simi Valley Town Center}	{34.28408980031874,-118.77017855644226,Simi Valley,CA,United States}	{Outdoors & Recreation,Shop & Service,}
2213	Mon Sep 20 18:17:33 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Mon Sep 20 03:07:20 +0000 2010	4bd72c7b09ecb713624b467c	{The Original Pizza Cookery}	{34.18310403051596,-118.6070653796196,Woodland Hills,CA,United States}	{Food,}
2213	Sun Sep 19 21:59:59 +0000 2010	4af6462bf964a520c70222e3	{Simi Valley Town Center}	{34.28408980031874,-118.77017855644226,Simi Valley,CA,United States}	{Outdoors & Recreation,Shop & Service,}
2213	Sun Sep 19 21:39:16 +0000 2010	4b5f5928f964a52070b529e3	{The Habit}	{34.28672702257282,-118.71671140193939,Simi Valley,CA,United States}	{Food,}
2213	Sun Sep 19 20:55:44 +0000 2010	4b032430f964a520fa4c22e3	{Pavilions}	{34.28737412664877,-118.71558487415314,Simi Valley,CA,United States}	{Shop & Service,Food & Drink Shop,}
2213	Sun Sep 19 18:25:51 +0000 2010	49c6ccaef964a52080571fe3	{BoHo}	{34.102470996590675,-118.339311,Hollywood,CA,United States}	{Nightlife Spot,Food,}
2213	Sun Sep 19 02:09:34 +0000 2010	4ae515e2f964a52048a021e3	{Kabuki Japanese Resturant}	{34.166464,-118.58969,Woodland Hills,CA,United States}	{Food,}
2213	Sun Sep 19 01:48:14 +0000 2010	4abd1576f964a5205d8820e3	{Westfield Topanga}	{34.19036482091363,-118.60397310066374,Canoga Park,CA,United States}	{Shop & Service,}
2213	Sat Sep 18 18:00:32 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Sat Sep 18 02:53:57 +0000 2010	4ada775af964a520d12221e3	{Whisky a Go Go}	{34.09066469680873,-118.38566974506597,West Hollywood,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
2213	Sat Sep 18 02:27:23 +0000 2010	4a688fe9f964a52091ca1fe3	{Peet's Coffee & Tea}	{34.09070621680403,-118.38404927296769,Los Angeles,CA,United States}	{Food,}
2213	Fri Sep 17 17:05:24 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Thu Sep 16 19:24:34 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Wed Sep 15 16:47:36 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Wed Sep 15 03:33:37 +0000 2010	4b32dbcaf964a520291525e3	{Fune Sushi}	{34.281751,-118.794028,Simi Valley,CA,United States}	{Food,}
2213	Tue Sep 14 17:12:51 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Mon Sep 13 16:36:48 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Sun Sep 12 19:36:21 +0000 2010	4a75e55df964a5208ae11fe3	{IHOP}	{34.193363357240585,-118.62430930137634,West Hills,CA,United States}	{Food,}
2213	Sun Sep 12 11:53:44 +0000 2010	4bcb6356937ca5930c7aa992	{Zuma Beach}	{34.015352594294775,-118.82190227508545,Malibu,CA,United States}	{Outdoors & Recreation,Beach,}
2213	Sun Sep 12 00:25:51 +0000 2010	4af6462bf964a520c70222e3	{Simi Valley Town Center}	{34.28408980031874,-118.77017855644226,Simi Valley,CA,United States}	{Outdoors & Recreation,Shop & Service,}
2213	Sun Sep 12 00:22:12 +0000 2010	4bd8749af645c9b656f9a7e0	{AT&T}	{34.28404,-118.774934,Simi Valley,CA,United States}	{Shop & Service,}
2213	Sat Sep 11 23:57:22 +0000 2010	4c8c173f5e38b1f74d5b2ef9	{Simi Cycling Center}	{34.27191928386174,-118.78139730592325,Simi Valley,CA,United States}	{Shop & Service,}
2213	Sat Sep 11 00:54:50 +0000 2010	4742ecddf964a5207a4c1fe3	{Walt Disney Studios}	{34.15784088992688,-118.32592964172363,Burbank,CA,United States}	{Shop & Service,Arts & Entertainment,Professional & Other Places,}
2213	Fri Sep 10 16:46:13 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Fri Sep 10 03:04:02 +0000 2010	4a1d5840f964a5206d7b1fe3	{Costco}	{34.28345153577205,-118.79621744155884,Simi Valley,CA,United States}	{Shop & Service,Food & Drink Shop,}
2213	Fri Sep 10 01:44:11 +0000 2010	46e43b72f964a520b24a1fe3	{Pickwick Gardens}	{34.16071732810289,-118.311767578125,Burbank,CA,United States}	{Arts & Entertainment,Professional & Other Places,}
2213	Thu Sep 09 16:40:33 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Thu Sep 09 02:34:07 +0000 2010	4a10cf5ef964a52000771fe3	{The Counter}	{34.143741013837506,-118.3961100297899,Studio City,CA,United States}	{Food,}
2213	Thu Sep 09 01:37:29 +0000 2010	49cfbeb6f964a520c25a1fe3	{IKEA}	{34.18496784179296,-118.31399917602539,Burbank,CA,United States}	{Shop & Service,}
2213	Wed Sep 08 16:40:46 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Tue Sep 07 16:24:49 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Mon Sep 06 23:19:57 +0000 2010	4b33af31f964a520cf1c25e3	{Aaron Brothers Art and Framing}	{34.25511004409251,-118.53692047898916,Northridge,CA,United States}	{Shop & Service,Arts & Entertainment,}
2213	Mon Sep 06 22:29:00 +0000 2010	4a9059dcf964a520701720e3	{REI}	{34.258360354022535,-118.53846788406372,Northridge,CA,United States}	{Shop & Service,}
2213	Mon Sep 06 20:52:56 +0000 2010	4a95930ff964a520ba2320e3	{Chipotle Mexican Grill}	{34.16987866321126,-118.60536217689514,Woodland Hills,CA,United States}	{Food,}
2213	Mon Sep 06 12:55:25 +0000 2010	4adaaca9f964a520052421e3	{Rogue Valley International - Medford Airport (MFR)}	{42.368496731509275,-122.87401735782623,Medford,OR,United States}	{Travel & Transport,}
2213	Sat Sep 04 21:36:08 +0000 2010	4adaaca9f964a520052421e3	{Rogue Valley International - Medford Airport (MFR)}	{42.368496731509275,-122.87401735782623,Medford,OR,United States}	{Travel & Transport,}
2213	Sat Sep 04 19:48:54 +0000 2010	4c16a7125e88c9281e782466	{Phil's Frosty}	{42.61936216,-122.81027,Shady Cove,OR,United States}	{Food,}
2213	Fri Sep 03 15:37:15 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Thu Sep 02 16:12:05 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Thu Sep 02 15:03:28 +0000 2010	4c5ad97c04f9be9a60b9f260	{First Honda in Simi Valley}	{34.27691791021091,-118.77928733825684,Simi Valley,CA,United States}	{Shop & Service,}
2213	Thu Sep 02 15:03:28 +0000 2010	4c5ad97c04f9be9a60b9f260	{First Honda in Simi Valley}	{34.27691791021091,-118.77928733825684,Simi Valley,CA,United States}	{Shop & Service,}
2213	Thu Sep 02 15:02:36 +0000 2010	4a359212f964a520319d1fe3	{Starbucks}	{34.27198854318238,-118.77759218215942,Simi Valley,CA,United States}	{Food,}
2213	Wed Sep 01 17:02:55 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Wed Sep 01 17:02:55 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
2213	Wed Sep 01 01:29:56 +0000 2010	4bb79c8fb35776b0a5dfc701	{Metropolis Bikes}	{34.155834024688254,-118.36859123755727,North Hollywood,CA,United States}	{Shop & Service,}
2213	Tue Aug 31 16:46:35 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
