2405	Fri Aug 12 02:30:23 +0000 2011	454cf014f964a520c53c1fe3	{Century San Francisco Centre 9 & XD}	{37.78436333183897,-122.40622401237488,San Francisco,CA,United States}	{Arts & Entertainment,Movie Theater,}
2405	Wed Jul 20 08:41:06 +0000 2011	49d80897f964a520985d1fe3	{Apple Store, Chestnut Street}	{37.800415,-122.438363,San Francisco,CA,United States}	{Shop & Service,}
2405	Wed Jul 20 00:46:34 +0000 2011	49d80897f964a520985d1fe3	{Apple Store, Chestnut Street}	{37.800415,-122.438363,San Francisco,CA,United States}	{Shop & Service,}
2405	Tue Jul 19 05:40:58 +0000 2011	4c80640051ada1cd10b90910	{Fire, Brimstone, Doom & Gloom}	{37.785153,-122.466125,San Francisco,CA,United States}	{Nightlife Spot,}
2405	Mon Jul 18 15:07:11 +0000 2011	49d80897f964a520985d1fe3	{Apple Store, Chestnut Street}	{37.800415,-122.438363,San Francisco,CA,United States}	{Shop & Service,}
2405	Mon Jul 18 03:30:53 +0000 2011	4085b980f964a52090f21ee3	{Bottom of the Hill}	{37.765037,-122.39646077156067,San Francisco,CA,United States}	{Music Venue,Arts & Entertainment,}
2405	Sat Jul 16 20:29:17 +0000 2011	49d80897f964a520985d1fe3	{Apple Store, Chestnut Street}	{37.800415,-122.438363,San Francisco,CA,United States}	{Shop & Service,}
2405	Sat Jul 16 02:37:53 +0000 2011	40bd1880f964a520c3001fe3	{540 Club}	{37.782977,-122.465162,San Francisco,CA,United States}	{Nightlife Spot,}
2405	Thu Jul 14 22:39:19 +0000 2011	484a7920f964a5207c501fe3	{Trader Joe's}	{37.78327944607125,-122.44760018368562,San Francisco,CA,United States}	{Shop & Service,Food & Drink Shop,}
2405	Thu Jul 14 02:41:29 +0000 2011	4ade4fa7f964a520e47421e3	{Pizzeria Picco}	{37.9339309180246,-122.53565821445461,Larkspur,CA,United States}	{Food,}
2405	Thu Jul 14 00:08:32 +0000 2011	41059b00f964a520850b1fe3	{San Francisco International Airport (SFO)}	{37.61642405271961,-122.38627910614014,San Francisco,CA,United States}	{Travel & Transport,}
2405	Wed Jul 13 20:01:11 +0000 2011	439ec330f964a520102c1fe3	{Los Angeles International Airport (LAX)}	{33.94389397698472,-118.40502262115479,Los Angeles,CA,United States}	{Travel & Transport,}
2405	Wed Jul 13 01:15:33 +0000 2011	4b78c676f964a520eee12ee3	{Yolanda's Mexican Caf?}	{34.27350872051092,-119.25911059637309,Ventura,CA,United States}	{Nightlife Spot,Food,}
2405	Tue Jul 12 21:25:03 +0000 2011	4bbce6588ec3d13af8641b28	{Arroyo Verde Park}	{34.286403468666215,-119.22633647918701,Ventura,CA,United States}	{Outdoors & Recreation,}
2405	Tue Jul 12 17:25:46 +0000 2011	4bd384fe41b9ef3b676c00e6	{Century 16 Theaters}	{34.2488228551262,-119.19433772563934,Ventura,CA,United States}	{Arts & Entertainment,Movie Theater,}
2405	Sun Jul 10 18:37:05 +0000 2011	4cf403121d18a1435c7863ec	{Main Street Steakhouse}	{34.26894291666667,-119.252537,San Buenaventura (Ventura),CA,United States}	{Food,}
2405	Sat Jul 09 22:31:13 +0000 2011	4a895827f964a520e70720e3	{Hertz Rental Car}	{33.95393312504025,-118.38446617126465,Los Angeles,CA,United States}	{Travel & Transport,}
2405	Sat Jul 09 18:46:18 +0000 2011	4d9b60be260c4eb99ec1184f	{Virgin America's Mood-lit Gate}	{37.617698812122356,-122.38140821456909,San Francisco,CA,United States}	{Travel & Transport,Airport,}
2405	Fri Jul 08 23:41:23 +0000 2011	4a74b478f964a52048df1fe3	{Apple Store, Del Monte}	{36.5841034599808,-121.897348157823,Monterey,CA,United States}	{Shop & Service,}
2405	Thu Jul 07 02:33:12 +0000 2011	4bd2177d046076b055357371	{AT&T Park}	{37.77833858778822,-122.38940119743347,San Francisco,CA,United States}	{Stadium,Arts & Entertainment,}
2405	Thu Jul 07 02:01:43 +0000 2011	4bd3d793b221c9b6dfbfdad0	{Willie Mays Statue}	{37.77810819436273,-122.39142607050873,San Francisco,CA,United States}	{Outdoors & Recreation,}
2405	Wed Jul 06 19:44:40 +0000 2011	42814b00f964a520ef211fe3	{Golden Boy Pizza}	{37.799594749418844,-122.40812603286692,San Francisco,CA,United States}	{Food,}
2405	Tue Jul 05 23:13:09 +0000 2011	4b75ea08f964a520692e2ee3	{Verve Coffee Roasters}	{36.96420914282242,-121.96465730667114,Santa Cruz,CA,United States}	{Food,}
2405	Tue Jul 05 21:16:16 +0000 2011	4cc5273138aaa093c1341762	{Good Luck Tattoo}	{36.966141287678795,-121.96512155721065,Santa Cruz,CA,United States}	{Shop & Service,}
2405	Tue Jul 05 09:09:00 +0000 2011	4c80640051ada1cd10b90910	{Fire, Brimstone, Doom & Gloom}	{37.785153,-122.466125,San Francisco,CA,United States}	{Nightlife Spot,}
2405	Mon Jul 04 18:55:09 +0000 2011	4a74b478f964a52048df1fe3	{Apple Store, Del Monte}	{36.5841034599808,-121.897348157823,Monterey,CA,United States}	{Shop & Service,}
2405	Sun Jul 03 17:13:13 +0000 2011	4a74b478f964a52048df1fe3	{Apple Store, Del Monte}	{36.5841034599808,-121.897348157823,Monterey,CA,United States}	{Shop & Service,}
2405	Sun Jul 03 00:28:06 +0000 2011	4a74b478f964a52048df1fe3	{Apple Store, Del Monte}	{36.5841034599808,-121.897348157823,Monterey,CA,United States}	{Shop & Service,}
