1934	Tue Jun 21 04:04:46 +0000 2011	4a4a7c3df964a520deab1fe3	{True North Tavern}	{32.74767300771736,-117.12987332809459,San Diego,CA,United States}	{Nightlife Spot,Food,}
1934	Thu Oct 28 10:24:41 +0000 2010	4bbad6f098c7ef3ba68c3302	{The Villa}	{33.18519,-117.3317,San Diego,CA,United States}	{}
1934	Wed Oct 27 19:52:48 +0000 2010	4a67e950f964a5203eca1fe3	{Acqua al 2 Ristorante}	{32.708777785494256,-117.16016886058821,San Diego,CA,United States}	{Food,}
1934	Tue Oct 19 04:17:49 +0000 2010	4bbad6f098c7ef3ba68c3302	{The Villa}	{33.18519,-117.3317,San Diego,CA,United States}	{}
1934	Fri Oct 15 05:37:08 +0000 2010	4bbc148cafe1b713fe15304b	{Maxdon's}	{33.185797519217424,-117.33058170243284,Oceanside,CA,United States}	{Nightlife Spot,}
1934	Mon Oct 11 18:59:38 +0000 2010	4b315d61f964a520800525e3	{Toast Enoteca & Cucina}	{32.709388602459924,-117.15594705523274,San Diego,CA,United States}	{Nightlife Spot,Food,}
1934	Mon Oct 11 18:59:17 +0000 2010	4b315d61f964a520800525e3	{Toast Enoteca & Cucina}	{32.709388602459924,-117.15594705523274,San Diego,CA,United States}	{Nightlife Spot,Food,}
1934	Mon Oct 11 15:35:31 +0000 2010	4a67e950f964a5203eca1fe3	{Acqua al 2 Ristorante}	{32.708777785494256,-117.16016886058821,San Diego,CA,United States}	{Food,}
1934	Sat Oct 09 09:27:01 +0000 2010	4bbad6f098c7ef3ba68c3302	{The Villa}	{33.18519,-117.3317,San Diego,CA,United States}	{}
1934	Thu Oct 07 21:03:09 +0000 2010	4a67e950f964a5203eca1fe3	{Acqua al 2 Ristorante}	{32.708777785494256,-117.16016886058821,San Diego,CA,United States}	{Food,}
1934	Mon Oct 04 08:33:21 +0000 2010	4bbad6f098c7ef3ba68c3302	{The Villa}	{33.18519,-117.3317,San Diego,CA,United States}	{}
1934	Sun Oct 03 19:53:12 +0000 2010	4ab43fdef964a520947020e3	{Toscana Cafe & Wine Bar}	{32.70823685202019,-117.1601128578186,San Diego,CA,United States}	{Nightlife Spot,Food,}
1934	Sun Oct 03 17:33:28 +0000 2010	4bbad6f098c7ef3ba68c3302	{The Villa}	{33.18519,-117.3317,San Diego,CA,United States}	{}
1934	Tue Sep 28 18:35:46 +0000 2010	4a67e950f964a5203eca1fe3	{Acqua al 2 Ristorante}	{32.708777785494256,-117.16016886058821,San Diego,CA,United States}	{Food,}
1934	Mon Sep 27 07:49:57 +0000 2010	4bbad6f098c7ef3ba68c3302	{The Villa}	{33.18519,-117.3317,San Diego,CA,United States}	{}
1934	Mon Sep 27 00:59:16 +0000 2010	4a67e950f964a5203eca1fe3	{Acqua al 2 Ristorante}	{32.708777785494256,-117.16016886058821,San Diego,CA,United States}	{Food,}
1934	Mon Sep 27 00:59:16 +0000 2010	4a67e950f964a5203eca1fe3	{Acqua al 2 Ristorante}	{32.708777785494256,-117.16016886058821,San Diego,CA,United States}	{Food,}
1934	Sun Sep 26 05:57:55 +0000 2010	4bbc148cafe1b713fe15304b	{Maxdon's}	{33.185797519217424,-117.33058170243284,Oceanside,CA,United States}	{Nightlife Spot,}
1934	Sun Sep 26 05:57:40 +0000 2010	4b9d7b04f964a52079af36e3	{Bed Bath & Beyond}	{33.18195637639849,-117.3453140258789,Oceanside,CA,United States}	{Shop & Service,}
1934	Sat Sep 25 20:25:15 +0000 2010	4b9d7b04f964a52079af36e3	{Bed Bath & Beyond}	{33.18195637639849,-117.3453140258789,Oceanside,CA,United States}	{Shop & Service,}
1934	Wed Sep 22 07:38:54 +0000 2010	4bbad6f098c7ef3ba68c3302	{The Villa}	{33.18519,-117.3317,San Diego,CA,United States}	{}
1934	Tue Sep 21 19:59:22 +0000 2010	4a67e950f964a5203eca1fe3	{Acqua al 2 Ristorante}	{32.708777785494256,-117.16016886058821,San Diego,CA,United States}	{Food,}
1934	Tue Sep 21 09:25:38 +0000 2010	4bbad6f098c7ef3ba68c3302	{The Villa}	{33.18519,-117.3317,San Diego,CA,United States}	{}
1934	Sat Sep 18 10:25:52 +0000 2010	4bbad6f098c7ef3ba68c3302	{The Villa}	{33.18519,-117.3317,San Diego,CA,United States}	{}
1934	Fri Sep 17 22:41:09 +0000 2010	4b4bb4b4f964a520b5a426e3	{Bank of America}	{32.718112497437495,-117.16066002845764,San Diego,CA,United States}	{Shop & Service,Professional & Other Places,}
1934	Fri Sep 17 22:36:07 +0000 2010	4b43e39df964a5204aed25e3	{Wells Fargo}	{32.71765669697624,-117.16041584786645,San Diego,CA,United States}	{Shop & Service,Professional & Other Places,}
1934	Fri Sep 17 19:24:52 +0000 2010	4a67e950f964a5203eca1fe3	{Acqua al 2 Ristorante}	{32.708777785494256,-117.16016886058821,San Diego,CA,United States}	{Food,}
1934	Fri Sep 17 19:24:34 +0000 2010	4a67e950f964a5203eca1fe3	{Acqua al 2 Ristorante}	{32.708777785494256,-117.16016886058821,San Diego,CA,United States}	{Food,}
1934	Thu Sep 16 08:55:16 +0000 2010	4bbad6f098c7ef3ba68c3302	{The Villa}	{33.18519,-117.3317,San Diego,CA,United States}	{}
1934	Thu Sep 16 08:14:41 +0000 2010	4bbc148cafe1b713fe15304b	{Maxdon's}	{33.185797519217424,-117.33058170243284,Oceanside,CA,United States}	{Nightlife Spot,}
1934	Wed Sep 15 21:42:54 +0000 2010	4a67e950f964a5203eca1fe3	{Acqua al 2 Ristorante}	{32.708777785494256,-117.16016886058821,San Diego,CA,United States}	{Food,}
1934	Mon Sep 06 23:44:39 +0000 2010	4a6a708bf964a52076cd1fe3	{Norte Mexican Food & Cocktail}	{33.157483386306566,-117.35151662184128,Carlsbad,CA,United States}	{Food,}
1934	Mon Sep 06 23:44:26 +0000 2010	4a6a708bf964a52076cd1fe3	{Norte Mexican Food & Cocktail}	{33.157483386306566,-117.35151662184128,Carlsbad,CA,United States}	{Food,}
1934	Sun Aug 29 09:05:46 +0000 2010	4bbc148cafe1b713fe15304b	{Maxdon's}	{33.185797519217424,-117.33058170243284,Oceanside,CA,United States}	{Nightlife Spot,}
1934	Tue Aug 24 03:28:59 +0000 2010	4b0d9630f964a520a74b23e3	{Target}	{33.1839587500753,-117.32968747615814,Oceanside,CA,United States}	{Shop & Service,}
1934	Tue Aug 03 10:25:08 +0000 2010	4bbad6f098c7ef3ba68c3302	{The Villa}	{33.18519,-117.3317,San Diego,CA,United States}	{}
1934	Thu Jul 15 23:27:32 +0000 2010	4b74b9e8f964a520c7ee2de3	{Bencotto Italian Kitchen}	{32.724343,-117.168727,San Diego,CA,United States}	{Food,}
1934	Thu Jul 15 23:27:18 +0000 2010	4b74b9e8f964a520c7ee2de3	{Bencotto Italian Kitchen}	{32.724343,-117.168727,San Diego,CA,United States}	{Food,}
1934	Thu Jul 15 23:26:51 +0000 2010	4b74b9e8f964a520c7ee2de3	{Bencotto Italian Kitchen}	{32.724343,-117.168727,San Diego,CA,United States}	{Food,}
