3368	Fri Jun 21 23:31:35 +0000 2013	4cbf5f80020d4688c2016238	{24 Hour Fitness}	{37.78953,-122.402069,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Wed Feb 16 02:17:27 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Tue Feb 15 00:50:54 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Feb 13 19:53:10 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Feb 12 03:07:38 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Wed Feb 09 01:27:54 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Feb 05 03:48:16 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Wed Feb 02 02:37:50 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Jan 29 07:48:57 +0000 2011	40c3b000f964a520e6001fe3	{Slim's}	{37.771468640899734,-122.41328649839697,San Francisco,CA,United States}	{Music Venue,Arts & Entertainment,}
3368	Fri Jan 28 02:25:28 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Tue Jan 25 01:22:31 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Jan 23 20:01:51 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Jan 22 19:37:28 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Fri Jan 21 01:13:47 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Wed Jan 19 03:51:54 +0000 2011	4a983497f964a520f02a20e3	{Stanford University}	{37.42893313778773,-122.16981410980225,Stanford,CA,United States}	{College & University,}
3368	Wed Jan 19 00:41:24 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Tue Jan 18 01:10:27 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Jan 15 19:44:35 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Thu Jan 13 01:01:46 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Wed Jan 12 00:30:21 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Jan 09 17:58:23 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Fri Jan 07 00:29:50 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Mon Jan 03 23:50:56 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Jan 02 20:39:14 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Jan 01 20:57:09 +0000 2011	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Fri Dec 31 19:13:15 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Fri Dec 31 01:02:49 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Wed Dec 29 00:32:23 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Dec 26 21:43:48 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Fri Dec 24 22:22:39 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Fri Dec 24 00:28:30 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Thu Dec 23 00:57:20 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Wed Dec 22 00:48:06 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Tue Dec 21 00:32:39 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Dec 19 18:30:24 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Dec 18 20:43:04 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Dec 18 00:50:05 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Thu Dec 16 01:38:13 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Wed Dec 15 00:57:21 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Tue Dec 14 00:54:07 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Dec 12 21:51:14 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Thu Dec 09 01:48:42 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Dec 05 20:47:34 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Dec 05 00:51:51 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Dec 05 00:51:51 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Thu Dec 02 00:32:26 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Nov 20 22:06:02 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Nov 20 00:21:24 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Thu Nov 18 15:14:05 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Tue Nov 16 00:42:48 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Nov 13 19:19:20 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Wed Nov 10 00:26:44 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Nov 07 20:01:05 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Mon Nov 01 23:13:01 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Oct 31 18:32:51 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Mon Oct 25 23:21:50 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Wed Oct 20 23:48:30 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Oct 17 18:16:46 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Oct 16 18:23:37 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Thu Oct 14 00:03:09 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Oct 09 18:00:54 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Wed Sep 29 02:38:49 +0000 2010	4b3a9231f964a520256a25e3	{lululemon athletica Santana Row}	{37.322056266004026,-121.94797485277259,San Jose,CA,United States}	{Shop & Service,}
3368	Sun Sep 26 17:31:45 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Sep 26 02:57:43 +0000 2010	470a32caf964a520734b1fe3	{Whole Foods Market}	{37.323549454834335,-122.03990399837494,Cupertino,CA,United States}	{Shop & Service,Food & Drink Shop,}
3368	Sat Sep 25 21:10:05 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Thu Sep 23 01:59:05 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Wed Sep 22 01:35:24 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Sep 19 17:38:41 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Sep 18 19:21:27 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Thu Sep 16 23:17:13 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Sep 12 18:46:36 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Sep 11 19:46:05 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Mon Sep 06 17:45:46 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Sep 05 17:52:29 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Sep 05 00:46:47 +0000 2010	4c479d3e96abd13a2e937101	{Five Guys}	{37.301975755931075,-121.86500385403633,San Jose,CA,United States}	{Food,}
3368	Sat Sep 04 17:45:38 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Wed Sep 01 18:52:35 +0000 2010	4646ebc8f964a52091461fe3	{Genova Delicatessen & Ravioli}	{37.836865067068594,-122.2632086277008,Oakland,CA,United States}	{Food,}
3368	Sun Aug 29 17:36:28 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Aug 28 18:04:18 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Aug 22 16:46:33 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Aug 21 19:14:03 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Aug 15 17:08:58 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Aug 14 22:47:06 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Fri Jul 30 13:48:31 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Jul 25 18:04:29 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Jul 25 18:04:29 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Jul 24 18:01:14 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Fri Jul 23 13:37:51 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Fri Jul 23 04:41:11 +0000 2010	412bd680f964a520ad0c1fe3	{Molly Magees}	{37.393214,-122.078907,Mountain View,CA,United States}	{Nightlife Spot,}
3368	Sun Jul 18 18:42:48 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Jul 18 04:26:41 +0000 2010	4a00d4f3f964a520b6701fe3	{Yogurtland}	{37.32165077494095,-122.01764263187009,Cupertino,CA,United States}	{Food,}
3368	Sun Jul 18 03:07:49 +0000 2010	4a5e47c4f964a5204bbe1fe3	{Cafe Baklava Mediterranean Grill}	{37.39198394136759,-122.07994681256804,Mountain View,CA,United States}	{Food,}
3368	Sat Jul 17 19:19:06 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Jul 11 16:41:48 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sat Jul 10 23:52:45 +0000 2010	4a666993f964a52084c81fe3	{Safeway}	{37.40312205688368,-122.07897305488586,Mountain View,CA,United States}	{Shop & Service,Food & Drink Shop,}
3368	Sat Jul 10 23:20:42 +0000 2010	4566fc19f964a520d13d1fe3	{Jamba Juice}	{37.390980166666665,-122.09494292736053,Mountain View,CA,United States}	{Food,}
3368	Sat Jul 10 21:58:39 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Mon Jul 05 20:51:49 +0000 2010	4667cf1af964a5208a471fe3	{Trader Joe's}	{37.401974,-122.110446,Mountain View,CA,United States}	{Shop & Service,Food & Drink Shop,}
3368	Mon Jul 05 20:38:45 +0000 2010	4a2c7b1af964a52069971fe3	{Milk Pail Market}	{37.40518454346782,-122.11011350154877,Mountain View,CA,United States}	{Shop & Service,Food & Drink Shop,}
3368	Mon Jul 05 20:10:10 +0000 2010	4ba7bff8f964a520f0af39e3	{Watercooler Inc.}	{37.51873,-122.25294,Redwood City,CA,United States}	{Professional & Other Places,}
3368	Mon Jul 05 20:07:25 +0000 2010	4ab01b9bf964a520ee6520e3	{Nintendo}	{37.53810002420093,-122.25836272373945,Redwood City,CA,United States}	{Professional & Other Places,}
3368	Mon Jul 05 18:42:34 +0000 2010	4566fc19f964a520d13d1fe3	{Jamba Juice}	{37.390980166666665,-122.09494292736053,Mountain View,CA,United States}	{Food,}
3368	Mon Jul 05 16:53:00 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Mon Jul 05 01:58:50 +0000 2010	40c8f600f964a520fe001fe3	{Shoreline Amphitheatre}	{37.42555592999895,-122.0794918584107,Mountain View,CA,United States}	{Arts & Entertainment,}
3368	Sun Jul 04 17:27:27 +0000 2010	4a651feff964a52059c71fe3	{Gold's Gym}	{37.41451799595523,-122.07866516853339,Mountain View,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3368	Sun Jul 04 16:36:01 +0000 2010	4a6356a1f964a520cbc41fe3	{Mountain View Farmers' Market}	{37.39354955031969,-122.07495885728757,Mountain View,CA,United States}	{Shop & Service,Food & Drink Shop,}
