2130	Mon Jun 27 07:25:51 +0000 2011	3fd66200f964a52075ec1ee3	{1015 Folsom}	{37.77815047916161,-122.40571994143437,San Francisco,CA,United States}	{Nightlife Spot,}
2130	Thu Jun 23 22:08:14 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Thu Jun 23 20:26:27 +0000 2011	4b50ffcaf964a520c83c27e3	{United States District Court, Northern District of California}	{37.781901896503754,-122.41839140408247,San Francisco,CA,United States}	{Travel & Transport,Government Building,Professional & Other Places,}
2130	Thu Jun 23 19:42:04 +0000 2011	46d36f99f964a520594a1fe3	{SHN Orpheum Theatre}	{37.77931196324254,-122.41477983342365,San Francisco,CA,United States}	{Performing Arts Venue,Arts & Entertainment,}
2130	Thu Jun 23 18:16:42 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Thu Jun 23 05:39:57 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Thu Jun 23 04:42:15 +0000 2011	464f17daf964a520c5461fe3	{Fitness SF Castro}	{37.763726226183614,-122.43344306945801,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
2130	Thu Jun 23 03:52:40 +0000 2011	464f17daf964a520c5461fe3	{Fitness SF Castro}	{37.763726226183614,-122.43344306945801,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
2130	Thu Jun 23 00:51:36 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Wed Jun 22 22:47:49 +0000 2011	49f8deb6f964a520306d1fe3	{Castro Farmers' Market}	{37.76449374,-122.43315498333334,San Francisco,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
2130	Wed Jun 22 17:16:02 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Wed Jun 22 08:06:30 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Wed Jun 22 05:00:21 +0000 2011	464f17daf964a520c5461fe3	{Fitness SF Castro}	{37.763726226183614,-122.43344306945801,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
2130	Tue Jun 21 23:00:15 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Tue Jun 21 19:18:21 +0000 2011	4ab595e1f964a520877520e3	{Mission Dolores Park}	{37.76005771562691,-122.42678658144186,San Francisco,CA,United States}	{Outdoors & Recreation,}
2130	Tue Jun 21 18:05:04 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Tue Jun 21 07:00:18 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Tue Jun 21 02:07:07 +0000 2011	49c6c22bf964a5207a571fe3	{El Castillito}	{37.768775,-122.429038,San Francisco,CA,United States}	{Food,}
2130	Mon Jun 20 20:49:10 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Mon Jun 20 16:02:17 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Sun Jun 19 17:36:33 +0000 2011	4aecb7eff964a52093ca21e3	{T-Mobile}	{37.785355,-122.407936,San Francisco,CA,United States}	{Shop & Service,}
2130	Sun Jun 19 07:51:28 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Sat Jun 18 23:44:11 +0000 2011	4a6391f5f964a52056c51fe3	{Noe & Market Laundromat}	{37.764659,-122.433185,San Francisco,CA,United States}	{Shop & Service,}
2130	Sat Jun 18 22:56:24 +0000 2011	4a049b3ff964a52010721fe3	{Books Inc.}	{37.76452349275605,-122.43234872817992,San Francisco,CA,United States}	{Shop & Service,}
2130	Sat Jun 18 20:21:06 +0000 2011	4aecb7eff964a52093ca21e3	{T-Mobile}	{37.785355,-122.407936,San Francisco,CA,United States}	{Shop & Service,}
2130	Sat Jun 18 19:35:09 +0000 2011	44610f81f964a52010331fe3	{Safeway}	{37.76883197614526,-122.42831468582152,San Francisco,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
2130	Sat Jun 18 19:19:25 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Sat Jun 18 08:04:46 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Sat Jun 18 02:47:13 +0000 2011	40ca4780f964a52008011fe3	{Badlands}	{37.760848,-122.43549627,San Francisco,CA,United States}	{Nightlife Spot,}
2130	Fri Jun 17 17:10:41 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Thu Jun 16 04:41:31 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Wed Jun 15 22:59:13 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
2130	Wed Jun 15 19:20:03 +0000 2011	4b412337f964a520e4c125e3	{T-mobile}	{37.787755407920194,-122.40355717777682,San Francisco,CA,United States}	{Shop & Service,}
2130	Wed Jun 15 18:44:51 +0000 2011	4aecb7eff964a52093ca21e3	{T-Mobile}	{37.785355,-122.407936,San Francisco,CA,United States}	{Shop & Service,}
2130	Wed Jun 15 17:58:48 +0000 2011	4bd1b863a8b3a5938932665f	{Home1}	{37.760678504319884,-122.44106181790796,San Francisco,CA,United States}	{Residence,}
