1386	Thu Nov 17 03:09:13 +0000 2011	42893400f964a5207e231fe3	{STAPLES Center}	{34.043058660157634,-118.26724290847778,Los Angeles,CA,United States}	{Stadium,Arts & Entertainment,}
1386	Thu Sep 23 18:38:54 +0000 2010	4c06b0198b4520a1c9cb8597	{DIMG Courtyard}	{34.164297,-118.374815,North Hollywood,CA,United States}	{Professional & Other Places,}
1386	Thu Sep 23 18:38:33 +0000 2010	4c2a58a48ef52d7f1aba2fba	{DIMG 2nd Floor}	{34.16401495275692,-118.37444594313287,North Hollywood,CA,United States}	{Professional & Other Places,}
1386	Thu Sep 23 18:38:15 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
1386	Thu Sep 23 03:51:55 +0000 2010	4aebda3df964a520fbc421e3	{White Harte Pub}	{34.168008,-118.616213,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Thu Sep 23 03:51:44 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Wed Sep 22 14:22:07 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Wed Sep 22 14:19:51 +0000 2010	4c2298f89085d13a1e9f86cc	{7-Eleven}	{34.16545844768588,-118.62359099742842,Woodland Hills,CA,United States}	{Shop & Service,}
1386	Tue Sep 21 15:27:06 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Mon Sep 20 18:57:08 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Mon Sep 20 18:55:55 +0000 2010	4c06b0198b4520a1c9cb8597	{DIMG Courtyard}	{34.164297,-118.374815,North Hollywood,CA,United States}	{Professional & Other Places,}
1386	Mon Sep 20 18:55:36 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
1386	Mon Sep 20 18:55:27 +0000 2010	4c2a58a48ef52d7f1aba2fba	{DIMG 2nd Floor}	{34.16401495275692,-118.37444594313287,North Hollywood,CA,United States}	{Professional & Other Places,}
1386	Sun Sep 19 18:36:09 +0000 2010	4aebda3df964a520fbc421e3	{White Harte Pub}	{34.168008,-118.616213,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Sun Sep 19 18:29:51 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Sat Sep 18 15:07:58 +0000 2010	4b776dcff964a520ca992ee3	{AmPm}	{34.16891629082502,-118.61647668821108,Woodland Hills,CA,United States}	{Shop & Service,}
1386	Sat Sep 18 15:07:09 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Fri Sep 17 23:35:08 +0000 2010	4a8cf87ff964a520520f20e3	{The Wild}	{34.16526261087611,-118.62659454345703,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Thu Sep 16 17:05:51 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Thu Sep 16 17:05:40 +0000 2010	4c06b0198b4520a1c9cb8597	{DIMG Courtyard}	{34.164297,-118.374815,North Hollywood,CA,United States}	{Professional & Other Places,}
1386	Thu Sep 16 17:05:02 +0000 2010	4c2a58a48ef52d7f1aba2fba	{DIMG 2nd Floor}	{34.16401495275692,-118.37444594313287,North Hollywood,CA,United States}	{Professional & Other Places,}
1386	Mon Sep 13 19:40:30 +0000 2010	4ab1be18f964a520856a20e3	{North Hollywood Billiards}	{34.16477143764496,-118.373599,North Hollywood,CA,United States}	{Arts & Entertainment,}
1386	Mon Sep 13 19:39:25 +0000 2010	4a576abef964a52017b61fe3	{EAT}	{34.16482471811637,-118.37281395017608,North Hollywood,CA,United States}	{Food,}
1386	Sun Sep 12 14:20:09 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Sun Sep 12 14:19:19 +0000 2010	4a8cf87ff964a520520f20e3	{The Wild}	{34.16526261087611,-118.62659454345703,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Sat Sep 11 17:38:00 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Sat Sep 11 04:05:59 +0000 2010	4aebda3df964a520fbc421e3	{White Harte Pub}	{34.168008,-118.616213,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Fri Sep 10 14:32:36 +0000 2010	4c2a58a48ef52d7f1aba2fba	{DIMG 2nd Floor}	{34.16401495275692,-118.37444594313287,North Hollywood,CA,United States}	{Professional & Other Places,}
1386	Thu Sep 02 18:22:16 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Wed Sep 01 21:56:14 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Wed Sep 01 04:35:15 +0000 2010	4a8cf87ff964a520520f20e3	{The Wild}	{34.16526261087611,-118.62659454345703,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Tue Aug 31 21:16:10 +0000 2010	4c06b0198b4520a1c9cb8597	{DIMG Courtyard}	{34.164297,-118.374815,North Hollywood,CA,United States}	{Professional & Other Places,}
1386	Tue Aug 31 17:38:42 +0000 2010	4c2a58a48ef52d7f1aba2fba	{DIMG 2nd Floor}	{34.16401495275692,-118.37444594313287,North Hollywood,CA,United States}	{Professional & Other Places,}
1386	Sun Aug 29 14:51:48 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Sat Aug 28 19:56:50 +0000 2010	4aebda3df964a520fbc421e3	{White Harte Pub}	{34.168008,-118.616213,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Sun Aug 22 16:56:16 +0000 2010	4aebda3df964a520fbc421e3	{White Harte Pub}	{34.168008,-118.616213,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Sat Aug 21 20:29:36 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Fri Aug 20 14:01:01 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Fri Aug 20 14:00:23 +0000 2010	4c2a58a48ef52d7f1aba2fba	{DIMG 2nd Floor}	{34.16401495275692,-118.37444594313287,North Hollywood,CA,United States}	{Professional & Other Places,}
1386	Thu Aug 19 03:55:05 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Thu Aug 19 03:55:05 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Sat Aug 07 17:22:52 +0000 2010	4b849174f964a520203c31e3	{Gus's Liquor & Jr Market}	{34.165792329132515,-118.62543351778722,Woodland Hills,CA,United States}	{Shop & Service,Food & Drink Shop,}
1386	Wed Aug 04 20:41:05 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Tue Aug 03 05:37:33 +0000 2010	4b776dcff964a520ca992ee3	{AmPm}	{34.16891629082502,-118.61647668821108,Woodland Hills,CA,United States}	{Shop & Service,}
1386	Mon Aug 02 19:56:04 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Mon Aug 02 19:53:45 +0000 2010	4c2a58a48ef52d7f1aba2fba	{DIMG 2nd Floor}	{34.16401495275692,-118.37444594313287,North Hollywood,CA,United States}	{Professional & Other Places,}
1386	Thu Jul 29 02:03:03 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Thu Jul 29 02:02:35 +0000 2010	4b776dcff964a520ca992ee3	{AmPm}	{34.16891629082502,-118.61647668821108,Woodland Hills,CA,United States}	{Shop & Service,}
1386	Thu Jul 29 02:01:45 +0000 2010	4aebda3df964a520fbc421e3	{White Harte Pub}	{34.168008,-118.616213,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Wed Jul 28 04:00:30 +0000 2010	4b776dcff964a520ca992ee3	{AmPm}	{34.16891629082502,-118.61647668821108,Woodland Hills,CA,United States}	{Shop & Service,}
1386	Tue Jul 27 22:28:19 +0000 2010	4b670e28f964a5205b372be3	{ABC Building}	{34.15439613750089,-118.32502841949463,Burbank,CA,United States}	{Professional & Other Places,}
1386	Tue Jul 27 20:45:53 +0000 2010	4742ecddf964a5207a4c1fe3	{Walt Disney Studios}	{34.15784088992688,-118.32592964172363,Burbank,CA,United States}	{Shop & Service,Arts & Entertainment,Professional & Other Places,}
1386	Sun Jul 25 05:16:51 +0000 2010	4a83307df964a52055fa1fe3	{California Chicken Cafe}	{34.169226217286315,-118.61367166042328,Woodland Hills,CA,United States}	{Food,}
1386	Sun Jul 25 05:15:47 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Sat Jul 24 21:35:12 +0000 2010	4aebda3df964a520fbc421e3	{White Harte Pub}	{34.168008,-118.616213,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Sat Jul 24 15:31:11 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Sat Jul 24 05:52:18 +0000 2010	4aebda3df964a520fbc421e3	{White Harte Pub}	{34.168008,-118.616213,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Thu Jul 22 20:37:08 +0000 2010	4b449b6bf964a520a4f725e3	{Starbucks}	{34.164587935930584,-118.37425231933594,North Hollywood,CA,United States}	{Food,}
1386	Thu Jul 22 20:35:39 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Thu Jul 22 20:35:38 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Sun Jul 11 20:32:02 +0000 2010	4a3c7507f964a5208fa11fe3	{Corner Club}	{34.1695590984904,-118.60221862792969,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Sat Jul 10 13:49:36 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Fri Jul 09 23:03:57 +0000 2010	4b776dcff964a520ca992ee3	{AmPm}	{34.16891629082502,-118.61647668821108,Woodland Hills,CA,United States}	{Shop & Service,}
1386	Wed Jun 30 14:55:43 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
1386	Mon Jun 28 20:01:35 +0000 2010	4a56dcb7f964a520d7b51fe3	{Big Wangs}	{34.167771,-118.376084,North Hollywood,CA,United States}	{Nightlife Spot,Food,}
1386	Mon Jun 28 19:05:53 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Sat Jun 12 19:10:39 +0000 2010	4a8cf87ff964a520520f20e3	{The Wild}	{34.16526261087611,-118.62659454345703,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Sun Jun 06 19:44:22 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Thu May 27 18:37:50 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Tue May 25 19:43:10 +0000 2010	4aa4a8c8f964a520314720e3	{NoBar}	{34.1647811,-118.362527,North Hollywood,CA,United States}	{Nightlife Spot,}
1386	Wed May 12 14:11:57 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Thu May 06 19:51:36 +0000 2010	4a5435eff964a5201db31fe3	{Islands Restaurant}	{34.180836,-118.3110111951828,Burbank,CA,United States}	{Food,}
1386	Wed May 05 19:54:24 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Tue May 04 19:48:08 +0000 2010	4a56dcb7f964a520d7b51fe3	{Big Wangs}	{34.167771,-118.376084,North Hollywood,CA,United States}	{Nightlife Spot,Food,}
1386	Sat May 01 00:15:16 +0000 2010	3fd66200f964a52095f01ee3	{Retake Room}	{34.16554391384125,-118.62609028816223,Woodland Hills,CA,United States}	{}
1386	Fri Apr 30 19:33:19 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Wed Apr 28 15:55:59 +0000 2010	4b01c032f964a520224522e3	{Buena Vista Commissary}	{34.156823106135505,-118.32674071949337,Burbank,CA,United States}	{Food,}
1386	Tue Apr 27 19:51:59 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Mon Apr 19 19:02:54 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Sun Apr 18 05:14:46 +0000 2010	4aebda3df964a520fbc421e3	{White Harte Pub}	{34.168008,-118.616213,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Thu Apr 15 16:31:51 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Wed Mar 31 21:19:23 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Wed Mar 31 21:09:51 +0000 2010	4b72e977f964a520208f2de3	{AMPM}	{34.15255946935832,-118.36695348130124,No Hollywood,CA,United States}	{Shop & Service,}
1386	Wed Mar 31 01:27:16 +0000 2010	4a8cf87ff964a520520f20e3	{The Wild}	{34.16526261087611,-118.62659454345703,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Sun Mar 28 20:37:03 +0000 2010	4a70b750f964a52042d81fe3	{Rib Ranch BBQ}	{34.157601,-118.606038,Woodland Hills,CA,United States}	{Food,}
1386	Fri Mar 26 16:02:40 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Wed Mar 24 19:45:41 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Tue Mar 23 19:04:19 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Tue Mar 23 19:01:35 +0000 2010	4b67b908f964a520fc5b2be3	{twist & burn laundry mat}	{34.15565280341152,-118.3637264271307,,CA,United States}	{Residence,}
1386	Tue Mar 23 19:01:34 +0000 2010	4b67b908f964a520fc5b2be3	{twist & burn laundry mat}	{34.15565280341152,-118.3637264271307,,CA,United States}	{Residence,}
1386	Mon Mar 22 19:47:59 +0000 2010	4b67b908f964a520fc5b2be3	{twist & burn laundry mat}	{34.15565280341152,-118.3637264271307,,CA,United States}	{Residence,}
1386	Mon Mar 22 16:47:18 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Sun Mar 21 18:53:01 +0000 2010	4ada206cf964a520c11e21e3	{Dan's Super Subs}	{34.168193723043636,-118.61596387766087,Woodland Hills,CA,United States}	{Food,}
1386	Sat Mar 20 02:34:43 +0000 2010	3fd66200f964a52095f01ee3	{Retake Room}	{34.16554391384125,-118.62609028816223,Woodland Hills,CA,United States}	{}
1386	Sat Mar 20 01:26:15 +0000 2010	4b1dd91bf964a520df1524e3	{AMF Woodlake Lanes}	{34.16316427573519,-118.62928503030274,Woodland Hills,CA,United States}	{Arts & Entertainment,}
1386	Fri Mar 19 21:04:42 +0000 2010	4a576abef964a52017b61fe3	{EAT}	{34.16482471811637,-118.37281395017608,North Hollywood,CA,United States}	{Food,}
1386	Fri Mar 19 17:54:06 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Thu Mar 18 17:15:32 +0000 2010	4c048ecb187ec9289b43b77b	{US-101 (Hollywood Freeway / Ventura Freeway)}	{34.155603592490245,-118.43600749969484,Southern California,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
1386	Wed Mar 17 14:35:00 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Wed Mar 17 14:34:59 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Wed Mar 17 12:41:40 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Tue Mar 16 20:52:59 +0000 2010	4b9fefa0f964a520de4b37e3	{DIMG - SEO Cave}	{34.1629479762466,-118.37541314826537,San Fernando Valley,CA,United States}	{Residence,}
1386	Tue Mar 16 19:59:00 +0000 2010	4a2ed72df964a52069981fe3	{Vicious Dogs North Hollywood}	{34.165867,-118.375309,North Hollywood,CA,United States}	{Food,}
1386	Mon Mar 15 20:16:09 +0000 2010	4a5b95f4f964a52075bb1fe3	{Daphne's California Greek}	{34.16722446396243,-118.375885784626,North Hollywood,CA,United States}	{Food,}
1386	Mon Mar 15 15:23:12 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
1386	Sat Mar 13 01:32:00 +0000 2010	4a3c7507f964a5208fa11fe3	{Corner Club}	{34.1695590984904,-118.60221862792969,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Fri Mar 12 21:07:23 +0000 2010	4a2ed72df964a52069981fe3	{Vicious Dogs North Hollywood}	{34.165867,-118.375309,North Hollywood,CA,United States}	{Food,}
1386	Fri Mar 12 17:19:33 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
1386	Thu Mar 11 22:05:43 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
1386	Thu Mar 11 21:16:44 +0000 2010	49e63bf8f964a52029641fe3	{Royal Garden Restaurant}	{34.164712,-118.371594,Los Angeles,CA,United States}	{Food,}
1386	Tue Mar 09 14:17:47 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Mon Mar 08 20:56:03 +0000 2010	4a576abef964a52017b61fe3	{EAT}	{34.16482471811637,-118.37281395017608,North Hollywood,CA,United States}	{Food,}
1386	Sun Mar 07 20:35:13 +0000 2010	4ac3f55bf964a520a29d20e3	{Starbucks}	{34.16865544553647,-118.61586701326392,Woodland Hills,CA,United States}	{Food,}
1386	Sun Mar 07 03:38:59 +0000 2010	4aebda3df964a520fbc421e3	{White Harte Pub}	{34.168008,-118.616213,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Sun Mar 07 03:38:55 +0000 2010	4aebda3df964a520fbc421e3	{White Harte Pub}	{34.168008,-118.616213,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Fri Mar 05 20:41:59 +0000 2010	4a576abef964a52017b61fe3	{EAT}	{34.16482471811637,-118.37281395017608,North Hollywood,CA,United States}	{Food,}
1386	Fri Mar 05 02:46:06 +0000 2010	4ab4386bf964a5206f7020e3	{Buffalo Wild Wings}	{34.181715069259106,-118.31141443535724,Burbank,CA,United States}	{Food,}
1386	Thu Mar 04 15:50:10 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
1386	Wed Mar 03 15:10:22 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
1386	Wed Mar 03 02:45:19 +0000 2010	4a8cf87ff964a520520f20e3	{The Wild}	{34.16526261087611,-118.62659454345703,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Wed Mar 03 02:42:27 +0000 2010	4a8cf87ff964a520520f20e3	{The Wild}	{34.16526261087611,-118.62659454345703,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Wed Mar 03 01:16:20 +0000 2010	4b3130aaf964a520330225e3	{Label's Table}	{34.15636712129396,-118.6339545249939,Woodland Hills,CA,United States}	{Food,}
1386	Tue Mar 02 18:11:15 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
1386	Fri Feb 26 20:31:14 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
1386	Wed Feb 24 20:53:55 +0000 2010	4a56dcb7f964a520d7b51fe3	{Big Wangs}	{34.167771,-118.376084,North Hollywood,CA,United States}	{Nightlife Spot,Food,}
1386	Wed Feb 17 20:18:19 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
1386	Thu Feb 11 21:26:45 +0000 2010	4b40e4d5f964a520f3bc25e3	{Disney Interactive Media Group}	{34.16415189930401,-118.37442311816578,North Hollywood,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
1386	Thu Feb 11 03:18:49 +0000 2010	4a8cf87ff964a520520f20e3	{The Wild}	{34.16526261087611,-118.62659454345703,Woodland Hills,CA,United States}	{Nightlife Spot,}
1386	Wed Feb 10 20:45:36 +0000 2010	4a5b95f4f964a52075bb1fe3	{Daphne's California Greek}	{34.16722446396243,-118.375885784626,North Hollywood,CA,United States}	{Food,}
