1141	Fri Aug 12 03:01:18 +0000 2011	4a67cce0f964a52013ca1fe3	{Apple Store, South Coast Plaza}	{33.6921,-117.89322,Costa Mesa,CA,United States}	{Shop & Service,}
1141	Fri Jul 29 00:40:15 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Thu Jul 28 19:13:22 +0000 2011	4bd260dd41b9ef3be218fee5	{Tokyo Lobby}	{33.760671,-117.82977441666667,Tustin,CA,United States}	{Food,}
1141	Thu Jul 28 00:26:21 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Tue Jul 26 23:10:48 +0000 2011	4bbd47b2a8cf76b070b3b1fd	{Irvine Halal}	{33.6880888400092,-117.77146355013276,Irvine,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1141	Tue Jul 26 22:09:31 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Tue Jul 26 04:46:20 +0000 2011	4b90a221f964a520d19233e3	{Yogurtland}	{33.853360880319755,-117.78818294405937,Anaheim,CA,United States}	{Food,}
1141	Tue Jul 26 02:51:57 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Mon Jul 25 05:19:48 +0000 2011	4ae4a6f7f964a520c19c21e3	{The Boiling Crab}	{33.761162966829566,-117.95322865247726,Garden Grove,CA,United States}	{Food,}
1141	Sun Jul 24 17:16:04 +0000 2011	4ab5782ef964a520cf7420e3	{24 Hour Fitness}	{33.7958482258483,-117.891683772049,Orange,CA,United States}	{Shop & Service,}
1141	Sun Jul 24 04:16:35 +0000 2011	4c38c6801e06d13adc60783e	{Pita Hot}	{33.87432555,-117.90304,Fullerton,CA,United States}	{Food,}
1141	Sun Jul 24 03:55:24 +0000 2011	4bdf2f0fffdec9289804eba1	{Ola Hawaiian BBQ}	{33.876446158380325,-117.87943840026855,Fullerton,CA,United States}	{Food,}
1141	Sat Jul 23 23:45:08 +0000 2011	4ae4a6f7f964a520c19c21e3	{The Boiling Crab}	{33.761162966829566,-117.95322865247726,Garden Grove,CA,United States}	{Food,}
1141	Sat Jul 23 16:44:11 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Sat Jul 23 02:19:30 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Thu Jul 21 20:36:20 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Thu Jul 21 03:26:05 +0000 2011	4c0c4034bbc676b046dc4cd5	{The Boiling Crab TO GO}	{33.76064321778788,-117.95369458919409,Garden Grove,CA,United States}	{Food,}
1141	Thu Jul 21 03:25:40 +0000 2011	4ae4a6f7f964a520c19c21e3	{The Boiling Crab}	{33.761162966829566,-117.95322865247726,Garden Grove,CA,United States}	{Food,}
1141	Wed Jul 20 20:44:57 +0000 2011	4bbd47b2a8cf76b070b3b1fd	{Irvine Halal}	{33.6880888400092,-117.77146355013276,Irvine,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1141	Sun Jul 17 00:28:29 +0000 2011	4c77fb5c2d3ba143355589d0	{Wicked Spoon Buffet}	{36.10932830123395,-115.17594337463379,Las Vegas,NV,United States}	{Food,}
1141	Sat Jul 16 18:39:15 +0000 2011	4bf6c3745efe2d7f2ab46734	{Encore Beach Club}	{36.12940027183192,-115.16608357429504,Las Vegas,NV,United States}	{Travel & Transport,Nightlife Spot,Hotel,}
1141	Sat Jul 16 07:33:08 +0000 2011	4bff539edaf9c9b67021faef	{Surrender Nightclub}	{36.12940027183192,-115.16579389572144,Las Vegas,NV,United States}	{Nightlife Spot,Arts & Entertainment,}
1141	Sat Jul 16 02:12:16 +0000 2011	4a2f650bf964a520c5981fe3	{Long Beach Airport (LGB)}	{33.81851869758065,-118.1443977355957,Long Beach,CA,United States}	{Travel & Transport,}
1141	Fri Jul 15 20:00:44 +0000 2011	4a88889ff964a520cd0620e3	{In-N-Out Burger}	{33.831892458438595,-117.83569157123566,Orange,CA,United States}	{Food,}
1141	Fri Jul 15 14:05:16 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Fri Jul 15 03:16:54 +0000 2011	4a86e8bef964a520920120e3	{24 Hour Fitness}	{33.917845,-117.885968,Brea,CA,United States}	{Shop & Service,}
1141	Thu Jul 14 04:24:19 +0000 2011	4b6e2962f964a520d2ae2ce3	{Kaisen Kaiten Sushi}	{33.69643532326182,-117.88438226829304,Santa Ana,CA,United States}	{Food,}
1141	Thu Jul 14 04:22:51 +0000 2011	4b888641f964a52027fe31e3	{Hans' Ice Cream}	{33.69761893522608,-117.88684666156769,Santa Ana,CA,United States}	{Food,}
1141	Wed Jul 13 22:57:56 +0000 2011	4dc05af081545e1cc7e2e0ec	{American Red Cross Blood Services}	{33.750228,-117.83677065,Santa Ana,CA,United States}	{Professional & Other Places,}
1141	Wed Jul 13 18:16:38 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Wed Jul 13 00:47:03 +0000 2011	4a85f33bf964a520c7ff1fe3	{IKEA}	{33.69040630593994,-117.91617393493652,Costa Mesa,CA,United States}	{Shop & Service,}
1141	Tue Jul 12 18:12:28 +0000 2011	4a86e8bef964a520920120e3	{24 Hour Fitness}	{33.917845,-117.885968,Brea,CA,United States}	{Shop & Service,}
1141	Tue Jul 12 01:48:51 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Mon Jul 11 02:53:16 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Sat Jul 09 18:34:36 +0000 2011	4a86e8bef964a520920120e3	{24 Hour Fitness}	{33.917845,-117.885968,Brea,CA,United States}	{Shop & Service,}
1141	Thu Jul 07 19:56:56 +0000 2011	4b9d857ff964a520b3b136e3	{Naan & Kabob}	{33.745409,-117.819737,Tustin,CA,United States}	{Food,}
1141	Thu Jul 07 19:56:55 +0000 2011	4b9d857ff964a520b3b136e3	{Naan & Kabob}	{33.745409,-117.819737,Tustin,CA,United States}	{Food,}
1141	Thu Jul 07 04:49:17 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Wed Jul 06 04:39:24 +0000 2011	428bd700f964a52099231fe3	{24 Hour Fitness}	{33.6432776964404,-117.742837898828,Irvine,CA,United States}	{Shop & Service,}
1141	Tue Jul 05 03:46:38 +0000 2011	4ad8c82df964a520981421e3	{Newport Dunes}	{33.616341070625765,-117.8922674218666,Newport Beach,CA,United States}	{Outdoors & Recreation,}
1141	Mon Jul 04 21:28:06 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Sun Jul 03 20:49:22 +0000 2011	4a4f7618f964a52059af1fe3	{Baja Sharkeez}	{33.658531379293166,-118.00080299377441,Huntington Beach,CA,United States}	{Nightlife Spot,Food,}
1141	Sun Jul 03 16:05:41 +0000 2011	4b5e1e92f964a520c07e29e3	{Huntington Beach Pier}	{33.65397685396187,-118.00513744354247,Huntington Beach,CA,United States}	{Travel & Transport,Outdoors & Recreation,Beach,}
1141	Sun Jul 03 05:49:55 +0000 2011	4c5e17f0d25320a19915c87a	{Santa Ana Artist Village}	{33.74659929031035,-117.86960097285058,Santa Ana,CA,United States}	{Arts & Entertainment,}
1141	Sun Jul 03 03:43:18 +0000 2011	4aa6028ef964a520a64920e3	{Honda-Ya Japanese Restaurant}	{33.740422891102114,-117.8238474553162,Tustin,CA,United States}	{Food,Arts & Entertainment,}
1141	Sat Jul 02 21:33:51 +0000 2011	4a86e8bef964a520920120e3	{24 Hour Fitness}	{33.917845,-117.885968,Brea,CA,United States}	{Shop & Service,}
1141	Sat Jul 02 05:31:26 +0000 2011	4a86e8bef964a520920120e3	{24 Hour Fitness}	{33.917845,-117.885968,Brea,CA,United States}	{Shop & Service,}
1141	Thu Jun 30 21:37:59 +0000 2011	4a86e8bef964a520920120e3	{24 Hour Fitness}	{33.917845,-117.885968,Brea,CA,United States}	{Shop & Service,}
1141	Thu Jun 30 02:14:48 +0000 2011	4b9d857ff964a520b3b136e3	{Naan & Kabob}	{33.745409,-117.819737,Tustin,CA,United States}	{Food,}
1141	Wed Jun 29 20:53:41 +0000 2011	4ae4a6f7f964a520c19c21e3	{The Boiling Crab}	{33.761162966829566,-117.95322865247726,Garden Grove,CA,United States}	{Food,}
1141	Wed Jun 29 01:50:03 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Tue Jun 28 03:30:23 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Mon Jun 27 02:22:48 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Mon Jun 27 02:22:47 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Sat Jun 25 19:14:19 +0000 2011	4a86e8bef964a520920120e3	{24 Hour Fitness}	{33.917845,-117.885968,Brea,CA,United States}	{Shop & Service,}
1141	Sat Jun 25 04:21:26 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Fri Jun 24 00:43:48 +0000 2011	4bd260dd41b9ef3be218fee5	{Tokyo Lobby}	{33.760671,-117.82977441666667,Tustin,CA,United States}	{Food,}
1141	Thu Jun 23 23:38:17 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Thu Jun 23 15:09:34 +0000 2011	4ab3ce37f964a520926e20e3	{Orange Coast College}	{33.670276183885605,-117.91187009484437,Costa Mesa,CA,United States}	{College Academic Building,College & University,}
1141	Wed Jun 22 03:30:09 +0000 2011	4b7d7f39f964a52064c22fe3	{Peters Canyon}	{33.75831312652787,-117.77129173278809,Orange,CA,United States}	{Outdoors & Recreation,}
1141	Tue Jun 21 03:17:29 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Mon Jun 20 01:15:37 +0000 2011	4b2c6171f964a52079c624e3	{Zankou Chicken}	{33.81708700218502,-117.96934408937886,Anaheim,CA,United States}	{Food,}
1141	Sun Jun 19 22:17:54 +0000 2011	4bae46b1f964a5200a9c3be3	{Huntington Beach - Main Street}	{33.65845993761956,-118.00071716308594,Huntington Beach,CA,United States}	{Travel & Transport,Outdoors & Recreation,Beach,}
1141	Sun Jun 19 19:51:41 +0000 2011	4ac532aff964a520e4b020e3	{24 Hour Fitness}	{33.64343,-117.921566,Costa Mesa,CA,United States}	{Shop & Service,}
1141	Sun Jun 19 18:33:01 +0000 2011	4a790799f964a520dce61fe3	{Newport Pier}	{33.605934267867816,-117.93116211891173,Newport Beach,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
1141	Sun Jun 19 03:41:32 +0000 2011	4bd260dd41b9ef3be218fee5	{Tokyo Lobby}	{33.760671,-117.82977441666667,Tustin,CA,United States}	{Food,}
1141	Sat Jun 18 21:42:36 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Sat Jun 18 03:52:02 +0000 2011	4bc7df2d14d79521334e68e9	{The Vitamin Shoppe}	{33.77773601778115,-117.8668711942843,Orange,CA,United States}	{Shop & Service,}
1141	Fri Jun 17 03:44:06 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Thu Jun 16 20:15:31 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Thu Jun 16 02:58:13 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Wed Jun 15 17:05:46 +0000 2011	4c86966351ada1cd928b4110	{OCC Science Hall}	{33.67024701117675,-117.91308403015137,Costa Mesa,CA,United States}	{College Academic Building,College & University,}
1141	Wed Jun 15 03:59:58 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Tue Jun 14 18:57:29 +0000 2011	4ab3ce37f964a520926e20e3	{Orange Coast College}	{33.670276183885605,-117.91187009484437,Costa Mesa,CA,United States}	{College Academic Building,College & University,}
1141	Mon Jun 13 03:03:23 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Mon Jun 13 03:03:23 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Sun Jun 12 19:45:16 +0000 2011	4a790799f964a520dce61fe3	{Newport Pier}	{33.605934267867816,-117.93116211891173,Newport Beach,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
1141	Sat Jun 11 02:58:05 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Thu Jun 09 03:52:45 +0000 2011	4b2c6171f964a52079c624e3	{Zankou Chicken}	{33.81708700218502,-117.96934408937886,Anaheim,CA,United States}	{Food,}
1141	Thu Jun 09 03:52:45 +0000 2011	4b2c6171f964a52079c624e3	{Zankou Chicken}	{33.81708700218502,-117.96934408937886,Anaheim,CA,United States}	{Food,}
1141	Thu Jun 09 03:10:22 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Wed Jun 08 03:07:36 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Tue Jun 07 17:41:29 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Tue Jun 07 03:11:05 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Mon Jun 06 19:39:24 +0000 2011	4ae4a6f7f964a520c19c21e3	{The Boiling Crab}	{33.761162966829566,-117.95322865247726,Garden Grove,CA,United States}	{Food,}
1141	Sat Jun 04 16:43:17 +0000 2011	4a790799f964a520dce61fe3	{Newport Pier}	{33.605934267867816,-117.93116211891173,Newport Beach,CA,United States}	{Travel & Transport,Outdoors & Recreation,}
1141	Sat Jun 04 03:51:15 +0000 2011	4cfdd533c51fa1cdd340f32b	{Rock City Climbing Gym}	{33.858535,-117.80658346,Anaheim,CA,United States}	{College & University,}
1141	Sat Jun 04 03:45:14 +0000 2011	4b19b4a4f964a52062e223e3	{24 Hour Fitness}	{33.88845,-117.816369,Yorba Linda,CA,United States}	{Shop & Service,}
1141	Fri Jun 03 19:44:42 +0000 2011	4b8af3f8f964a520fb8a32e3	{OC Weekly}	{33.67060417001178,-117.87896633148193,Costa Mesa,CA,United States}	{Professional & Other Places,}
1141	Thu Jun 02 04:26:27 +0000 2011	4b0b6ebaf964a520673123e3	{Village Pizza and Grill}	{38.546307,-121.739838,Davis,CA,United States}	{Food,}
1141	Thu Jun 02 02:45:39 +0000 2011	4b082545f964a520c20423e3	{24 Hour Fitness}	{38.5810207047191,-121.497443318367,Sacramento,CA,United States}	{Shop & Service,}
1141	Wed Jun 01 19:01:12 +0000 2011	4bd23039462cb71310d9db07	{Sanrio Outlet Store}	{38.3668461676907,-121.9571234278004,Vacaville,CA,United States}	{Shop & Service,}
1141	Wed Jun 01 17:01:07 +0000 2011	4b581a10f964a520f14a28e3	{Crepeville}	{38.544104,-121.743815,Davis,CA,United States}	{Food,}
1141	Wed Jun 01 03:58:45 +0000 2011	4acec4fef964a520d8d120e3	{Jong Ga House}	{37.808998,-122.254995,Oakland,CA,United States}	{Food,}
1141	Wed Jun 01 03:37:19 +0000 2011	4a7e005bf964a52095f01fe3	{24 Hour Fitness}	{37.809365055150536,-122.26581797295249,Oakland,CA,United States}	{Shop & Service,}
1141	Tue May 31 04:00:37 +0000 2011	4d9a489f3e1c530c1a4222a3	{The Little Mermaid ~ Ariel's Undersea Adventure}	{33.80633144660732,-117.92138200796013,Anaheim,CA,United States}	{Arts & Entertainment,Theme Park,}
1141	Tue May 31 03:51:40 +0000 2011	45db8eb5f964a520fd421fe3	{Disney California Adventure Park}	{33.80798489664312,-117.91896778777333,Anaheim,CA,United States}	{Arts & Entertainment,}
1141	Tue May 31 03:28:09 +0000 2011	4aadba50f964a520596120e3	{Mickey & Friends Parking Structure}	{33.81481057349054,-117.92484283447264,Anaheim,CA,United States}	{Arts & Entertainment,Professional & Other Places,}
1141	Mon May 30 17:29:42 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Sun May 29 15:14:33 +0000 2011	4bb5e5d82ea1952181dbaa2f	{Newport Aquatic Center}	{33.62502634571496,-117.89400691603728,Newport Beach,CA,United States}	{Travel & Transport,}
1141	Sun May 29 14:44:49 +0000 2011	4aa2a088f964a520fd4120e3	{K??an Coffee}	{33.62781821666667,-117.90848,Newport Beach,CA,United States}	{Food,}
1141	Sat May 28 22:08:31 +0000 2011	4bb5e5d82ea1952181dbaa2f	{Newport Aquatic Center}	{33.62502634571496,-117.89400691603728,Newport Beach,CA,United States}	{Travel & Transport,}
1141	Sat May 28 03:39:58 +0000 2011	4cfdd533c51fa1cdd340f32b	{Rock City Climbing Gym}	{33.858535,-117.80658346,Anaheim,CA,United States}	{College & University,}
1141	Fri May 27 04:29:08 +0000 2011	4cfdd533c51fa1cdd340f32b	{Rock City Climbing Gym}	{33.858535,-117.80658346,Anaheim,CA,United States}	{College & University,}
1141	Thu May 26 02:04:14 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Tue May 24 04:19:19 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Sun May 22 20:26:11 +0000 2011	4bb5e5d82ea1952181dbaa2f	{Newport Aquatic Center}	{33.62502634571496,-117.89400691603728,Newport Beach,CA,United States}	{Travel & Transport,}
1141	Sat May 21 01:53:01 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Fri May 20 13:49:09 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Fri May 20 04:09:07 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Thu May 19 02:50:24 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Wed May 18 04:11:30 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Tue May 17 20:50:57 +0000 2011	4c86966351ada1cd928b4110	{OCC Science Hall}	{33.67024701117675,-117.91308403015137,Costa Mesa,CA,United States}	{College Academic Building,College & University,}
1141	Tue May 17 03:51:03 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Mon May 16 21:41:09 +0000 2011	4ab3ce37f964a520926e20e3	{Orange Coast College}	{33.670276183885605,-117.91187009484437,Costa Mesa,CA,United States}	{College Academic Building,College & University,}
1141	Mon May 16 14:09:00 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
1141	Sun May 15 19:41:11 +0000 2011	4b45357df964a520150826e3	{24 Hour Fitness}	{33.8057713475691,-117.911925315856,Anaheim,CA,United States}	{Shop & Service,}
