399	Fri Aug 12 02:25:51 +0000 2011	4b2830dff964a5208c9024e3	{Westminster Mall}	{33.74710908,-118.0117893,Westminster,CA,United States}	{Shop & Service,Food,}
399	Sun Jul 31 05:58:53 +0000 2011	4e34c770fa7656ba316a9969	{Christmas In July}	{34.0608524,-117.28642302,San Bernardino,CA,United States}	{Music Venue,Arts & Entertainment,}
399	Sat Jul 30 22:44:39 +0000 2011	4e2ce60ec65bcaf4003e5ecc	{Mama And Lucy's Castle}	{33.97501011681098,-117.55545471892127,Corona,CA,United States}	{Residence,}
399	Sat Jul 30 21:17:38 +0000 2011	4c8939cded0aa1437500b0f3	{Chipotle Mexican Grill}	{33.97639231886985,-117.55300283432007,Eastvale,CA,United States}	{Food,}
399	Thu Jul 28 19:33:47 +0000 2011	4a8449d5f964a52030fc1fe3	{Apple Store, Fashion Island}	{33.615091232578,-117.875252942446,Newport Beach,CA,United States}	{Shop & Service,}
399	Thu Jul 28 05:25:43 +0000 2011	4bf777f2b182c9b697e4755a	{Edwards Big Newport 6}	{33.61254804848211,-117.87330928555288,Newport Beach,CA,United States}	{Arts & Entertainment,Movie Theater,}
399	Wed Jul 27 07:54:12 +0000 2011	4ce9f626f3bda1438a44c3e4	{The Hall Of Justice}	{33.756593,-117.841407,Santa Ana,CA,United States}	{Government Building,Professional & Other Places,}
399	Tue Jul 26 08:36:44 +0000 2011	4ce9f626f3bda1438a44c3e4	{The Hall Of Justice}	{33.756593,-117.841407,Santa Ana,CA,United States}	{Government Building,Professional & Other Places,}
399	Tue Jul 26 01:46:15 +0000 2011	4b7c2d65f964a52046822fe3	{Bank of America}	{33.6276273214134,-117.90690422058105,Newport Beach,CA,United States}	{Shop & Service,}
399	Mon Jul 25 19:10:29 +0000 2011	4a8449d5f964a52030fc1fe3	{Apple Store, Fashion Island}	{33.615091232578,-117.875252942446,Newport Beach,CA,United States}	{Shop & Service,}
399	Mon Jul 25 15:27:17 +0000 2011	4ce9f626f3bda1438a44c3e4	{The Hall Of Justice}	{33.756593,-117.841407,Santa Ana,CA,United States}	{Government Building,Professional & Other Places,}
399	Mon Jul 25 03:42:26 +0000 2011	4e2ce60ec65bcaf4003e5ecc	{Mama And Lucy's Castle}	{33.97501011681098,-117.55545471892127,Corona,CA,United States}	{Residence,}
399	Sun Jul 24 19:57:02 +0000 2011	4a7b6e55f964a52003eb1fe3	{Fashion Island}	{33.615986299808654,-117.87536144256592,Newport Beach,CA,United States}	{Outdoors & Recreation,Shop & Service,}
399	Sun Jul 24 19:54:54 +0000 2011	4a8449d5f964a52030fc1fe3	{Apple Store, Fashion Island}	{33.615091232578,-117.875252942446,Newport Beach,CA,United States}	{Shop & Service,}
399	Sun Jul 24 09:18:26 +0000 2011	4ce9f626f3bda1438a44c3e4	{The Hall Of Justice}	{33.756593,-117.841407,Santa Ana,CA,United States}	{Government Building,Professional & Other Places,}
399	Sun Jul 24 01:05:47 +0000 2011	428e7a00f964a520dc231fe3	{4th & B}	{32.71771521580978,-117.15883627292341,San Diego,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
399	Sat Jul 23 23:09:26 +0000 2011	4e27a7e2b3ad3ecf934f1a03	{San Diego Comic-Con International 2011}	{32.707885,-117.163846,San Diego,CA,United States}	{Arts & Entertainment,Professional & Other Places,}
399	Sat Jul 23 15:34:00 +0000 2011	47a7e7adf964a5208e4d1fe3	{San Diego Convention Center}	{32.706765341432224,-117.16129302978516,San Diego,CA,United States}	{Arts & Entertainment,Professional & Other Places,}
399	Sat Jul 23 06:35:28 +0000 2011	4e1f230d152098f789cb37ec	{Nerd HQ}	{32.709225368510985,-117.1608316898346,San Diego,CA,United States}	{Arts & Entertainment,}
399	Fri Jul 22 21:35:00 +0000 2011	40e0b100f964a52089021fe3	{Old Town Mexican Cafe}	{32.75238772,-117.19467289,San Diego,CA,United States}	{Food,}
399	Fri Jul 22 20:22:50 +0000 2011	4b15503df964a5202eb023e3	{Petco Park}	{32.707559779610634,-117.15702295303345,San Diego,CA,United States}	{Stadium,Arts & Entertainment,}
399	Fri Jul 22 19:39:19 +0000 2011	4e285bc9d4c0e361d9dd4aba	{Ballroom 20 Line}	{32.705771,-117.16187586,San Diego,CA,United States}	{Professional & Other Places,}
399	Fri Jul 22 19:38:32 +0000 2011	47a7e7adf964a5208e4d1fe3	{San Diego Convention Center}	{32.706765341432224,-117.16129302978516,San Diego,CA,United States}	{Arts & Entertainment,Professional & Other Places,}
399	Fri Jul 22 17:09:36 +0000 2011	4b9d23b8f964a520319336e3	{Gaslamp Plaza Suites}	{32.71471869231663,-117.15984720229078,San Diego,CA,United States}	{Travel & Transport,Hotel,}
399	Fri Jul 22 12:53:55 +0000 2011	440b42b0f964a52073301fe3	{Manchester Grand Hyatt San Diego}	{32.7103296438778,-117.16823887204687,San Diego,CA,United States}	{Travel & Transport,Convention Center,Professional & Other Places,}
399	Fri Jul 22 09:07:34 +0000 2011	4b9d23b8f964a520319336e3	{Gaslamp Plaza Suites}	{32.71471869231663,-117.15984720229078,San Diego,CA,United States}	{Travel & Transport,Hotel,}
399	Fri Jul 22 04:08:29 +0000 2011	4e267097aeb766362533b7d8	{Trickster!}	{32.70878505829317,-117.15988166570396,San Diego,CA,United States}	{Shop & Service,Arts & Entertainment,}
399	Fri Jul 22 00:32:18 +0000 2011	4e188958814da5f552569ba6	{South Park Fan Experience}	{32.70970833833862,-117.16347098350525,San Diego,CA,United States}	{Arts & Entertainment,}
399	Thu Jul 21 23:09:46 +0000 2011	40e0b100f964a52011021fe3	{Dublin Square Irish Pub}	{32.710974,-117.161169,San Diego,CA,United States}	{Nightlife Spot,}
399	Thu Jul 21 16:22:28 +0000 2011	47a7e7adf964a5208e4d1fe3	{San Diego Convention Center}	{32.706765341432224,-117.16129302978516,San Diego,CA,United States}	{Arts & Entertainment,Professional & Other Places,}
399	Thu Jul 21 06:19:14 +0000 2011	4b9d23b8f964a520319336e3	{Gaslamp Plaza Suites}	{32.71471869231663,-117.15984720229078,San Diego,CA,United States}	{Travel & Transport,Hotel,}
399	Thu Jul 21 01:38:54 +0000 2011	4c47335476d72d7f8d683c4d	{San Diego Comic-Con Badge Pick-up (#SDCC)}	{32.76185368599747,-117.16747283935547,San Diego,CA,United States}	{Professional & Other Places,}
399	Thu Jul 21 01:19:43 +0000 2011	4b952c0af964a520dc9234e3	{Town and Country Resort and Convention Center}	{32.763324210120764,-117.16793445746461,San Diego,CA,United States}	{Travel & Transport,Hotel,Convention Center,Professional & Other Places,}
399	Thu Jul 21 00:37:41 +0000 2011	4ab1e40df964a520a36a20e3	{Hawthorn Suites}	{32.75808865,-117.175888,San Diego,CA,United States}	{Travel & Transport,}
399	Wed Jul 20 23:58:13 +0000 2011	4b64a4c3f964a52002c52ae3	{San Diego California Temple}	{32.86614938738518,-117.22888296827679,San Diego,CA,United States}	{Spiritual Center,Professional & Other Places,}
399	Wed Jul 20 23:42:40 +0000 2011	4abee76ff964a5207f9020e3	{Del Mar Fairgrounds}	{32.97407195728699,-117.25815296173096,Del Mar,CA,United States}	{Arts & Entertainment,Professional & Other Places,}
399	Wed Jul 20 22:55:51 +0000 2011	4c1d2babeac020a1d6c547c2	{San Onofre Nuclear Generating Station}	{33.36917287376294,-117.55468726158142,Pendleton,CA,United States}	{Outdoors & Recreation,Professional & Other Places,}
399	Wed Jul 20 22:55:21 +0000 2011	4c1d2babeac020a1d6c547c2	{San Onofre Nuclear Generating Station}	{33.36917287376294,-117.55468726158142,Pendleton,CA,United States}	{Outdoors & Recreation,Professional & Other Places,}
399	Tue Jul 19 03:38:07 +0000 2011	4a98cbeaf964a5203a2d20e3	{The Auld Irisher Pub & Restaurant}	{33.80896282042454,-117.86926746368408,Orange,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
399	Mon Jul 18 02:29:58 +0000 2011	4ce9f626f3bda1438a44c3e4	{The Hall Of Justice}	{33.756593,-117.841407,Santa Ana,CA,United States}	{Government Building,Professional & Other Places,}
399	Mon Jul 18 02:28:10 +0000 2011	4c97cb81fbcc224b34007a91	{Newbridge College}	{33.759452557743124,-117.840996353346,Santa Ana,CA,United States}	{College & University,}
399	Sun Jul 17 16:37:52 +0000 2011	4a8449d5f964a52030fc1fe3	{Apple Store, Fashion Island}	{33.615091232578,-117.875252942446,Newport Beach,CA,United States}	{Shop & Service,}
399	Sun Jul 17 15:42:43 +0000 2011	4c352ae43896e21e69e1ec90	{Starbucks}	{33.617435767353676,-117.87454537295442,Newport Beach,CA,United States}	{Food,}
399	Sun Jul 17 03:58:06 +0000 2011	4ce9f626f3bda1438a44c3e4	{The Hall Of Justice}	{33.756593,-117.841407,Santa Ana,CA,United States}	{Government Building,Professional & Other Places,}
399	Sat Jul 16 23:22:54 +0000 2011	4c06c8508a81c9b618422690	{City of Laguna Beach}	{33.54257505029259,-117.78450965881348,Laguna Beach,CA,United States}	{Outdoors & Recreation,}
399	Sat Jul 16 23:22:26 +0000 2011	4a624047f964a52086c31fe3	{Corona del Mar State Beach}	{33.593477057430086,-117.87684202194214,Newport Beach,CA,United States}	{Outdoors & Recreation,}
399	Sat Jul 16 23:21:57 +0000 2011	4b649c75f964a52002c22ae3	{Inspiration Point}	{33.59236858261211,-117.871535256518,Newport Beach,CA,United States}	{Outdoors & Recreation,}
399	Sat Jul 16 00:51:50 +0000 2011	4a80e20df964a52066f61fe3	{Edwards Irvine Spectrum 21 IMAX & RPX}	{33.65195403158847,-117.74535477161407,Irvine,CA,United States}	{Arts & Entertainment,Movie Theater,}
399	Fri Jul 15 01:09:09 +0000 2011	4e18aea514957dc705da1d81	{Slater's 50/50}	{33.67183001072449,-117.98721121504268,Huntington Beach,CA,United States}	{Food,}
399	Thu Jul 14 19:24:55 +0000 2011	4e1b5b7788777d13d0443585	{Five Guys}	{33.616125,-117.87464296666667,Newport Beach,CA,United States}	{Food,}
399	Wed Jul 13 04:37:22 +0000 2011	4ce9f626f3bda1438a44c3e4	{The Hall Of Justice}	{33.756593,-117.841407,Santa Ana,CA,United States}	{Government Building,Professional & Other Places,}
399	Sun Jul 10 21:26:05 +0000 2011	4a8449d5f964a52030fc1fe3	{Apple Store, Fashion Island}	{33.615091232578,-117.875252942446,Newport Beach,CA,United States}	{Shop & Service,}
399	Sun Jul 10 02:47:03 +0000 2011	4e190cf945dd120c12155847	{Weird Al Concert! - Pacific Amphitheatre}	{33.666381,-117.904792,Costa Mesa,CA,United States}	{Arts & Entertainment,}
399	Sun Jul 10 02:46:42 +0000 2011	4c126ba6a1010f47dfcb4818	{Pacific Amphitheatre}	{33.66621101327118,-117.9047155380249,Costa Mesa,CA,United States}	{Arts & Entertainment,Professional & Other Places,}
399	Sun Jul 10 01:17:52 +0000 2011	4af88390f964a520f40d22e3	{That Boba Place}	{33.67397,-117.920079,Costa Mesa,CA,United States}	{Food,}
399	Sun Jul 10 01:15:46 +0000 2011	4bdb8a612a3a0f47f6b5afb6	{Tandoori Fresh}	{33.67419130180344,-117.91972786188126,Costa Mesa,CA,United States}	{Food,}
399	Sat Jul 09 18:10:07 +0000 2011	4b7f5946f964a520232930e3	{San Dimas High School}	{34.09865015178509,-117.82477477332688,San Dimas,CA,United States}	{School,Professional & Other Places,}
399	Sat Jul 09 16:45:24 +0000 2011	4ce9f626f3bda1438a44c3e4	{The Hall Of Justice}	{33.756593,-117.841407,Santa Ana,CA,United States}	{Government Building,Professional & Other Places,}
399	Sat Jul 09 05:32:53 +0000 2011	4a9db119f964a520f53820e3	{AMC Santa Anita 16}	{34.13525211860911,-118.0491042137146,Arcadia,CA,United States}	{Arts & Entertainment,Movie Theater,}
399	Sat Jul 09 02:35:42 +0000 2011	4b02139cf964a520904722e3	{Clearman's North Woods Inn}	{34.129001139945245,-118.07353032894899,San Gabriel,CA,United States}	{Nightlife Spot,Food,}
399	Fri Jul 08 22:53:33 +0000 2011	4e15f41b18384368edd4bf80	{Wayne Manor}	{33.87726249,-117.61628818,Corona,CA,United States}	{}
399	Fri Jul 08 22:52:46 +0000 2011	4e15f8a31f6e29fb7d551ea0	{Stratton Station}	{33.87725756,-117.61607459,Corona,CA,United States}	{}
399	Fri Jul 08 05:56:23 +0000 2011	4ad3de1bf964a520a8e620e3	{The Home Depot}	{33.72529289887347,-117.84327064086695,Santa Ana,CA,United States}	{Shop & Service,}
399	Wed Jul 06 13:25:33 +0000 2011	4b4e32a3f964a520e8e426e3	{Starbucks}	{33.75956867907388,-117.833738604986,Santa Ana,CA,United States}	{Food,}
399	Mon Jul 04 21:59:23 +0000 2011	4c099d04009a0f473421e8bf	{City of Long Beach}	{33.77768482129236,-118.1893515586853,Long Beach,CA,United States}	{Outdoors & Recreation,}
399	Mon Jul 04 17:41:47 +0000 2011	44e246f9f964a52027371fe3	{Shoreline Village at Rainbow Harbor}	{33.760738571555386,-118.19079390701148,Long Beach,CA,United States}	{Nightlife Spot,Shop & Service,}
399	Sun Jul 03 19:56:58 +0000 2011	4a8449d5f964a52030fc1fe3	{Apple Store, Fashion Island}	{33.615091232578,-117.875252942446,Newport Beach,CA,United States}	{Shop & Service,}
399	Sat Jul 02 05:33:40 +0000 2011	4ce9f626f3bda1438a44c3e4	{The Hall Of Justice}	{33.756593,-117.841407,Santa Ana,CA,United States}	{Government Building,Professional & Other Places,}
399	Sat Jul 02 02:21:36 +0000 2011	4b155044f964a5203db023e3	{Angel Stadium of Anaheim}	{33.80002327603627,-117.88301914930344,Anaheim,CA,United States}	{Stadium,Arts & Entertainment,}
399	Fri Jul 01 01:01:35 +0000 2011	4c0d4627d64c0f47b076265d	{Chipotle Mexican Grill}	{33.638525394029216,-117.86016941070557,Newport Beach,CA,United States}	{Food,}
399	Thu Jun 30 06:33:16 +0000 2011	4abfb83bf964a520d09120e3	{Don The Beachcomber}	{33.725450614094484,-118.07917714118958,Huntington Beach,CA,United States}	{Nightlife Spot,Food,Arts & Entertainment,}
399	Thu Jun 30 06:32:35 +0000 2011	49f6dbe4f964a5205f6c1fe3	{Harbor House Cafe}	{33.72418796432741,-118.07756245136261,Sunset Beach,CA,United States}	{Food,}
399	Wed Jun 29 04:48:00 +0000 2011	4ce9f626f3bda1438a44c3e4	{The Hall Of Justice}	{33.756593,-117.841407,Santa Ana,CA,United States}	{Government Building,Professional & Other Places,}
399	Tue Jun 28 07:13:28 +0000 2011	4a9215abf964a520c61c20e3	{Matador Cantina}	{33.870825776503544,-117.92454833147454,Fullerton,CA,United States}	{Nightlife Spot,Food,}
399	Sat Jun 25 00:17:58 +0000 2011	4ce9f626f3bda1438a44c3e4	{The Hall Of Justice}	{33.756593,-117.841407,Santa Ana,CA,United States}	{Government Building,Professional & Other Places,}
399	Fri Jun 24 01:28:16 +0000 2011	4bb830a253649c74fbda46fb	{Brian's Beer & Billiards}	{33.89101980635394,-117.87231354235796,Placentia,CA,United States}	{Nightlife Spot,}
399	Wed Jun 22 22:30:07 +0000 2011	4a8449d5f964a52030fc1fe3	{Apple Store, Fashion Island}	{33.615091232578,-117.875252942446,Newport Beach,CA,United States}	{Shop & Service,}
399	Tue Jun 21 04:48:28 +0000 2011	4bf47579ff90c9b6c44a5528	{Yard House}	{33.617147792389765,-117.87630558013916,Newport Beach,CA,United States}	{Nightlife Spot,Food,}
399	Sun Jun 19 16:25:16 +0000 2011	4a8449d5f964a52030fc1fe3	{Apple Store, Fashion Island}	{33.615091232578,-117.875252942446,Newport Beach,CA,United States}	{Shop & Service,}
399	Sat Jun 18 01:22:08 +0000 2011	4d72bb2dff6ba35d8e0b738a	{Mountain Lakes Resort}	{34.251562582132586,-117.4903147489479,Lytle Creek,CA,United States}	{Outdoors & Recreation,Food,}
399	Fri Jun 17 16:57:54 +0000 2011	4c01d72af8492d7f72905ffa	{Land Of The Cows}	{33.975289073862854,-117.5583028793335,Corona,CA,United States}	{Outdoors & Recreation,}
399	Fri Jun 17 16:55:33 +0000 2011	4b25879df964a5205d7324e3	{Starbucks}	{33.97495654055405,-117.56083220243454,Corona,CA,United States}	{Food,}
399	Thu Jun 16 05:05:08 +0000 2011	4c002307daf9c9b64856fbef	{Sweet Basil}	{33.667898,-117.88234973,Costa Mesa,CA,United States}	{Food,}
399	Thu Jun 16 03:18:50 +0000 2011	4b85f9c2f964a520437c31e3	{Durty Nelly's Irish Pub & Restaurant}	{33.66872877596762,-117.8807027939973,Costa Mesa,CA,United States}	{Nightlife Spot,}
399	Wed Jun 15 15:44:22 +0000 2011	4bc69533db8fa59324a79c37	{Nordstrom}	{33.615798672615455,-117.87737846374512,Newport Beach,CA,United States}	{Shop & Service,Food,}
399	Wed Jun 15 05:53:32 +0000 2011	4a9c6330f964a520033720e3	{T.G.I. Friday's}	{33.68963858945396,-117.8816270828247,Costa Mesa,CA,United States}	{Nightlife Spot,Food,}
399	Mon Jun 13 19:43:37 +0000 2011	4c0d4627d64c0f47b076265d	{Chipotle Mexican Grill}	{33.638525394029216,-117.86016941070557,Newport Beach,CA,United States}	{Food,}
399	Mon Jun 13 01:46:20 +0000 2011	4c0d4627d64c0f47b076265d	{Chipotle Mexican Grill}	{33.638525394029216,-117.86016941070557,Newport Beach,CA,United States}	{Food,}
399	Sun Jun 12 20:49:12 +0000 2011	4d028ad10e49721e6b78657f	{Fashion Island Food Court}	{33.616124428036414,-117.87465982506575,Newport Beach,CA,United States}	{Shop & Service,Food & Drink Shop,}
399	Sun Jun 12 20:47:54 +0000 2011	4bb3b2e64019a593bb5038b8	{Subway}	{33.61588801894887,-117.87491083145142,Newport Beach,CA,United States}	{Food,}
399	Sun Jun 12 20:47:54 +0000 2011	4bb3b2e64019a593bb5038b8	{Subway}	{33.61588801894887,-117.87491083145142,Newport Beach,CA,United States}	{Food,}
399	Sun Jun 12 18:25:22 +0000 2011	4ba14e5df964a520f5aa37e3	{Teuscher}	{33.614369118684145,-117.87570476531982,Newport Beach,CA,United States}	{Shop & Service,Food,}
399	Sun Jun 12 18:24:55 +0000 2011	4a8449d5f964a52030fc1fe3	{Apple Store, Fashion Island}	{33.615091232578,-117.875252942446,Newport Beach,CA,United States}	{Shop & Service,}
399	Sun Jun 12 04:56:09 +0000 2011	4b660628f964a5201b0f2be3	{Century Theatres}	{33.73291053139245,-117.99287867781445,Huntington Beach,CA,United States}	{Arts & Entertainment,Movie Theater,}
399	Sun Jun 12 03:05:32 +0000 2011	4b5b5c45f964a520e3f728e3	{Gyu-Kaku Huntington Beach}	{33.71531212525122,-117.99025942882297,Huntington Beach,CA,United States}	{Food,}
399	Sat Jun 11 21:36:25 +0000 2011	4d279d28467d6ea86c69be95	{The Castle}	{33.67427587509155,-117.9969835281372,,,United States}	{}
399	Sat Jun 11 19:18:28 +0000 2011	4b4a4693f964a520e98126e3	{OC Fair & Event Center}	{33.66585383619394,-117.9023551940918,Costa Mesa,CA,United States}	{Arts & Entertainment,Professional & Other Places,}
399	Sat Jun 11 07:54:12 +0000 2011	4ce9f626f3bda1438a44c3e4	{The Hall Of Justice}	{33.756593,-117.841407,Santa Ana,CA,United States}	{Government Building,Professional & Other Places,}
399	Fri Jun 10 00:32:08 +0000 2011	4b6b7a35f964a520510b2ce3	{Jay Bee's House Of Fine Bar-B-Que}	{33.887411730401986,-118.26556652784348,Gardena,CA,United States}	{Food,}
399	Fri Jun 10 00:32:08 +0000 2011	4b6b7a35f964a520510b2ce3	{Jay Bee's House Of Fine Bar-B-Que}	{33.887411730401986,-118.26556652784348,Gardena,CA,United States}	{Food,}
399	Thu Jun 09 16:48:52 +0000 2011	4ded8751d4c0194252e9ee0b	{G4 E3 2011 @ LA Convention Center}	{34.040229,-118.269176,Los Angeles,CA,United States}	{Arts & Entertainment,}
399	Thu Jun 09 16:48:22 +0000 2011	40a01780f964a520f3f21ee3	{Los Angeles Convention Center}	{34.0407827647928,-118.27005386352539,Los Angeles,CA,United States}	{Convention Center,Professional & Other Places,}
399	Thu Jun 09 16:47:54 +0000 2011	4dd70863091ad1a8054416e1	{E3 2011 LA Convention Center}	{34.04049827357798,-118.26898097991943,Los Angeles,CA,United States}	{Professional & Other Places,}
399	Thu Jun 09 16:25:54 +0000 2011	4c1f4c13b306c928c82d68b7	{Los Angeles Memorial Coliseum}	{34.01400974062912,-118.28789591789246,Los Angeles,CA,United States}	{College & University,Arts & Entertainment,College Stadium,}
399	Thu Jun 09 14:36:04 +0000 2011	4b4e32a3f964a520e8e426e3	{Starbucks}	{33.75956867907388,-117.833738604986,Santa Ana,CA,United States}	{Food,}
399	Thu Jun 09 07:00:04 +0000 2011	4ce9f626f3bda1438a44c3e4	{The Hall Of Justice}	{33.756593,-117.841407,Santa Ana,CA,United States}	{Government Building,Professional & Other Places,}
399	Thu Jun 09 02:42:06 +0000 2011	4abfb83bf964a520d09120e3	{Don The Beachcomber}	{33.725450614094484,-118.07917714118958,Huntington Beach,CA,United States}	{Nightlife Spot,Food,Arts & Entertainment,}
399	Tue Jun 07 04:16:41 +0000 2011	4ce9f626f3bda1438a44c3e4	{The Hall Of Justice}	{33.756593,-117.841407,Santa Ana,CA,United States}	{Government Building,Professional & Other Places,}
399	Mon Jun 06 17:26:21 +0000 2011	4ce9f626f3bda1438a44c3e4	{The Hall Of Justice}	{33.756593,-117.841407,Santa Ana,CA,United States}	{Government Building,Professional & Other Places,}
399	Mon Jun 06 05:45:22 +0000 2011	451cfbd2f964a520833a1fe3	{John Wayne Airport (SNA)}	{33.67956837093503,-117.86175727844238,Santa Ana,CA,United States}	{Travel & Transport,}
