3673	Mon Dec 12 01:32:40 +0000 2011	4a566cf7f964a52021b51fe3	{Golden Eagle Market}	{37.75857177290017,-122.42139449919512,San Francisco,CA,United States}	{Shop & Service,Food & Drink Shop,}
3673	Mon Jun 13 16:14:23 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Sat Jun 11 19:08:39 +0000 2011	48df9c9df964a52013521fe3	{Javalencia}	{37.75808455,-122.42129266262054,San Francisco,CA,United States}	{Food,}
3673	Sat Jun 11 16:09:02 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Fri Jun 10 16:59:40 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Thu Jun 09 22:48:12 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Wed Jun 08 18:07:20 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Tue Jun 07 22:56:45 +0000 2011	4dc40348ae608779d116106c	{Cumaica Coffee}	{37.77528151015912,-122.41596311330795,San Francisco,CA,United States}	{Food,}
3673	Mon Jun 06 20:43:39 +0000 2011	459ac90cf964a52088401fe3	{Trader Joe's}	{37.77097,-122.407654,San Francisco,CA,United States}	{Shop & Service,Food & Drink Shop,}
3673	Sun Jun 05 19:47:29 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Fri Jun 03 23:45:14 +0000 2011	4b2c56d5f964a52005c624e3	{Borderlands Cafe}	{37.75911208915013,-122.42146968841551,San Francisco,CA,United States}	{Food,}
3673	Wed Jun 01 16:00:56 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Tue May 31 22:52:18 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Mon May 30 19:43:39 +0000 2011	4b94303ef964a5209d6d34e3	{The Wash Quarters}	{37.75715238,-122.421183,San Francisco,CA,United States}	{Shop & Service,}
3673	Mon May 30 17:43:34 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Mon May 30 04:15:14 +0000 2011	4a87356df964a5203e0320e3	{Balboa Theater}	{37.77591264508869,-122.49804658706309,San Francisco,CA,United States}	{Arts & Entertainment,Movie Theater,}
3673	Sun May 29 19:54:05 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Fri May 27 21:35:52 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Wed May 25 21:54:07 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Fri May 20 18:12:24 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Thu May 19 02:35:09 +0000 2011	4a2f4ceff964a520bf981fe3	{Pizza Zone 'N' Grill}	{37.77027372582713,-122.42252824204944,San Francisco,CA,United States}	{Food,}
3673	Wed May 18 03:19:30 +0000 2011	4bd9c88767b49c74d89d2214	{Pica Pica Maize Kitchen}	{37.76650865413934,-122.42192542420246,San Francisco,CA,United States}	{Food,}
3673	Tue May 17 22:29:57 +0000 2011	4dc40348ae608779d116106c	{Cumaica Coffee}	{37.77528151015912,-122.41596311330795,San Francisco,CA,United States}	{Food,}
3673	Mon May 16 15:40:01 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Sun May 15 17:31:07 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Sat May 14 17:25:11 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Fri May 13 16:57:30 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Thu May 12 22:37:44 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Thu May 12 17:35:36 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Wed May 11 17:48:37 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Tue May 10 16:07:56 +0000 2011	4a5d6fa7f964a520a4bd1fe3	{Mission Bartlett Garage}	{37.75616236821142,-122.42026001214981,San Francisco,CA,United States}	{Travel & Transport,Professional & Other Places,}
3673	Tue May 10 14:45:26 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Tue May 10 01:08:29 +0000 2011	49e79762f964a520d0641fe3	{Dog Eared Books}	{37.75850137297435,-122.42142677307129,San Francisco,CA,United States}	{Shop & Service,}
3673	Mon May 09 17:54:08 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Mon May 09 17:02:06 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Sun May 08 22:53:35 +0000 2011	4a51a878f964a5202ab11fe3	{RadioShack}	{37.753506,-122.4187446,San Francisco,CA,United States}	{Shop & Service,}
3673	Sun May 08 21:59:41 +0000 2011	48df9c9df964a52013521fe3	{Javalencia}	{37.75808455,-122.42129266262054,San Francisco,CA,United States}	{Food,}
3673	Sun May 08 21:05:10 +0000 2011	4dbce77ba86e0e98a1f01ef1	{Fellow Barber}	{37.761747887915064,-122.4217042057757,San Francisco,CA,United States}	{Shop & Service,Clothing Store,}
3673	Sat May 07 16:51:48 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Sat May 07 16:05:32 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Sat May 07 04:33:04 +0000 2011	4a3f0e19f964a520aea31fe3	{Lost Weekend Video}	{37.756402,-122.42111,San Francisco,CA,United States}	{Shop & Service,}
3673	Sat May 07 04:26:28 +0000 2011	4a95b7d1f964a520472420e3	{We Be Sushi}	{37.75588,-122.421035,San Francisco,CA,United States}	{Food,}
3673	Sat May 07 03:57:52 +0000 2011	4d561cd4fb65236a8bf001b4	{Incline Gallery}	{37.760624,-122.42179,San Francisco,CA,United States}	{Arts & Entertainment,}
3673	Fri May 06 17:43:04 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Fri May 06 15:50:17 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Fri May 06 14:13:20 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Fri May 06 01:32:36 +0000 2011	48df9c9df964a52013521fe3	{Javalencia}	{37.75808455,-122.42129266262054,San Francisco,CA,United States}	{Food,}
3673	Fri May 06 01:32:35 +0000 2011	48df9c9df964a52013521fe3	{Javalencia}	{37.75808455,-122.42129266262054,San Francisco,CA,United States}	{Food,}
3673	Fri May 06 01:32:22 +0000 2011	4b94303ef964a5209d6d34e3	{The Wash Quarters}	{37.75715238,-122.421183,San Francisco,CA,United States}	{Shop & Service,}
3673	Thu May 05 22:30:15 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Thu May 05 19:34:37 +0000 2011	4a20a7d9f964a520b17c1fe3	{Valencia Whole Foods}	{37.756946,-122.42103024,San Francisco,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
3673	Thu May 05 19:31:07 +0000 2011	4a5d6fa7f964a520a4bd1fe3	{Mission Bartlett Garage}	{37.75616236821142,-122.42026001214981,San Francisco,CA,United States}	{Travel & Transport,Professional & Other Places,}
3673	Thu May 05 18:19:59 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Thu May 05 16:27:55 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Fri Apr 29 15:57:24 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Fri Apr 29 14:54:02 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Fri Apr 29 01:56:51 +0000 2011	4a20a7d9f964a520b17c1fe3	{Valencia Whole Foods}	{37.756946,-122.42103024,San Francisco,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
3673	Thu Apr 28 22:56:24 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Thu Apr 28 22:23:05 +0000 2011	4dc40348ae608779d116106c	{Cumaica Coffee}	{37.77528151015912,-122.41596311330795,San Francisco,CA,United States}	{Food,}
3673	Thu Apr 28 17:04:49 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Thu Apr 28 02:39:51 +0000 2011	4a2f4ceff964a520bf981fe3	{Pizza Zone 'N' Grill}	{37.77027372582713,-122.42252824204944,San Francisco,CA,United States}	{Food,}
3673	Thu Apr 28 01:22:05 +0000 2011	4a3f0e19f964a520aea31fe3	{Lost Weekend Video}	{37.756402,-122.42111,San Francisco,CA,United States}	{Shop & Service,}
3673	Wed Apr 27 21:16:13 +0000 2011	4a6fd0b9f964a52006d71fe3	{Walgreens}	{37.75398827705867,-122.41876195637487,San Fransisco,CA,United States}	{Shop & Service,}
3673	Wed Apr 27 20:32:47 +0000 2011	40870b00f964a520a4f21ee3	{Mission Creek Cafe}	{37.757463,-122.421196,San Francisco,CA,United States}	{Food,}
3673	Wed Apr 27 16:10:06 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Wed Apr 27 14:28:40 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Wed Apr 27 13:14:41 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Tue Apr 26 22:46:58 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Tue Apr 26 22:46:58 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Tue Apr 26 21:38:34 +0000 2011	4a7e214cf964a52017f11fe3	{Room 4}	{37.75847,-122.421287,San Francisco,CA,United States}	{Shop & Service,}
3673	Tue Apr 26 21:17:33 +0000 2011	48df9c9df964a52013521fe3	{Javalencia}	{37.75808455,-122.42129266262054,San Francisco,CA,United States}	{Food,}
3673	Tue Apr 26 17:49:59 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Tue Apr 26 16:43:27 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Tue Apr 26 00:37:58 +0000 2011	4b009259f964a520933f22e3	{La Boulange de Noe}	{37.75165334669796,-122.42964565521723,San Francisco,CA,United States}	{Food,}
3673	Mon Apr 25 21:23:21 +0000 2011	4a20a7d9f964a520b17c1fe3	{Valencia Whole Foods}	{37.756946,-122.42103024,San Francisco,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
3673	Mon Apr 25 18:44:52 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Mon Apr 25 18:25:26 +0000 2011	4dc40348ae608779d116106c	{Cumaica Coffee}	{37.77528151015912,-122.41596311330795,San Francisco,CA,United States}	{Food,}
3673	Mon Apr 25 16:33:10 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Mon Apr 25 15:33:34 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Sun Apr 24 23:17:34 +0000 2011	48df9c9df964a52013521fe3	{Javalencia}	{37.75808455,-122.42129266262054,San Francisco,CA,United States}	{Food,}
3673	Sun Apr 24 03:56:11 +0000 2011	49e95478f964a520f1651fe3	{House of Thai}	{37.786161,-122.418102,San Francisco,CA,United States}	{Food,}
3673	Sun Apr 24 03:44:25 +0000 2011	4c26cb23f1272d7fa44e87c5	{941 Gallery--Closed Feb 2013}	{37.78576,-122.418791,San Francisco,CA,United States}	{Arts & Entertainment,}
3673	Sat Apr 23 21:37:06 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Sat Apr 23 20:38:05 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Sat Apr 23 18:33:54 +0000 2011	4a747ed1f964a5204ede1fe3	{Jim's Restaurant}	{37.75827845,-122.419187,San Francisco,CA,United States}	{Food,}
3673	Fri Apr 22 21:48:31 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Fri Apr 22 15:58:15 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Fri Apr 22 15:43:20 +0000 2011	49dd3b7df964a520f35f1fe3	{Rodger's Coffee & Tea}	{37.758656,-122.419752,San Francisco,CA,United States}	{Food,}
3673	Fri Apr 22 14:46:44 +0000 2011	4da61ef90437d0a7934669d3	{Meditation Cushion}	{37.758114770244234,-122.41841076132413,San Francisco,CA,United States}	{Residence,}
3673	Thu Apr 21 22:04:01 +0000 2011	44d43fb3f964a5204d361fe3	{Suginami Aikikai}	{37.773988,-122.41641912,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3673	Thu Apr 21 21:56:35 +0000 2011	4dc40348ae608779d116106c	{Cumaica Coffee}	{37.77528151015912,-122.41596311330795,San Francisco,CA,United States}	{Food,}
3673	Thu Apr 21 20:32:19 +0000 2011	4a6a1cc8f964a520a4cc1fe3	{Deli Pub}	{37.73934957,-122.418492436409,San Francisco,CA,United States}	{Food,}
