3281	Sun Mar 27 19:12:40 +0000 2011	4cf90e0a01568cfaa4fb23e7	{?? Sailor}	{25.068870873048564,121.52772539056775,???,???,Taiwan}	{Nightlife Spot,}
3281	Fri Nov 05 02:22:03 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Wed Nov 03 01:26:14 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Mon Nov 01 23:39:04 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Sat Oct 30 20:22:21 +0000 2010	4bed6fcee3562d7f60fafef8	{Cloud 9}	{47.37375497817993,-122.2298387,Kent,WA,United States}	{Nightlife Spot,}
3281	Fri Oct 29 00:25:43 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Wed Oct 27 00:54:31 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Sun Oct 24 19:34:26 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Thu Oct 21 00:29:03 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Sat Oct 16 17:35:03 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Sat Oct 16 01:15:14 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Tue Oct 12 16:55:22 +0000 2010	4c99382178ffa093f20d6275	{Magic Darts & Billiards}	{38.669273257255554,-121.3349175453186,Sacramento,CA,United States}	{Shop & Service,}
3281	Sun Oct 10 21:51:12 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Fri Oct 08 00:45:33 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Sat Oct 02 20:01:08 +0000 2010	4c0492139a7920a1ba7ed179	{Tetotom Park}	{38.718063596971824,-121.34395122528076,Antelope,CA,United States}	{Outdoors & Recreation,}
3281	Sat Oct 02 02:05:48 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Thu Sep 30 01:59:10 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Sat Sep 25 20:52:03 +0000 2010	4ac3c347f964a520b69c20e3	{Kirk's Steakburgers - Campbell}	{37.279172,-121.93148374557495,Campbell,CA,United States}	{Food,}
3281	Sat Sep 25 16:41:13 +0000 2010	4bef8557d1b7d13a4eebcdec	{Courts Lounge}	{37.27873163082464,-121.93231441290756,Campbell,CA,United States}	{Nightlife Spot,}
3281	Sat Sep 25 03:27:23 +0000 2010	4bef8557d1b7d13a4eebcdec	{Courts Lounge}	{37.27873163082464,-121.93231441290756,Campbell,CA,United States}	{Nightlife Spot,}
3281	Sat Sep 18 01:06:58 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Thu Sep 16 23:58:37 +0000 2010	4abeb45ef964a5207c8f20e3	{Wienerworks}	{38.6611838611021,-121.34345503527432,Sacramento,CA,United States}	{Food,}
3281	Thu Sep 16 04:01:45 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
3281	Sat Sep 04 03:17:59 +0000 2010	4a723c89f964a520afda1fe3	{San Francisco Airport Marriott Waterfront}	{37.60253625794439,-122.37074375152588,Burlingame,CA,United States}	{Nightlife Spot,Travel & Transport,Convention Center,Professional & Other Places,}
3281	Fri Sep 03 01:16:06 +0000 2010	4bf72bc14a67c928033a23cf	{Phat Chads}	{38.72105156666667,-121.28989699,Sacramento,CA,United States}	{Nightlife Spot,}
