876	-23.5494933	-46.6368493	(amenity) (social_facility)
877	-23.5488535	-46.6366835	(amenity) (social_facility)
33366	-23.9890277	-46.302101	(amenity) (social_facility)	Casa Gran Tempo
33564	-23.6356171	-46.7009309	(amenity) (social_facility)	Felita
34458	-23.4367194	-46.5083028	(amenity) (social_facility)
35722	-23.6615632	-46.5244882	(amenity) (social_facility)	Centro de Referência Especializado de Assistência Social II
35872	-23.8691302	-46.6797001	(amenity) (social_facility)	CCA NOVA AMERICA
39125	-23.7432575	-46.7085242	(amenity) (social_facility)	Reconciliação
51196	-23.520945349999998	-46.7188486	(amenity) (social_facility)	Associação Cristã de Moços
60697	-23.54480425	-46.5931158	(amenity) (social_facility)	São Martinho de Lima ? Povo de Rua
135363	-23.7119436	-46.42097029999999	(amenity) (social_facility)	Casa de Repouso Viña del Mar
151344	-23.4831043	-46.691691750000004	(amenity) (social_facility)	Centro de Referência Especializado de Assistência Social -CREAS
164386	-23.6992528	-46.555030349999996	(amenity) (social_facility)	Centro de Atenção Psicossocial (CAPS) III Centro
165467	-23.705596149999998	-46.5721311	(amenity) (social_facility)	Casa Transitória Servidores de Maria
170332	-23.800297999999998	-46.53563355	(amenity) (social_facility)	SEMEA - Sementes do Amanhã
176056	-23.2359065	-45.8837647	(amenity) (social_facility)	Casa do Idoso
183472	-23.812419849999998	-46.083412100000004	(amenity) (social_facility)	Núcleo de Apoio a Crianças Especiais (Nace)
184961	-23.189546399999998	-45.8709535	(amenity) (social_facility)	Casa de Repouso e Centro de Convivência Nosso Lar
196859	-23.63221155	-46.809190650000005	(amenity) (social_facility)	Centro de Assistência Psicosocial II
197493	-23.5352252	-46.651665949999995	(amenity) (social_facility)	Centro de Acolhida Santa Cecília
197495	-23.5351968	-46.6524985	(amenity) (social_facility)	Castelinho da Rua Apa
199622	-23.6336861	-46.579573550000006	(amenity) (social_facility)	Creas São Caetano do Sul
200352	-23.62622235	-46.56693405	(amenity) (social_facility)	Conselho Tutelar dos Direitos da Criança e do Adolescente de São Caetano do Sul
201003	-23.579527900000002	-46.730351	(amenity) (social_facility)	Sociedade Beneficiente Alemã Residencial
201133	-23.641628400000002	-46.55368165	(amenity) (social_facility)	APAE de São Caetano do Sul
202403	-23.65284535	-46.53889455	(amenity) (social_facility)	Centro de Referência da Mulher Vem Maria
204284	-23.594799350000002	-46.48481665	(amenity) (social_facility)	Abrigo
205171	-23.7617155	-46.67788955	(amenity) (social_facility)	Centro de Promoção Social Bororé
206020	-23.6357019	-46.560067950000004	(amenity) (social_facility)	Casa da Amizade de São Caetano do Sul
209446	-23.515721550000002	-46.16853265	(amenity) (social_facility)	ABOMORAS - Associação Beneficente Onde Moras
212958	-23.692777749999998	-46.5673826	(amenity) (social_facility)	Residence Care
215207	-23.972086349999998	-46.3013419	(amenity) (social_facility)	Cras-ZOI - Centro de Referência de Assistência Social da Zona Orla e Intermediária
221629	-23.958871600000002	-46.33234135	(amenity) (social_facility)	Estação da Cidadania
223281	-23.5320514	-46.16877235	(amenity) (social_facility)	CRAS Vila Nova União
224223	-23.554645	-46.25654405	(amenity) (social_facility)	Centro de Referência da Assistência Social Jundiapeba II
225217	-23.1383173	-46.4676142	(amenity) (social_facility)	Asilo ASBI
228956	-23.530750400000002	-46.67092985	(amenity) (social_facility)	Espaço de Concivencia do Idoso
238460	-23.96245165	-46.24817535	(amenity) (social_facility)	CRAS - Morrinhos
241951	-23.59391275	-46.80632215	(amenity) (social_facility)	Unidade de Atenção Integral à Saúde do Adolescente - DRM IV
242180	-23.7907859	-46.54115745	(amenity) (social_facility)	Comunidade de Amparo Social Asilar
243586	-23.6486395	-46.7011512	(amenity) (social_facility)	Residencial Alto da Boa Vista Para Idosos
244297	-23.61441275	-46.63541965	(amenity) (social_facility)	Vivace
245533	-23.47768865	-46.89397	(amenity) (social_facility)	CRAS - Casa das Famílias
249200	-23.539076549999997	-46.783271600000006	(amenity) (social_facility)	Centro Social Santo Antônio
250277	-23.206007999999997	-45.9008641	(amenity) (social_facility)	Resiliens
251540	-23.90679325	-46.706240550000004	(amenity) (social_facility)	Centro de Referência de Assistência Social - Marsilac
251820	-23.281355050000002	-46.745863549999996	(amenity) (social_facility)	Centro de Atenção Psicosocial Infantil
252461	-23.3240819	-46.72269185	(amenity) (social_facility)	Centro de Referência Especializado de Assistência Social
252470	-23.33135275	-46.7267414	(amenity) (social_facility)	CAPS Álcool e Drogas
254129	-23.4868477	-46.884403899999995	(amenity) (social_facility)	Casa de Repouso Lar Abençoado
254510	-23.71071095	-46.531532299999995	(amenity) (social_facility)	Centro de Atendimento Psicosocial Jardim Farina
254714	-23.42628455	-46.85186445	(amenity) (social_facility)	CRAS Cidade São Pedro
261032	-23.69390675	-46.5553886	(amenity) (social_facility)	São Francisco Residencial para Idosos
266366	-23.61749355	-46.67278975	(amenity) (social_facility)	Cora
268727	-23.26726245	-47.30552815	(amenity) (social_facility)	Asilo Nossa Senhora Candelária
269265	-23.27887085	-46.755047250000004	(amenity) (social_facility)	CRAS Jardim Santo Antônio
270059	-23.28004125	-46.72857295	(amenity) (social_facility)	C.r.a.s.s - Centro de referência de assistência social
270269	-23.6628071	-46.61966435	(amenity) (social_facility)	CRAS Norte
270362	-23.434822150000002	-46.593681450000005	(amenity) (social_facility)	Provedoria da Comunidade Portuguesa de São Paulo
270453	-23.4933647	-46.69212655	(amenity) (social_facility)	Lar da OASE
270736	-23.309762499999998	-45.941724449999995	(amenity) (social_facility)	CRAS Sul
271120	-23.8159846	-46.73531095	(amenity) (social_facility)	Conselho Tutelar de Parelheiros
271485	-23.3595468	-46.01709875	(amenity) (social_facility)	Casa de Passagem
