2506	Fri Aug 12 07:18:16 +0000 2011	4b93674bf964a520cf4234e3	{McGrath's Irish Pub}	{37.77427659018304,-122.25894927978516,Alameda,CA,United States}	{Nightlife Spot,}
2506	Sat May 21 07:52:33 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Sat May 21 00:25:41 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Thu May 19 23:22:02 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Thu May 19 12:45:49 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Thu May 19 03:26:19 +0000 2011	4ba5008ef964a520cfce38e3	{Mountain Mike's Pizza}	{37.77137331666667,-122.27610501666666,Alameda,CA,United States}	{Food,}
2506	Tue May 17 19:39:36 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Sun May 15 04:34:59 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Fri May 13 09:32:50 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Fri May 13 02:29:25 +0000 2011	4b6e40f5f964a5206db42ce3	{Dairy Queen}	{37.46872945,-122.22392787423998,Redwood City,CA,United States}	{Food,}
2506	Thu May 12 19:30:37 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Wed May 11 05:17:39 +0000 2011	4a7a8f85f964a52064e91fe3	{Napoli Pizza}	{37.78653556485636,-122.41987913596937,San Francisco,CA,United States}	{Food,}
2506	Sun May 08 22:09:36 +0000 2011	49f902d3f964a5204c6d1fe3	{Starbucks}	{37.870416,-122.266097,Berkeley,CA,United States}	{Food,}
2506	Sun May 08 20:29:30 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Sun May 08 05:33:18 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Sat May 07 23:58:36 +0000 2011	49f902d3f964a5204c6d1fe3	{Starbucks}	{37.870416,-122.266097,Berkeley,CA,United States}	{Food,}
2506	Sat May 07 23:58:11 +0000 2011	4a5bea11f964a520febb1fe3	{CU Sushi}	{37.870466026987195,-122.26650476016447,Berkeley,CA,United States}	{Food,}
2506	Sat May 07 19:39:16 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Sat May 07 03:48:40 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
2506	Sat May 07 03:45:34 +0000 2011	4dc4c03b7d8b14fb4619cb83	{Park Regent Apartments}	{37.768252,-122.248936,Alameda,CA,United States}	{Residence,}
