3099	Sun Nov 27 06:10:47 +0000 2011	4391dff1f964a520652b1fe3	{Fontana's Bar}	{40.71815358787956,-73.99221117337089,New York,NY,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
3099	Mon Jul 25 16:41:02 +0000 2011	4d2d02d2fd2e236af1d6ecde	{RocketSpace Accelerator}	{37.79110990063006,-122.40120076571911,San Francisco,CA,United States}	{Nightlife Spot,Office,Professional & Other Places,}
3099	Fri Jul 22 16:08:11 +0000 2011	4d2d02d2fd2e236af1d6ecde	{RocketSpace Accelerator}	{37.79110990063006,-122.40120076571911,San Francisco,CA,United States}	{Nightlife Spot,Office,Professional & Other Places,}
3099	Thu Jul 21 19:01:59 +0000 2011	4d2d02d2fd2e236af1d6ecde	{RocketSpace Accelerator}	{37.79110990063006,-122.40120076571911,San Francisco,CA,United States}	{Nightlife Spot,Office,Professional & Other Places,}
3099	Wed Jul 20 16:01:15 +0000 2011	4d2d02d2fd2e236af1d6ecde	{RocketSpace Accelerator}	{37.79110990063006,-122.40120076571911,San Francisco,CA,United States}	{Nightlife Spot,Office,Professional & Other Places,}
3099	Tue Jul 19 15:46:04 +0000 2011	4d2d02d2fd2e236af1d6ecde	{RocketSpace Accelerator}	{37.79110990063006,-122.40120076571911,San Francisco,CA,United States}	{Nightlife Spot,Office,Professional & Other Places,}
3099	Mon Jul 18 15:58:13 +0000 2011	4d2d02d2fd2e236af1d6ecde	{RocketSpace Accelerator}	{37.79110990063006,-122.40120076571911,San Francisco,CA,United States}	{Nightlife Spot,Office,Professional & Other Places,}
3099	Sun Jul 17 02:09:58 +0000 2011	4b9d7b06f964a5207baf36e3	{Sedusa Studios}	{37.665258,-122.38341450691223,South San Francisco,CA,United States}	{Shop & Service,}
3099	Sat Jul 16 05:49:32 +0000 2011	41059b00f964a520850b1fe3	{San Francisco International Airport (SFO)}	{37.61642405271961,-122.38627910614014,San Francisco,CA,United States}	{Travel & Transport,}
3099	Mon Jul 04 21:17:24 +0000 2011	41059b00f964a520850b1fe3	{San Francisco International Airport (SFO)}	{37.61642405271961,-122.38627910614014,San Francisco,CA,United States}	{Travel & Transport,}
3099	Mon Jul 04 03:08:28 +0000 2011	44bb7f29f964a52090351fe3	{Firefly Restaurant}	{37.751104521219816,-122.43833541870117,San Francisco,CA,United States}	{Outdoors & Recreation,Food,}
3099	Thu Jun 30 17:05:47 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Tue Jun 28 17:22:43 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Fri Jun 24 01:00:27 +0000 2011	45e6b309f964a5204c431fe3	{Forbidden Island}	{37.77460199110199,-122.26301578333333,Alameda,CA,United States}	{Nightlife Spot,}
3099	Thu Jun 23 19:16:53 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Wed Jun 22 05:07:10 +0000 2011	41059b00f964a520850b1fe3	{San Francisco International Airport (SFO)}	{37.61642405271961,-122.38627910614014,San Francisco,CA,United States}	{Travel & Transport,}
3099	Tue Jun 21 20:53:39 +0000 2011	43a52546f964a520532c1fe3	{John F. Kennedy International Airport (JFK)}	{40.645089355976346,-73.7845230102539,Jamaica,NY,United States}	{Travel & Transport,}
3099	Tue Jun 21 03:21:56 +0000 2011	3fd66200f964a52040e41ee3	{Belmont Lounge}	{40.73492918933461,-73.98877929802003,New York,NY,United States}	{Nightlife Spot,}
3099	Tue Jun 21 00:00:27 +0000 2011	40749600f964a52051f21ee3	{Bar 13}	{40.73461264837887,-73.99217674014386,New York,NY,United States}	{Nightlife Spot,}
3099	Mon Jun 20 15:33:43 +0000 2011	4d0429fa90762d43dc77f18a	{Vook HQ}	{40.745111102973524,-73.99394989013672,New York,NY,United States}	{Office,Professional & Other Places,}
3099	Mon Jun 20 02:14:07 +0000 2011	4530db29f964a520613b1fe3	{Whole Foods Market}	{40.76806170936614,-73.98184776306152,New York,NY,United States}	{Shop & Service,Food & Drink Shop,}
3099	Sun Jun 19 22:53:49 +0000 2011	4161e400f964a520721d1fe3	{Radio City Music Hall}	{40.75994559963302,-73.98003290350556,New York,NY,United States}	{Performing Arts Venue,Arts & Entertainment,}
3099	Sun Jun 19 16:43:35 +0000 2011	4ba6b6e7f964a520f06a39e3	{Bischoff's}	{40.889216,-74.022428,Teaneck,NJ,United States}	{Food,}
3099	Sun Jun 19 16:34:21 +0000 2011	4b1e574df964a520ec1824e3	{Butterflake Bakery}	{40.889267,-74.02201,Teaneck,NJ,United States}	{Food,}
3099	Sun Jun 19 15:48:40 +0000 2011	4c1e5f21b306c92803ee66b7	{Garden of Memories}	{40.970411539541715,-74.05965968746129,Paramus,NJ,United States}	{Outdoors & Recreation,}
3099	Sun Jun 19 14:34:53 +0000 2011	4b26b50ff964a520d27f24e3	{Royal Cliffs Restaurant}	{40.88099745891459,-73.95135755243288,Englewood Cliffs,NJ,United States}	{Food,}
3099	Sun Jun 19 14:15:50 +0000 2011	4b2d25f3f964a5207fcf24e3	{The Plaza Diner Restaurant}	{40.852940648281496,-73.96943224503508,Fort Lee,NJ,United States}	{Food,}
3099	Sun Jun 19 00:42:40 +0000 2011	4ba22f53f964a52022e237e3	{Locust Walk}	{39.95222080617223,-75.1970386505127,Philadelphia,PA,United States}	{Travel & Transport,Outdoors & Recreation,}
3099	Fri Jun 17 21:09:52 +0000 2011	41424000f964a5208d1c1fe3	{Philadelphia Museum of Art}	{39.96572412377141,-75.18122434616089,Philadelphia,PA,United States}	{Museum,Arts & Entertainment,}
3099	Fri Jun 17 16:45:49 +0000 2011	4beff29424f19c74cd27f983	{Apple Store, Walnut Street}	{39.9500333333333,-75.1678877890826,Philadelphia,PA,United States}	{Shop & Service,}
3099	Thu Jun 16 02:15:06 +0000 2011	3fd66200f964a5200fe41ee3	{Pianos}	{40.72111085158351,-73.98786106009348,New York,NY,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
3099	Wed Jun 15 17:57:47 +0000 2011	4d0429fa90762d43dc77f18a	{Vook HQ}	{40.745111102973524,-73.99394989013672,New York,NY,United States}	{Office,Professional & Other Places,}
3099	Mon Jun 13 21:59:12 +0000 2011	43a52546f964a520532c1fe3	{John F. Kennedy International Airport (JFK)}	{40.645089355976346,-73.7845230102539,Jamaica,NY,United States}	{Travel & Transport,}
3099	Mon Jun 13 17:46:14 +0000 2011	49d77968f964a520275d1fe3	{The Merchandise Mart}	{41.888484918280156,-87.63523578643799,Chicago,IL,United States}	{Shop & Service,Professional & Other Places,}
3099	Sat Jun 11 17:53:28 +0000 2011	4a5a77a4f964a52062ba1fe3	{Chicago O'Hare International Airport (ORD)}	{41.977270920041626,-87.90440082550049,Chicago,IL,United States}	{Travel & Transport,}
3099	Sat Jun 11 12:55:39 +0000 2011	41059b00f964a520850b1fe3	{San Francisco International Airport (SFO)}	{37.61642405271961,-122.38627910614014,San Francisco,CA,United States}	{Travel & Transport,}
3099	Tue Jun 07 22:28:17 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Fri Jun 03 21:41:27 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Wed Jun 01 18:37:51 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Fri May 27 21:00:42 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Thu May 26 23:37:41 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Thu May 26 03:24:39 +0000 2011	49f0fec0f964a5207b691fe3	{Don Ramon's}	{37.772899,-122.415063,San Francisco,CA,United States}	{Nightlife Spot,Food,}
3099	Wed May 25 17:43:07 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Tue May 24 18:40:32 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Mon May 16 07:28:34 +0000 2011	41059b00f964a520850b1fe3	{San Francisco International Airport (SFO)}	{37.61642405271961,-122.38627910614014,San Francisco,CA,United States}	{Travel & Transport,}
3099	Mon May 16 00:17:32 +0000 2011	43a52546f964a520532c1fe3	{John F. Kennedy International Airport (JFK)}	{40.645089355976346,-73.7845230102539,Jamaica,NY,United States}	{Travel & Transport,}
3099	Fri May 13 16:59:49 +0000 2011	3fd66200f964a520d7f11ee3	{Bryant Park}	{40.75398671041169,-73.98382186889648,New York,NY,United States}	{Outdoors & Recreation,}
3099	Fri May 13 01:33:22 +0000 2011	3fd66200f964a520e8e31ee3	{Local 138}	{40.72034,-73.988183,New York,NY,United States}	{Nightlife Spot,}
3099	Thu May 12 17:14:10 +0000 2011	3fd66200f964a520d7f11ee3	{Bryant Park}	{40.75398671041169,-73.98382186889648,New York,NY,United States}	{Outdoors & Recreation,}
3099	Thu May 12 16:28:07 +0000 2011	4d0429fa90762d43dc77f18a	{Vook HQ}	{40.745111102973524,-73.99394989013672,New York,NY,United States}	{Office,Professional & Other Places,}
3099	Tue May 10 13:13:25 +0000 2011	4d0429fa90762d43dc77f18a	{Vook HQ}	{40.745111102973524,-73.99394989013672,New York,NY,United States}	{Office,Professional & Other Places,}
3099	Sun May 08 01:31:37 +0000 2011	4b0d8b6bf964a520b14a23e3	{Souen SoHo}	{40.726929547660205,-74.00325818103309,New York,NY,United States}	{Food,}
3099	Sat May 07 21:02:21 +0000 2011	427c0500f964a52097211fe3	{The Metropolitan Museum of Art}	{40.778936659294864,-73.96229820007625,New York,NY,United States}	{Museum,Arts & Entertainment,}
3099	Sat May 07 11:31:54 +0000 2011	43a52546f964a520532c1fe3	{John F. Kennedy International Airport (JFK)}	{40.645089355976346,-73.7845230102539,Jamaica,NY,United States}	{Travel & Transport,}
3099	Sat May 07 05:55:18 +0000 2011	41059b00f964a520850b1fe3	{San Francisco International Airport (SFO)}	{37.61642405271961,-122.38627910614014,San Francisco,CA,United States}	{Travel & Transport,}
3099	Wed May 04 02:17:52 +0000 2011	4ab1b655f964a5207c6a20e3	{Yoga to the People}	{37.764995,-122.419223,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3099	Tue May 03 19:46:21 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Mon May 02 03:10:18 +0000 2011	4b4955ccf964a520b86d26e3	{Gracias Madre}	{37.76147008484545,-122.41945266723633,San Francisco,CA,United States}	{Food,}
3099	Sun May 01 05:50:47 +0000 2011	40870b00f964a520b1f21ee3	{Latin American Club}	{37.75541378624299,-122.42067575454712,San Francisco,CA,United States}	{Nightlife Spot,}
3099	Sat Apr 30 21:15:54 +0000 2011	4ab595e1f964a520877520e3	{Mission Dolores Park}	{37.76005771562691,-122.42678658144186,San Francisco,CA,United States}	{Outdoors & Recreation,}
3099	Sat Apr 30 00:15:37 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Thu Apr 28 20:08:10 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Thu Apr 28 04:13:17 +0000 2011	4b710beaf964a52028382de3	{The New Parish}	{37.80776608577527,-122.27276871978862,Oakland,CA,United States}	{Nightlife Spot,Music Venue,Arts & Entertainment,}
3099	Wed Apr 27 16:39:05 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Mon Apr 25 17:11:45 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Sun Apr 24 21:46:58 +0000 2011	4ab595e1f964a520877520e3	{Mission Dolores Park}	{37.76005771562691,-122.42678658144186,San Francisco,CA,United States}	{Outdoors & Recreation,}
3099	Sat Apr 23 23:27:02 +0000 2011	4ab1b655f964a5207c6a20e3	{Yoga to the People}	{37.764995,-122.419223,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3099	Sat Apr 23 22:13:42 +0000 2011	44ce9913f964a52018361fe3	{Philz Coffee}	{37.7523522,-122.4142997,San Francisco,CA,United States}	{Food,}
3099	Sat Apr 23 06:26:58 +0000 2011	3fd66200f964a520aeec1ee3	{Ruby Skye}	{37.787429012530836,-122.40986700099887,San Francisco,CA,United States}	{Nightlife Spot,}
3099	Sat Apr 23 03:02:02 +0000 2011	4ab6d922f964a520497920e3	{American Conservatory Theater}	{37.78700220936606,-122.41015595682995,San Francisco,CA,United States}	{Performing Arts Venue,Arts & Entertainment,}
3099	Fri Apr 22 17:50:39 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Thu Apr 21 16:36:33 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Wed Apr 20 04:40:25 +0000 2011	476c1aa6f964a520fd4c1fe3	{Yoshi's San Francisco}	{37.78172200204317,-122.4323245882988,San Francisco,CA,United States}	{Nightlife Spot,Music Venue,Food,Arts & Entertainment,}
3099	Tue Apr 19 20:26:52 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Tue Apr 19 02:26:57 +0000 2011	4ab1b655f964a5207c6a20e3	{Yoga to the People}	{37.764995,-122.419223,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3099	Mon Apr 18 16:36:43 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Sat Apr 16 18:29:06 +0000 2011	4acaa192f964a520a6c220e3	{Peet's Coffee & Tea}	{37.836857,-122.26363156,Oakland,CA,United States}	{Food,}
3099	Fri Apr 15 17:11:17 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Thu Apr 14 17:46:03 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Wed Apr 13 16:46:44 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Tue Apr 12 17:28:26 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Mon Apr 11 20:51:43 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Mon Apr 11 16:02:41 +0000 2011	4c75dee4b474a1cd23b3babf	{Posey Street Tube}	{37.784949002842495,-122.27655682425443,Alameda,CA,United States}	{Travel & Transport,}
3099	Sun Apr 10 00:37:41 +0000 2011	45eaff58f964a5208e431fe3	{Bi-Rite Creamery}	{37.76145030454691,-122.42584644345114,San Francisco,CA,United States}	{Food,}
3099	Sun Apr 10 00:19:55 +0000 2011	4ab595e1f964a520877520e3	{Mission Dolores Park}	{37.76005771562691,-122.42678658144186,San Francisco,CA,United States}	{Outdoors & Recreation,}
3099	Sat Apr 09 02:45:50 +0000 2011	4a9b1a6cf964a520683420e3	{Yoga Kula}	{37.76529227390943,-122.42033817166438,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3099	Fri Apr 08 16:43:29 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Thu Apr 07 16:23:12 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Wed Apr 06 18:53:40 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Wed Apr 06 16:12:07 +0000 2011	4cf82329ce1da1cd4222c6e1	{Union Square Dental Practice}	{37.789706,-122.407674,San Francisco,CA,United States}	{Medical Center,Professional & Other Places,}
3099	Tue Apr 05 16:41:49 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Tue Apr 05 06:06:24 +0000 2011	40870b00f964a520b0f21ee3	{Amnesia}	{37.75904423204625,-122.42125511169434,San Francisco,CA,United States}	{Nightlife Spot,}
3099	Tue Apr 05 04:27:40 +0000 2011	3fd66200f964a5202bee1ee3	{We Be Sushi}	{37.76429641666667,-122.421858,San Francisco,CA,United States}	{Food,}
3099	Mon Apr 04 16:09:08 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Sun Apr 03 23:15:01 +0000 2011	4ab595e1f964a520877520e3	{Mission Dolores Park}	{37.76005771562691,-122.42678658144186,San Francisco,CA,United States}	{Outdoors & Recreation,}
3099	Sat Apr 02 02:19:54 +0000 2011	4ab1b655f964a5207c6a20e3	{Yoga to the People}	{37.764995,-122.419223,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3099	Fri Apr 01 18:22:36 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Thu Mar 31 22:55:57 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Wed Mar 30 17:26:29 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Wed Mar 30 03:43:43 +0000 2011	40de0e00f964a5208e011fe3	{Chez Panisse}	{37.87956036881457,-122.26893063439172,Berkeley,CA,United States}	{Food,}
3099	Wed Mar 30 02:15:07 +0000 2011	4bb04a73f964a520e23f3ce3	{Cheese Board Pizza}	{37.87993818215996,-122.26932940294999,Berkeley,CA,United States}	{Food,}
3099	Wed Mar 30 01:59:52 +0000 2011	4b9042e9f964a520aa7f33e3	{Philz Coffee}	{37.87802708471963,-122.26916324956548,Berkeley,CA,United States}	{Food,}
3099	Tue Mar 29 20:22:38 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Mon Mar 28 16:36:54 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Sun Mar 27 22:35:35 +0000 2011	3fd66200f964a52059ed1ee3	{Puerto Alegre}	{37.764126117213415,-122.42186458918155,San Francisco,CA,United States}	{Food,}
3099	Sat Mar 26 16:42:48 +0000 2011	4ab1b655f964a5207c6a20e3	{Yoga to the People}	{37.764995,-122.419223,San Francisco,CA,United States}	{Shop & Service,Gym / Fitness Center,}
3099	Fri Mar 25 19:34:36 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Thu Mar 24 16:51:56 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Wed Mar 23 16:35:31 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Wed Mar 23 16:35:30 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Tue Mar 22 17:41:57 +0000 2011	42814b00f964a52002221fe3	{Tartine Bakery}	{37.76142131411304,-122.42400974035263,San Francisco,CA,United States}	{Food,}
3099	Tue Mar 22 17:18:35 +0000 2011	44ce9913f964a52018361fe3	{Philz Coffee}	{37.7523522,-122.4142997,San Francisco,CA,United States}	{Food,}
3099	Sat Mar 19 23:06:12 +0000 2011	49e79762f964a520d0641fe3	{Dog Eared Books}	{37.75850137297435,-122.42142677307129,San Francisco,CA,United States}	{Shop & Service,}
3099	Sat Mar 19 22:22:05 +0000 2011	44ce9913f964a52018361fe3	{Philz Coffee}	{37.7523522,-122.4142997,San Francisco,CA,United States}	{Food,}
3099	Sat Mar 19 21:15:03 +0000 2011	4a09ef9af964a52070741fe3	{Sports Basement}	{37.767054,-122.41096,San Francisco,CA,United States}	{Shop & Service,}
3099	Fri Mar 18 21:06:23 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Fri Mar 18 03:27:21 +0000 2011	40943a00f964a520e5f21ee3	{San Francisco Museum of Modern Art}	{37.785758153307654,-122.40112781524657,San Francisco,CA,United States}	{Museum,Arts & Entertainment,}
3099	Thu Mar 17 20:04:08 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
3099	Wed Mar 16 20:55:25 +0000 2011	4bae970ff964a52019c43be3	{Vook HQ}	{37.786199064040595,-122.27256417274475,Alameda,CA,United States}	{Office,Professional & Other Places,}
