551	Tue Feb 22 18:50:12 +0000 2011	4cdb25524006a1432e6fd6b2	{New Frontiers Natural Marketplace}	{35.25109175546443,-120.68740799528301,San Luis Obispo,CA,United States}	{Shop & Service,Food & Drink Shop,}
551	Mon Nov 08 01:17:34 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Sun Nov 07 02:08:39 +0000 2010	4b5a9e18f964a520f7cd28e3	{Barnes & Noble}	{35.27981539278283,-120.6615592100362,San Luis Obispo,CA,United States}	{Shop & Service,}
551	Sat Nov 06 23:28:59 +0000 2010	4ccb917e566aa09382e01bfd	{Kreuzberg Coffee Company}	{35.27841771010162,-120.66533088684082,San Luis Obispo,CA,United States}	{Shop & Service,Food,}
551	Sat Nov 06 15:44:52 +0000 2010	4b69eb09f964a5200fbc2be3	{Higher Groundz Coffee House and Eatery}	{35.260288,-120.648618,San Luis Obispo,CA,United States}	{Food,}
551	Fri Nov 05 07:08:39 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Tue Nov 02 23:03:59 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Sun Oct 31 19:59:51 +0000 2010	4b5a9e18f964a520f7cd28e3	{Barnes & Noble}	{35.27981539278283,-120.6615592100362,San Luis Obispo,CA,United States}	{Shop & Service,}
551	Sat Oct 30 18:05:50 +0000 2010	4b5a9e18f964a520f7cd28e3	{Barnes & Noble}	{35.27981539278283,-120.6615592100362,San Luis Obispo,CA,United States}	{Shop & Service,}
551	Sat Oct 30 04:23:39 +0000 2010	4ccb917e566aa09382e01bfd	{Kreuzberg Coffee Company}	{35.27841771010162,-120.66533088684082,San Luis Obispo,CA,United States}	{Shop & Service,Food,}
551	Fri Oct 29 23:22:20 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Fri Oct 29 02:28:48 +0000 2010	4bbe7f8bb083a593522ca2e9	{San Luis Obispo Farmers' Market}	{35.279405304145804,-120.66337323506984,San Luis Obispo,CA,United States}	{Travel & Transport,Shop & Service,Arts & Entertainment,Food & Drink Shop,}
551	Fri Oct 15 03:16:28 +0000 2010	4b5a9e18f964a520f7cd28e3	{Barnes & Noble}	{35.27981539278283,-120.6615592100362,San Luis Obispo,CA,United States}	{Shop & Service,}
551	Tue Oct 12 19:46:26 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Mon Oct 11 05:33:38 +0000 2010	4b5a9e18f964a520f7cd28e3	{Barnes & Noble}	{35.27981539278283,-120.6615592100362,San Luis Obispo,CA,United States}	{Shop & Service,}
551	Sat Oct 09 19:17:11 +0000 2010	4b5005b6f964a520561b27e3	{Sunshine Donuts}	{35.269179,-120.67018368333333,San Luis Obispo,CA,United States}	{Food,}
551	Sun Oct 03 22:53:39 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Thu Sep 30 19:51:52 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Wed Sep 29 17:24:51 +0000 2010	4b9ba546f964a520541636e3	{Eclair Bakery}	{35.123662,-120.5784,Arroyo Grande,CA,United States}	{}
551	Wed Sep 29 00:26:26 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Sun Sep 26 22:48:45 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Sun Sep 26 21:24:14 +0000 2010	4b5a9e18f964a520f7cd28e3	{Barnes & Noble}	{35.27981539278283,-120.6615592100362,San Luis Obispo,CA,United States}	{Shop & Service,}
551	Fri Sep 24 23:21:14 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Fri Sep 24 19:03:50 +0000 2010	4b79f8c1f964a520231d2fe3	{Jamba Juice}	{35.279677,-120.66155,San Luis Obispo,CA,United States}	{Food,}
551	Thu Sep 23 16:23:45 +0000 2010	4b5a9e18f964a520f7cd28e3	{Barnes & Noble}	{35.27981539278283,-120.6615592100362,San Luis Obispo,CA,United States}	{Shop & Service,}
551	Thu Sep 23 01:25:31 +0000 2010	4b5a9e18f964a520f7cd28e3	{Barnes & Noble}	{35.27981539278283,-120.6615592100362,San Luis Obispo,CA,United States}	{Shop & Service,}
551	Wed Sep 22 19:52:27 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Wed Sep 08 15:56:18 +0000 2010	4b69eb09f964a5200fbc2be3	{Higher Groundz Coffee House and Eatery}	{35.260288,-120.648618,San Luis Obispo,CA,United States}	{Food,}
551	Fri Aug 20 02:48:28 +0000 2010	4b5a9e18f964a520f7cd28e3	{Barnes & Noble}	{35.27981539278283,-120.6615592100362,San Luis Obispo,CA,United States}	{Shop & Service,}
===
551	Sat Jul 24 22:54:36 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Fri Jul 23 21:29:31 +0000 2010	4b5a9e18f964a520f7cd28e3	{Barnes & Noble}	{35.27981539278283,-120.6615592100362,San Luis Obispo,CA,United States}	{Shop & Service,}
551	Fri Jul 23 00:35:53 +0000 2010	4c324d7266e40f47c14bc68b	{Fiona Bleu Gallery}	{35.366961,-120.85335910320282,Morro Bay,CA,United States}	{Arts & Entertainment,}
551	Thu Jul 22 19:53:38 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Thu Jul 22 00:20:08 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Sun Jul 18 23:04:39 +0000 2010	4b9be338f964a520b83136e3	{Pismo Coast Village}	{35.13428181751816,-120.63782215118407,Pismo Beach,CA,United States}	{Outdoors & Recreation,}
551	Sat Jul 17 20:56:38 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Fri Jul 16 20:36:26 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Fri Jul 16 06:11:15 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Thu Jul 15 09:03:07 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Thu Jul 15 05:53:04 +0000 2010	4b4aad3af964a520b68c26e3	{Vons}	{35.25027826,-120.642248,San Luis Obispo,CA,United States}	{Shop & Service,Food & Drink Shop,}
551	Wed Jul 14 22:21:52 +0000 2010	4b01bf78f964a520174522e3	{High Street Market & Deli}	{35.27229835854104,-120.66445714464406,San Luis Obispo,CA,United States}	{Food,}
551	Sat Jul 10 02:10:58 +0000 2010	4b4fa69cf964a520340f27e3	{Bel Frites}	{35.2789906493019,-120.66322721544847,San Luis Obispo,CA,United States}	{Food,}
551	Fri Jul 09 18:49:41 +0000 2010	4b5005b6f964a520561b27e3	{Sunshine Donuts}	{35.269179,-120.67018368333333,San Luis Obispo,CA,United States}	{Food,}
551	Wed Jul 07 07:12:47 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Wed Jul 07 05:08:28 +0000 2010	4b5a9e18f964a520f7cd28e3	{Barnes & Noble}	{35.27981539278283,-120.6615592100362,San Luis Obispo,CA,United States}	{Shop & Service,}
551	Mon Jul 05 21:00:22 +0000 2010	4c54bde21b46c9b671a70acf	{Taco Bell}	{34.97223882535092,-120.43609857559204,Santa Maria,CA,United States}	{Food,}
551	Mon Jul 05 02:09:47 +0000 2010	4b6f4376f964a520d7e72ce3	{The Book Loft}	{34.59591795,-120.138945,Solvang,CA,United States}	{Shop & Service,}
551	Mon Jul 05 01:40:01 +0000 2010	4b2d65def964a520c9d524e3	{Ostrichland}	{34.60629663520384,-120.17658486145969,Solvang,CA,United States}	{Outdoors & Recreation,}
551	Sun Jul 04 23:39:18 +0000 2010	4ba8a7f6f964a52000e539e3	{Starbucks}	{34.43898234287144,-119.75230693817139,Santa Barbara,CA,United States}	{Food,}
551	Sat Jul 03 18:05:34 +0000 2010	4b818efbf964a52002af30e3	{Sally Loo's Wholesome Cafe}	{35.27574195269017,-120.65584738738954,San Luis Obispo,CA,United States}	{Food,}
551	Fri Jul 02 18:11:44 +0000 2010	4b5005b6f964a520561b27e3	{Sunshine Donuts}	{35.269179,-120.67018368333333,San Luis Obispo,CA,United States}	{Food,}
551	Fri Jul 02 18:11:44 +0000 2010	4b5005b6f964a520561b27e3	{Sunshine Donuts}	{35.269179,-120.67018368333333,San Luis Obispo,CA,United States}	{Food,}
551	Fri Jul 02 04:07:48 +0000 2010	4aa7f631f964a5203b4e20e3	{Linnaea's Cafe}	{35.27927000064321,-120.6632215993058,San Luis Obispo,CA,United States}	{Food,}
551	Thu Jul 01 23:50:41 +0000 2010	4c2ad5309a559c74980e0de2	{The Claassen Gallery}	{35.278895,-120.662635,San Luis Obispo,CA,United States}	{Shop & Service,Arts & Entertainment,}
551	Thu Jul 01 18:34:36 +0000 2010	4b5005b6f964a520561b27e3	{Sunshine Donuts}	{35.269179,-120.67018368333333,San Luis Obispo,CA,United States}	{Food,}
551	Wed Jun 30 05:59:13 +0000 2010	4b5a9e18f964a520f7cd28e3	{Barnes & Noble}	{35.27981539278283,-120.6615592100362,San Luis Obispo,CA,United States}	{Shop & Service,}
