3409	Sun Aug 07 18:41:41 +0000 2011	4a7dbc9cf964a52069ef1fe3	{Patys}	{34.15230080698924,-118.34964036941528,Toluca Lake,CA,United States}	{Food,}
3409	Tue Jul 05 16:38:38 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Sun Jul 03 03:05:12 +0000 2011	49f8d830f964a5202c6d1fe3	{Yard House}	{34.045081,-118.265784,Los Angeles,CA,United States}	{Nightlife Spot,Food,}
3409	Fri Jul 01 18:45:06 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Thu Jun 30 22:02:30 +0000 2011	4a6fe865f964a5201dd71fe3	{Hollywood Production Center}	{34.09187478083078,-118.32261959795188,Los Angeles,CA,United States}	{Professional & Other Places,}
3409	Wed Jun 29 02:56:42 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Tue Jun 28 18:35:24 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Tue Jun 28 02:42:51 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Mon Jun 27 17:11:59 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Sat Jun 25 02:04:27 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Fri Jun 24 19:48:00 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Thu Jun 23 22:31:14 +0000 2011	4b1b592af964a520e5fa23e3	{Milk Studios}	{34.08678106135575,-118.32953754539822,Los Angeles,CA,United States}	{Professional & Other Places,}
3409	Thu Jun 23 17:31:46 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Wed Jun 22 21:29:40 +0000 2011	49ecd915f964a5209f671fe3	{Astro Burger}	{34.08367444846967,-118.3224105834961,Los Angeles,CA,United States}	{Food,}
3409	Wed Jun 22 19:25:22 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Wed Jun 22 02:50:41 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Tue Jun 21 17:20:07 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Thu Jun 16 21:59:02 +0000 2011	4b6900daf964a52092962be3	{JW Marriott LA Live}	{34.04530782486832,-118.26658844947815,Los Angeles,CA,United States}	{Nightlife Spot,Travel & Transport,Food,}
3409	Thu Jun 16 20:04:40 +0000 2011	4b2da047f964a520c0d924e3	{Lawry's Carvery}	{34.0442588147582,-118.26505422592163,Los Angeles,CA,United States}	{Food,}
3409	Thu Jun 16 18:25:08 +0000 2011	4b6900daf964a52092962be3	{JW Marriott LA Live}	{34.04530782486832,-118.26658844947815,Los Angeles,CA,United States}	{Nightlife Spot,Travel & Transport,Food,}
3409	Wed Jun 15 22:22:08 +0000 2011	4b6900daf964a52092962be3	{JW Marriott LA Live}	{34.04530782486832,-118.26658844947815,Los Angeles,CA,United States}	{Nightlife Spot,Travel & Transport,Food,}
3409	Wed Jun 15 19:25:15 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Tue Jun 14 20:41:31 +0000 2011	4abd4accf964a520808920e3	{Wild Oats Cafe}	{34.083314,-118.32327701666667,Los Angeles,CA,United States}	{Food,}
3409	Tue Jun 14 18:58:32 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Tue Jun 14 02:52:06 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Mon Jun 13 20:06:26 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Sat Jun 11 19:10:20 +0000 2011	45933bd9f964a52042401fe3	{Fashion Valley Mall}	{32.76831332445334,-117.16644287109375,San Diego,CA,United States}	{Outdoors & Recreation,Shop & Service,Food & Drink Shop,}
3409	Fri Jun 10 04:01:21 +0000 2011	4b980019f964a520312535e3	{Tender Greens}	{34.09802309695123,-118.3262098881351,Hollywood,CA,United States}	{Food,}
3409	Thu Jun 09 18:14:15 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Wed Jun 08 04:15:34 +0000 2011	4667bf5af964a52087471fe3	{Timmy Nolan's Tavern & Grill}	{34.15236571674361,-118.35108867652893,Toluca Lake,CA,United States}	{Nightlife Spot,Food,}
3409	Tue Jun 07 19:07:10 +0000 2011	4cd5e57bab19a093232742eb	{Hoops Sanctuary}	{34.18638418333333,-118.33745893333334,Burbank,CA,United States}	{}
3409	Sun Jun 05 21:04:06 +0000 2011	4ba50889f964a52052d338e3	{Paseo Miramar Hiking Trail}	{34.05046396764204,-118.55764678155079,Pacific Palisades,CA,United States}	{Outdoors & Recreation,}
3409	Sun Jun 05 02:19:43 +0000 2011	47552143f964a520c14c1fe3	{Walt Disney Concert Hall}	{34.055343884183436,-118.24986219406128,Los Angeles,CA,United States}	{Government Building,Arts & Entertainment,Professional & Other Places,}
3409	Fri Jun 03 20:00:04 +0000 2011	4b56388bf964a520000628e3	{MAC Cosmetics}	{36.119355,-115.17465683333333,Las Vegas,NV,United States}	{Shop & Service,}
3409	Fri Jun 03 18:09:31 +0000 2011	4b3a560df964a520f56425e3	{Raising Cane's Chicken Fingers}	{36.15867733955383,-115.20426168333333,Las Vegas,NV,United States}	{Food,}
3409	Fri Jun 03 06:03:15 +0000 2011	4bfe71ede529c928c852bc8c	{The Cosmopolitan of Las Vegas}	{36.1094756530447,-115.17394781112671,Las Vegas,NV,United States}	{Travel & Transport,Arts & Entertainment,Hotel,}
3409	Thu Jun 02 19:18:48 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Tue May 31 18:57:09 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Mon May 30 21:00:34 +0000 2011	4dbb23656e815ab0de63cf64	{Chipotle Mexican Grill}	{34.151728711628294,-118.34336117711959,Burbank,CA,United States}	{Food,}
3409	Sat May 28 04:23:38 +0000 2011	4c5b1edf5c57c9b6e5fb1e4a	{Deluca's Italian Deli}	{34.14356697905675,-118.256186,Glendale,CA,United States}	{Food,}
3409	Fri May 27 19:42:16 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Fri May 27 02:35:55 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Fri May 27 01:03:52 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Wed May 25 17:06:05 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Wed May 25 02:48:58 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Tue May 24 02:56:49 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Sun May 22 21:14:48 +0000 2011	4ba50889f964a52052d338e3	{Paseo Miramar Hiking Trail}	{34.05046396764204,-118.55764678155079,Pacific Palisades,CA,United States}	{Outdoors & Recreation,}
3409	Sun May 22 01:01:10 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Thu May 19 03:04:56 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Wed May 18 02:30:06 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Tue May 17 17:40:02 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Tue May 17 02:44:35 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Sat May 14 21:47:43 +0000 2011	40db6b00f964a5207d011fe3	{Dodger Stadium}	{34.073408462960174,-118.24019819498062,Los Angeles,CA,United States}	{Outdoors & Recreation,Stadium,Arts & Entertainment,Athletics & Sports,}
3409	Wed May 11 14:20:48 +0000 2011	4a188de0f964a520c8791fe3	{Mondrian Hotel}	{34.09429457916573,-118.37448835372925,West Hollywood,CA,United States}	{Travel & Transport,}
3409	Wed May 11 14:17:00 +0000 2011	4a188de0f964a520c8791fe3	{Mondrian Hotel}	{34.09429457916573,-118.37448835372925,West Hollywood,CA,United States}	{Travel & Transport,}
3409	Tue May 10 20:36:20 +0000 2011	4bacde62f964a520d7133be3	{Digital Film Studio}	{34.24123613333333,-118.389656,Sun Valley,CA,United States}	{Arts & Entertainment,}
3409	Sun May 08 02:26:21 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Fri May 06 06:33:16 +0000 2011	42893400f964a5205f231fe3	{ArcLight Cinemas Hollywood}	{34.09722897058994,-118.32819077603945,Los Angeles,CA,United States}	{Arts & Entertainment,Movie Theater,}
3409	Thu May 05 23:51:41 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Thu May 05 17:50:00 +0000 2011	4c1abf81b306c9280e2961b7	{M.A.C cosmetics}	{33.92042636,-118.38875495,El Segundo,CA,United States}	{Shop & Service,}
3409	Thu May 05 17:50:00 +0000 2011	4c1abf81b306c9280e2961b7	{M.A.C cosmetics}	{33.92042636,-118.38875495,El Segundo,CA,United States}	{Shop & Service,}
3409	Thu May 05 02:41:31 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Wed May 04 05:05:06 +0000 2011	4d25355810a7721e8d9d1304	{CTU}	{34.165880425578806,-118.3637264271307,North Hollywood,CA,United States}	{Residence,}
3409	Wed May 04 02:47:57 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Tue May 03 20:24:08 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Tue May 03 15:28:33 +0000 2011	4c1abf81b306c9280e2961b7	{M.A.C cosmetics}	{33.92042636,-118.38875495,El Segundo,CA,United States}	{Shop & Service,}
3409	Tue May 03 03:15:49 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Tue May 03 00:24:45 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Sun May 01 20:13:04 +0000 2011	49c7323ff964a520a2571fe3	{Los Angeles Zoo}	{34.14839998630527,-118.28366301865034,Los Angeles,CA,United States}	{Outdoors & Recreation,Arts & Entertainment,}
3409	Sun May 01 07:52:22 +0000 2011	4d25355810a7721e8d9d1304	{CTU}	{34.165880425578806,-118.3637264271307,North Hollywood,CA,United States}	{Residence,}
3409	Sun May 01 01:25:54 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Sat Apr 30 22:34:12 +0000 2011	4b5b699ff964a52008fc28e3	{Batcade}	{34.17547964946284,-118.31702567149166,Burbank,CA,United States}	{Outdoors & Recreation,Arts & Entertainment,Athletics & Sports,}
3409	Sat Apr 30 02:29:23 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Fri Apr 29 21:06:54 +0000 2011	4c13aef57f7f2d7fe271df68	{Chipotle Mexican Grill}	{34.097419,-118.326468,Los Angeles,CA,United States}	{Food,}
3409	Fri Apr 29 18:20:40 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Thu Apr 28 17:57:30 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Thu Apr 28 03:48:33 +0000 2011	4d25355810a7721e8d9d1304	{CTU}	{34.165880425578806,-118.3637264271307,North Hollywood,CA,United States}	{Residence,}
3409	Thu Apr 28 02:06:14 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Wed Apr 27 19:31:30 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Tue Apr 26 23:00:45 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Mon Apr 25 19:55:06 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Mon Apr 25 06:46:50 +0000 2011	439ec330f964a520102c1fe3	{Los Angeles International Airport (LAX)}	{33.94389397698472,-118.40502262115479,Los Angeles,CA,United States}	{Travel & Transport,}
3409	Mon Apr 25 01:16:02 +0000 2011	4aa9dde9f964a520755520e3	{General Mitchell International Airport (MKE)}	{42.947737434933686,-87.9019546508789,Milwaukee,WI,United States}	{Travel & Transport,}
3409	Sat Apr 23 14:58:01 +0000 2011	4be97b9bee96c928a93affbf	{Blackerby's Hangar 5}	{39.25550046034061,-85.89666939262318,Columbus,IN,United States}	{Food,}
3409	Sat Apr 23 05:33:17 +0000 2011	4db26490cda118d4d67156ee	{The Dog Pound}	{39.254385945232016,-85.91512106026771,Columbus,IN,United States}	{Residence,}
3409	Sat Apr 23 03:42:28 +0000 2011	4a9a941cf964a520e43120e3	{Indianapolis International Airport (IND)}	{39.715175971358605,-86.29765033721924,Indianapolis,IN,United States}	{Travel & Transport,}
3409	Sat Apr 23 00:40:44 +0000 2011	482d61baf964a520d64f1fe3	{Denver International Airport (DEN)}	{39.85029261500981,-104.67378616333006,Denver,CO,United States}	{Travel & Transport,}
3409	Fri Apr 22 21:01:01 +0000 2011	439ec330f964a520102c1fe3	{Los Angeles International Airport (LAX)}	{33.94389397698472,-118.40502262115479,Los Angeles,CA,United States}	{Travel & Transport,}
3409	Fri Apr 22 18:56:24 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Thu Apr 21 02:38:06 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Wed Apr 20 02:45:01 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Tue Apr 19 17:52:29 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Mon Apr 18 23:35:16 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Sun Apr 17 02:55:37 +0000 2011	49feed5df964a520b56f1fe3	{In-N-Out Burger}	{34.184932341010494,-118.31605911254883,Burbank,CA,United States}	{Food,}
3409	Sat Apr 16 21:33:44 +0000 2011	4bcb6356937ca5930c7aa992	{Zuma Beach}	{34.015352594294775,-118.82190227508545,Malibu,CA,United States}	{Outdoors & Recreation,Beach,}
3409	Fri Apr 15 20:46:21 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Fri Apr 15 03:52:45 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Thu Apr 14 19:50:18 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Thu Apr 14 02:16:55 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Wed Apr 13 19:05:14 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Tue Apr 12 18:09:41 +0000 2011	4287e280f964a5203f231fe3	{Hammer Museum}	{34.05941486092161,-118.44367325305939,Los Angeles,CA,United States}	{College & University,Arts & Entertainment,Movie Theater,}
3409	Tue Apr 12 02:36:14 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Mon Apr 11 18:04:47 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Mon Apr 11 02:34:39 +0000 2011	4cd5e57bab19a093232742eb	{Hoops Sanctuary}	{34.18638418333333,-118.33745893333334,Burbank,CA,United States}	{}
3409	Mon Apr 11 02:34:39 +0000 2011	4cd5e57bab19a093232742eb	{Hoops Sanctuary}	{34.18638418333333,-118.33745893333334,Burbank,CA,United States}	{}
3409	Sun Apr 10 08:43:46 +0000 2011	4d25355810a7721e8d9d1304	{CTU}	{34.165880425578806,-118.3637264271307,North Hollywood,CA,United States}	{Residence,}
3409	Sun Apr 10 03:32:46 +0000 2011	4a1da4a8f964a520897b1fe3	{Marie Callender's}	{34.15197229706798,-118.34991931915283,Toluca Lake,CA,United States}	{Food,}
3409	Sat Apr 09 22:20:27 +0000 2011	4b5e1e92f964a520c07e29e3	{Huntington Beach Pier}	{33.65397685396187,-118.00513744354247,Huntington Beach,CA,United States}	{Travel & Transport,Outdoors & Recreation,Beach,}
3409	Sat Apr 09 21:29:44 +0000 2011	4b9f986ff964a520c22d37e3	{Chick-fil-A}	{33.69966076703546,-117.88499593734741,Santa Ana,CA,United States}	{Food,}
3409	Sat Apr 09 19:09:13 +0000 2011	45a9d338f964a52025411fe3	{South Coast Plaza}	{33.69101333272498,-117.88911581039427,Costa Mesa,CA,United States}	{Shop & Service,}
3409	Sat Apr 09 02:32:18 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Fri Apr 08 18:04:58 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Fri Apr 08 02:52:12 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Thu Apr 07 21:44:37 +0000 2011	4abd4accf964a520808920e3	{Wild Oats Cafe}	{34.083314,-118.32327701666667,Los Angeles,CA,United States}	{Food,}
3409	Thu Apr 07 18:09:34 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Wed Apr 06 18:31:37 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Wed Apr 06 02:45:32 +0000 2011	4ab905b7f964a520b67d20e3	{LA Fitness}	{34.14095315663116,-118.37645173072815,Studio City,CA,United States}	{Shop & Service,}
3409	Tue Apr 05 21:22:58 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Mon Apr 04 18:18:00 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Sun Apr 03 19:47:13 +0000 2011	4abf9420f964a520269120e3	{Do It Center}	{34.16936380834318,-118.34281682968138,Burbank,CA,United States}	{Shop & Service,}
3409	Sun Apr 03 17:05:19 +0000 2011	4d25355810a7721e8d9d1304	{CTU}	{34.165880425578806,-118.3637264271307,North Hollywood,CA,United States}	{Residence,}
3409	Sun Apr 03 00:52:07 +0000 2011	4b2d64b4f964a520b0d524e3	{locali}	{34.10549461841583,-118.31656873226166,Los Angeles,CA,United States}	{Food,}
3409	Fri Apr 01 16:49:59 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Fri Apr 01 15:26:58 +0000 2011	4abd4accf964a520808920e3	{Wild Oats Cafe}	{34.083314,-118.32327701666667,Los Angeles,CA,United States}	{Food,}
3409	Thu Mar 31 17:23:10 +0000 2011	4b1b592af964a520e5fa23e3	{Milk Studios}	{34.08678106135575,-118.32953754539822,Los Angeles,CA,United States}	{Professional & Other Places,}
3409	Wed Mar 30 23:58:05 +0000 2011	4d59478956f2b60cfc57772f	{THUMBWAR}	{34.08313235,-118.32397011666667,Hollywood,CA,United States}	{}
3409	Wed Mar 30 04:59:22 +0000 2011	4d25355810a7721e8d9d1304	{CTU}	{34.165880425578806,-118.3637264271307,North Hollywood,CA,United States}	{Residence,}
