1152	Wed Mar 09 19:52:58 +0000 2011	4b883cb4f964a5208ee931e3	{San Diego Blenders}	{32.780247823969965,-117.10341709673794,San Diego,CA,United States}	{Food,}
1152	Fri Jan 21 15:52:51 +0000 2011	4bad2aeef964a520f0343be3	{Einstein Bros Bagels}	{32.792211,-117.098235,San Diego,CA,United States}	{Food,}
1152	Fri Jan 21 15:52:51 +0000 2011	4bad2aeef964a520f0343be3	{Einstein Bros Bagels}	{32.792211,-117.098235,San Diego,CA,United States}	{Food,}
1152	Wed Jan 19 16:14:17 +0000 2011	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Wed Jan 19 15:57:35 +0000 2011	4bad2aeef964a520f0343be3	{Einstein Bros Bagels}	{32.792211,-117.098235,San Diego,CA,United States}	{Food,}
1152	Tue Jan 18 18:20:40 +0000 2011	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Tue Jan 18 15:49:34 +0000 2011	4bad2aeef964a520f0343be3	{Einstein Bros Bagels}	{32.792211,-117.098235,San Diego,CA,United States}	{Food,}
1152	Mon Jan 17 16:07:21 +0000 2011	4bc4f4c80969a593ef40636e	{Kaiser Permanente}	{32.58494883638288,-117.03346561575466,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Mon Jan 17 07:30:27 +0000 2011	4ba1aae0f964a520d9c637e3	{Tacos El Gordo 3}	{32.667969,-117.09506105,National City,CA,United States}	{Food,}
1152	Sat Jan 15 21:16:49 +0000 2011	4baa9647f964a52032773ae3	{Walgreens}	{32.803261666666664,-117.00867085,SAN DIEGO,CA,United States}	{Shop & Service,}
1152	Sat Jan 15 21:16:21 +0000 2011	4baa9647f964a52032773ae3	{Walgreens}	{32.803261666666664,-117.00867085,SAN DIEGO,CA,United States}	{Shop & Service,}
1152	Sat Jan 15 19:55:07 +0000 2011	4ba3bebdf964a520a25a38e3	{Nail Time Spa}	{32.78164612355645,-117.03177452087402,La Mesa,CA,United States}	{Shop & Service,}
1152	Sat Jan 15 18:32:38 +0000 2011	4ac46abaf964a520ac9e20e3	{DSW Designer Shoe Warehouse}	{32.76614418772834,-117.15623237192631,San Diego,CA,United States}	{Shop & Service,Clothing Store,}
1152	Fri Jan 14 19:32:50 +0000 2011	4bc4f4c80969a593ef40636e	{Kaiser Permanente}	{32.58494883638288,-117.03346561575466,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Fri Jan 14 16:01:24 +0000 2011	4b8ac3c3f964a5207b7f32e3	{Einstein Bros Bagels}	{32.80257043931297,-117.01263427734375,San Diego,CA,United States}	{Food,}
1152	Fri Jan 14 16:01:22 +0000 2011	4b8ac3c3f964a5207b7f32e3	{Einstein Bros Bagels}	{32.80257043931297,-117.01263427734375,San Diego,CA,United States}	{Food,}
1152	Fri Jan 14 06:02:43 +0000 2011	49dc62c2f964a5207f5f1fe3	{24 Hour Fitness}	{32.8413920642927,-116.97936978782,Santee,CA,United States}	{Shop & Service,}
1152	Thu Jan 13 22:43:31 +0000 2011	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Wed Jan 12 18:15:09 +0000 2011	4c293a59e19720a1e439f958	{Kaiser Permanente}	{32.79420130379319,-116.98139190673828,El Cajon,CA,United States}	{Medical Center,Professional & Other Places,}
1152	Tue Jan 11 16:02:08 +0000 2011	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Mon Jan 10 16:13:04 +0000 2011	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Mon Jan 10 15:44:56 +0000 2011	4b8ac3c3f964a5207b7f32e3	{Einstein Bros Bagels}	{32.80257043931297,-117.01263427734375,San Diego,CA,United States}	{Food,}
1152	Mon Jan 10 04:29:00 +0000 2011	49dc62c2f964a5207f5f1fe3	{24 Hour Fitness}	{32.8413920642927,-116.97936978782,Santee,CA,United States}	{Shop & Service,}
1152	Mon Jan 10 04:29:00 +0000 2011	49dc62c2f964a5207f5f1fe3	{24 Hour Fitness}	{32.8413920642927,-116.97936978782,Santee,CA,United States}	{Shop & Service,}
1152	Sat Jan 08 19:09:50 +0000 2011	4b2d4806f964a52007d324e3	{Pho Ca Dao}	{32.75704682801343,-117.08337015375426,San Diego,CA,United States}	{Food,}
1152	Sat Jan 08 08:19:34 +0000 2011	49dc62c2f964a5207f5f1fe3	{24 Hour Fitness}	{32.8413920642927,-116.97936978782,Santee,CA,United States}	{Shop & Service,}
1152	Fri Jan 07 16:10:02 +0000 2011	4b5e31a6f964a520eb8229e3	{Kaiser Vandever Medical Offices}	{32.787397,-117.09983566,San Diego,CA,United States}	{Professional & Other Places,}
1152	Fri Jan 07 16:09:09 +0000 2011	4b8ac3c3f964a5207b7f32e3	{Einstein Bros Bagels}	{32.80257043931297,-117.01263427734375,San Diego,CA,United States}	{Food,}
1152	Wed Jan 05 20:54:49 +0000 2011	4c293a59e19720a1e439f958	{Kaiser Permanente}	{32.79420130379319,-116.98139190673828,El Cajon,CA,United States}	{Medical Center,Professional & Other Places,}
1152	Mon Jan 03 15:13:04 +0000 2011	4c293a59e19720a1e439f958	{Kaiser Permanente}	{32.79420130379319,-116.98139190673828,El Cajon,CA,United States}	{Medical Center,Professional & Other Places,}
1152	Sun Jan 02 21:38:49 +0000 2011	4aa318bbf964a520504320e3	{Target}	{32.77922868714283,-117.01261281967163,La Mesa,CA,United States}	{Shop & Service,}
1152	Fri Dec 24 15:15:19 +0000 2010	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Fri Dec 24 03:03:17 +0000 2010	4a2f0760f964a5209e981fe3	{Casa De Pico}	{32.77984207274996,-117.00997352600098,La Mesa,CA,United States}	{Nightlife Spot,Food,}
1152	Thu Dec 23 15:44:40 +0000 2010	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Mon Dec 20 16:16:34 +0000 2010	4bc4f4c80969a593ef40636e	{Kaiser Permanente}	{32.58494883638288,-117.03346561575466,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Thu Dec 16 17:12:06 +0000 2010	4bc4f4c80969a593ef40636e	{Kaiser Permanente}	{32.58494883638288,-117.03346561575466,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Tue Dec 14 07:21:19 +0000 2010	4b17909ef964a52066c623e3	{McDonald's}	{32.808092,-116.973118,El Cajon,CA,United States}	{Food,}
1152	Wed Dec 01 04:49:56 +0000 2010	4b5e31a6f964a520eb8229e3	{Kaiser Vandever Medical Offices}	{32.787397,-117.09983566,San Diego,CA,United States}	{Professional & Other Places,}
1152	Tue Nov 30 19:01:19 +0000 2010	4bc4f4c80969a593ef40636e	{Kaiser Permanente}	{32.58494883638288,-117.03346561575466,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Mon Nov 29 18:04:01 +0000 2010	4bc4f4c80969a593ef40636e	{Kaiser Permanente}	{32.58494883638288,-117.03346561575466,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Mon Nov 22 22:57:24 +0000 2010	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Mon Nov 22 06:48:03 +0000 2010	4b171f1af964a520a5c223e3	{Rally's Hamburgers}	{32.71441726098562,-117.01183125226748,Spring Valley,CA,United States}	{Food,}
1152	Sun Nov 21 00:44:57 +0000 2010	4b3abbcbf964a520876d25e3	{Blockbuster}	{32.80207328,-117.01143,San Diego,CA,United States}	{Shop & Service,}
1152	Sat Nov 20 09:12:00 +0000 2010	4c89b5893dc2a1cd5de7a632	{Carmen's Home}	{32.8090386658118,-117.00290154246726,El Cajon,CA,United States}	{Residence,}
1152	Sat Nov 20 06:51:29 +0000 2010	4b63cfa4f964a520a8922ae3	{Crystal Cove Cocktails}	{32.583679933333336,-117.11199547,Imperial Beach,CA,United States}	{Nightlife Spot,}
1152	Sat Nov 20 04:01:33 +0000 2010	4a84c568f964a52092fd1fe3	{Costco}	{32.77402507946066,-117.02428105477358,La Mesa,CA,United States}	{Shop & Service,}
1152	Fri Nov 19 18:06:25 +0000 2010	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Fri Nov 19 15:06:52 +0000 2010	4c1fa174b306c92826ba68b7	{Gage Elementary}	{32.809975693000666,-117.0136935965101,San Diego,CA,United States}	{School,Professional & Other Places,}
1152	Thu Nov 18 16:09:38 +0000 2010	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Wed Nov 17 20:47:51 +0000 2010	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Tue Nov 16 06:21:02 +0000 2010	4b673b42f964a520bb422be3	{Jack in the Box - El Cajon, CA}	{32.8016761946377,-117.00281244464544,El Cajon,CA,United States}	{Food,}
1152	Tue Nov 16 04:50:16 +0000 2010	49dc622bf964a5207b5f1fe3	{24 Hour Fitness}	{32.7380211095837,-117.056074701431,San Diego,CA,United States}	{Shop & Service,}
1152	Tue Nov 09 16:15:20 +0000 2010	4bc4f4c80969a593ef40636e	{Kaiser Permanente}	{32.58494883638288,-117.03346561575466,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Tue Nov 09 05:05:43 +0000 2010	49dc62c2f964a5207f5f1fe3	{24 Hour Fitness}	{32.8413920642927,-116.97936978782,Santee,CA,United States}	{Shop & Service,}
1152	Mon Nov 08 04:40:17 +0000 2010	4b58db26f964a520066f28e3	{Beef n Bun}	{32.80210174,-116.99866497,El Cajon,CA,United States}	{Food,}
1152	Sat Nov 06 13:57:12 +0000 2010	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Sat Nov 06 03:24:24 +0000 2010	4b3d6cdaf964a520fc9325e3	{Filippi's Pizza Grotto}	{32.839118,-116.96521885,Santee,CA,United States}	{Food,}
1152	Sat Nov 06 03:22:11 +0000 2010	4b0085aef964a520243f22e3	{Barnes & Noble}	{32.77882864971521,-117.00963550423128,La Mesa,CA,United States}	{Shop & Service,}
1152	Thu Nov 04 19:02:35 +0000 2010	4bc4f4c80969a593ef40636e	{Kaiser Permanente}	{32.58494883638288,-117.03346561575466,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Thu Nov 04 04:33:43 +0000 2010	4b4f4e81f964a5209a0027e3	{Starbucks}	{32.81135778780532,-117.20056167011599,San Diego,CA,United States}	{Food,}
1152	Thu Nov 04 01:19:42 +0000 2010	4c181897834e2d7fb06a2880	{Rawmana Fitness}	{32.81150377735924,-117.20050998530168,San Diego,CA,United States}	{Shop & Service,Gym / Fitness Center,}
1152	Mon Nov 01 15:17:12 +0000 2010	4bc4f4c80969a593ef40636e	{Kaiser Permanente}	{32.58494883638288,-117.03346561575466,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Sat Oct 30 01:47:32 +0000 2010	4cc9b61546b43704d36b4ae1	{SUBWAY}	{32.80153355,-117.0111728,La Mesa,CA,United States}	{Food,}
1152	Thu Oct 28 17:30:54 +0000 2010	4b3d1132f964a520368d25e3	{McDonald's}	{32.80196246960999,-117.0115840880574,San Diego,CA,United States}	{Food,}
1152	Thu Oct 28 13:37:49 +0000 2010	4c293a59e19720a1e439f958	{Kaiser Permanente}	{32.79420130379319,-116.98139190673828,El Cajon,CA,United States}	{Medical Center,Professional & Other Places,}
1152	Thu Oct 28 00:49:04 +0000 2010	4c89b5893dc2a1cd5de7a632	{Carmen's Home}	{32.8090386658118,-117.00290154246726,El Cajon,CA,United States}	{Residence,}
1152	Wed Oct 27 15:07:46 +0000 2010	4c293a59e19720a1e439f958	{Kaiser Permanente}	{32.79420130379319,-116.98139190673828,El Cajon,CA,United States}	{Medical Center,Professional & Other Places,}
1152	Wed Oct 27 03:20:22 +0000 2010	4c89b5893dc2a1cd5de7a632	{Carmen's Home}	{32.8090386658118,-117.00290154246726,El Cajon,CA,United States}	{Residence,}
1152	Tue Oct 26 16:43:32 +0000 2010	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Tue Oct 26 03:54:40 +0000 2010	49dc62c2f964a5207f5f1fe3	{24 Hour Fitness}	{32.8413920642927,-116.97936978782,Santee,CA,United States}	{Shop & Service,}
1152	Tue Oct 26 01:02:09 +0000 2010	4c181897834e2d7fb06a2880	{Rawmana Fitness}	{32.81150377735924,-117.20050998530168,San Diego,CA,United States}	{Shop & Service,Gym / Fitness Center,}
1152	Sun Oct 17 02:36:00 +0000 2010	4b58db26f964a520066f28e3	{Beef n Bun}	{32.80210174,-116.99866497,El Cajon,CA,United States}	{Food,}
1152	Fri Oct 15 15:09:43 +0000 2010	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Wed Oct 13 20:40:42 +0000 2010	4c0692030e0a2d7f3008ec0c	{Kaiser Permanente Medical Center}	{32.79123649613554,-117.09583292681407,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Wed Oct 13 15:56:30 +0000 2010	4bc4f4c80969a593ef40636e	{Kaiser Permanente}	{32.58494883638288,-117.03346561575466,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Sat Oct 09 21:32:19 +0000 2010	4ac6b025f964a520d1b520e3	{Wilson Creek Winery}	{33.54715618274799,-117.04497735968377,Temecula,CA,United States}	{Nightlife Spot,Outdoors & Recreation,Food,}
1152	Sat Oct 09 02:27:14 +0000 2010	460d2cfcf964a52002451fe3	{Phil's BBQ}	{32.75483416205354,-117.21583843231201,San Diego,CA,United States}	{Nightlife Spot,Food,}
1152	Fri Oct 08 15:04:12 +0000 2010	4bc4f4c80969a593ef40636e	{Kaiser Permanente}	{32.58494883638288,-117.03346561575466,San Diego,CA,United States}	{Medical Center,Shop & Service,Professional & Other Places,}
1152	Fri Oct 08 01:39:37 +0000 2010	4b33ea9ff964a520f92125e3	{The Rock Church}	{32.73570360250915,-117.21819877624512,San Diego,CA,United States}	{Spiritual Center,Professional & Other Places,}
1152	Thu Oct 07 04:38:00 +0000 2010	4cc9b61546b43704d36b4ae1	{SUBWAY}	{32.80153355,-117.0111728,La Mesa,CA,United States}	{Food,}
