3588	Fri Jun 17 02:01:18 +0000 2011	4b9ac308f964a52059d335e3	{iSalon}	{37.76111442,-122.24557162,Alameda,CA,United States}	{Shop & Service,}
3588	Fri Dec 03 19:07:22 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Fri Dec 03 17:54:00 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Thu Dec 02 18:25:02 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Wed Dec 01 22:23:16 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Wed Dec 01 06:25:05 +0000 2010	4a3dbc0df964a520a3a21fe3	{24 Hour Fitness}	{37.76894679487197,-122.22482427720546,Oakland,CA,United States}	{Shop & Service,}
3588	Tue Nov 30 17:35:13 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Tue Nov 30 06:34:27 +0000 2010	4a3dbc0df964a520a3a21fe3	{24 Hour Fitness}	{37.76894679487197,-122.22482427720546,Oakland,CA,United States}	{Shop & Service,}
3588	Mon Nov 29 21:59:27 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Sat Nov 27 20:50:55 +0000 2010	4a3dbc0df964a520a3a21fe3	{24 Hour Fitness}	{37.76894679487197,-122.22482427720546,Oakland,CA,United States}	{Shop & Service,}
3588	Fri Nov 26 23:13:11 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Wed Nov 24 17:46:04 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Wed Nov 24 06:27:28 +0000 2010	4a3dbc0df964a520a3a21fe3	{24 Hour Fitness}	{37.76894679487197,-122.22482427720546,Oakland,CA,United States}	{Shop & Service,}
3588	Tue Nov 23 17:19:32 +0000 2010	4bf1b15fd39ad13a888aaa0e	{Alameda County Superior Court}	{37.800006476185075,-122.26331448531339,Oakland,CA,United States}	{Government Building,Professional & Other Places,}
3588	Tue Nov 23 07:02:02 +0000 2010	4a3dbc0df964a520a3a21fe3	{24 Hour Fitness}	{37.76894679487197,-122.22482427720546,Oakland,CA,United States}	{Shop & Service,}
3588	Tue Nov 23 05:01:09 +0000 2010	4b6cb608f964a520334e2ce3	{martinizing}	{37.756917,-122.253062,,,United States}	{Shop & Service,}
3588	Mon Nov 22 18:21:57 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Sun Nov 21 23:16:30 +0000 2010	4b0a08e9f964a5203d2123e3	{Encinal Market}	{37.75630378362494,-122.23358384687084,Alameda,CA,United States}	{Shop & Service,Food & Drink Shop,}
3588	Sun Nov 21 17:28:03 +0000 2010	4c8c456e5e048cfa62aecbcd	{La Penca Azul}	{37.76513017934742,-122.24180533244589,Alameda,CA,United States}	{Food,}
3588	Sun Nov 21 01:07:31 +0000 2010	4a3dbc0df964a520a3a21fe3	{24 Hour Fitness}	{37.76894679487197,-122.22482427720546,Oakland,CA,United States}	{Shop & Service,}
3588	Sat Nov 20 18:35:39 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Sat Nov 20 03:07:47 +0000 2010	4b088493f964a5208a0d23e3	{Kobe-Ya}	{37.7629280090332,-122.245292,Alameda,CA,United States}	{Food,}
3588	Fri Nov 19 18:28:55 +0000 2010	4abc29c3f964a520a08620e3	{BevMo!}	{37.7961775140722,-122.27883848293934,Oakland,CA,United States}	{Shop & Service,Food & Drink Shop,}
3588	Fri Nov 19 18:19:45 +0000 2010	4abc29c3f964a520a08620e3	{BevMo!}	{37.7961775140722,-122.27883848293934,Oakland,CA,United States}	{Shop & Service,Food & Drink Shop,}
3588	Fri Nov 19 17:42:02 +0000 2010	4a88a28af964a5203e0720e3	{Starbucks}	{37.76422240101957,-122.24278034536358,Alameda,CA,United States}	{Food,}
3588	Fri Nov 19 17:37:32 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Fri Nov 19 03:43:26 +0000 2010	463cf599f964a52039461fe3	{Trader Joe's}	{37.7577888643969,-122.25131034851074,Alameda,CA,United States}	{Shop & Service,Food & Drink Shop,}
3588	Fri Nov 19 02:21:03 +0000 2010	4a7b71d8f964a5200eeb1fe3	{Bar C?sar}	{37.82613456931768,-122.25298974689706,Oakland,CA,United States}	{Food,}
3588	Thu Nov 18 21:03:28 +0000 2010	4b6b760bf964a5204c0a2ce3	{T? T?i 2}	{37.774471,-122.27678,Alameda,CA,United States}	{Food,}
3588	Thu Nov 18 18:42:08 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Thu Nov 18 06:33:29 +0000 2010	4a3dbc0df964a520a3a21fe3	{24 Hour Fitness}	{37.76894679487197,-122.22482427720546,Oakland,CA,United States}	{Shop & Service,}
3588	Thu Nov 18 02:37:44 +0000 2010	4b6a2e45f964a520dfcb2be3	{Troy}	{37.764412975107454,-122.24336756475695,Alameda,CA,United States}	{Food,}
3588	Wed Nov 17 18:59:44 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Wed Nov 17 17:04:33 +0000 2010	4cdc5bb46ad1a0930e2bf156	{Fidelity National Title}	{37.73726810811748,-122.24093556909177,Alameda,CA,United States}	{Professional & Other Places,}
3588	Wed Nov 17 05:51:50 +0000 2010	4a3dbc0df964a520a3a21fe3	{24 Hour Fitness}	{37.76894679487197,-122.22482427720546,Oakland,CA,United States}	{Shop & Service,}
3588	Tue Nov 16 18:46:17 +0000 2010	4b93e6f1f964a520995834e3	{Alameda City Hall}	{37.76610103745479,-122.24356412887573,Alameda,CA,United States}	{Government Building,Professional & Other Places,}
3588	Tue Nov 16 18:45:06 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Tue Nov 16 18:43:02 +0000 2010	4cdd7caba1bba35d63a5a0e5	{Alameda Association of Realtors}	{37.76414,-122.24081,Alameda,CA,United States}	{}
3588	Tue Nov 16 18:43:02 +0000 2010	4cdd7caba1bba35d63a5a0e5	{Alameda Association of Realtors}	{37.76414,-122.24081,Alameda,CA,United States}	{}
3588	Tue Nov 16 02:46:37 +0000 2010	4b6cb608f964a520334e2ce3	{martinizing}	{37.756917,-122.253062,,,United States}	{Shop & Service,}
3588	Mon Nov 15 18:43:54 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Sat Nov 13 23:02:39 +0000 2010	4cdf1909825e721e47bb6e45	{3022 Encinal Ave}	{37.75676,-122.23531,Alameda,CA,United States}	{}
3588	Sat Nov 13 19:30:16 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Sat Nov 13 06:36:21 +0000 2010	4b5f0f65f964a52027a429e3	{Chevron}	{37.777614,-122.276422,Alameda,CA,United States}	{Shop & Service,}
3588	Sat Nov 13 03:45:11 +0000 2010	4c1122f2ce640f471c113b52	{Auction By The Bay Theater}	{37.77077,-122.25812,Alameda,CA,United States}	{Arts & Entertainment,}
3588	Fri Nov 12 20:56:08 +0000 2010	4a34549df964a520139c1fe3	{Sushi House}	{37.754811522163905,-122.25073099136353,Alameda,CA,United States}	{Food,}
3588	Fri Nov 12 16:33:46 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Thu Nov 11 17:58:17 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Wed Nov 10 22:07:25 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Tue Nov 09 18:50:11 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Tue Nov 09 16:26:26 +0000 2010	4c13b531a1010f47b90d4b18	{Jim's On The Course}	{37.73902692410898,-122.23306305761074,Alameda,CA,United States}	{Nightlife Spot,Food,}
3588	Fri Nov 05 21:54:10 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Thu Nov 04 16:33:21 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Wed Nov 03 16:39:38 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Tue Nov 02 16:48:43 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Mon Nov 01 16:59:49 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Sat Oct 30 22:25:17 +0000 2010	4ccc9b23ba0a548152873e59	{Alameda Repair Shop}	{37.76516,-122.24011,Alameda,CA,United States}	{}
3588	Sat Oct 30 16:45:29 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Sat Oct 30 16:45:29 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Fri Oct 29 20:34:34 +0000 2010	4bbb4a523db7b7134a22249a	{Mercedes Benz of Oakland}	{37.81787638390747,-122.26298769829506,Oakland,CA,United States}	{Shop & Service,}
3588	Fri Oct 29 04:53:47 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
3588	Fri Oct 29 04:47:53 +0000 2010	4cca0a473a78199c1d21dd36	{CERDA-ZEIN REAL ESTATE}	{37.76386193173903,-122.24068880081177,Alameda,CA,United States}	{Shop & Service,}
