3022	Thu Aug 11 19:31:23 +0000 2011	4b36c98ef964a520693c25e3	{Gulfstream}	{33.604945,-117.874059,Newport Beach,CA,United States}	{Food,}
3022	Sat Jun 25 21:51:16 +0000 2011	4b786d3df964a52067cd2ee3	{Dillard's}	{33.31111881035949,-111.74490451812744,Gilbert,AZ,United States}	{Shop & Service,}
3022	Sat Jun 25 03:24:42 +0000 2011	4b3d1b28f964a5201b8e25e3	{Kona Grill}	{33.307791973605674,-111.74213204431621,Gilbert,AZ,United States}	{Food,}
3022	Mon Jun 20 19:32:54 +0000 2011	4a63c64af964a520c9c51fe3	{The Beverly Hilton}	{34.06613944596981,-118.41298147226443,Beverly Hills,CA,United States}	{Nightlife Spot,Travel & Transport,Hotel,}
3022	Mon Jun 20 15:47:57 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Tue Jun 14 17:16:39 +0000 2011	4b58a02ff964a520116228e3	{Starbucks}	{33.60070751451795,-117.87283430528485,Corona Del Mar,CA,United States}	{Food,}
3022	Wed Jun 08 19:34:17 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Tue Jun 07 01:27:11 +0000 2011	4bdf7495ffdec928802beca1	{The Grill}	{33.85996923,-117.88915001666666,Fullerton,CA,United States}	{Food,}
3022	Tue Jun 07 01:17:48 +0000 2011	4bdf7495ffdec928802beca1	{The Grill}	{33.85996923,-117.88915001666666,Fullerton,CA,United States}	{Food,}
3022	Tue Jun 07 00:53:54 +0000 2011	4ae5072bf964a52017a021e3	{Bamboo Bistro}	{33.603408,-117.87274897098541,Corona del Mar,CA,United States}	{Food,}
3022	Mon Jun 06 22:02:32 +0000 2011	4b78be55f964a52070e02ee3	{Avila's El Ranchito}	{33.60346671133793,-117.87382432299322,Corona del Mar,CA,United States}	{Food,}
3022	Mon Jun 06 15:58:13 +0000 2011	4b58a02ff964a520116228e3	{Starbucks}	{33.60070751451795,-117.87283430528485,Corona Del Mar,CA,United States}	{Food,}
3022	Sat Jun 04 23:59:49 +0000 2011	447f1766f964a52003341fe3	{Javier's Grill & Cantina}	{33.57062001143586,-117.83431828022003,Newport Beach,CA,United States}	{Food,}
3022	Sun May 29 02:15:58 +0000 2011	4aafe4a8f964a5200b6520e3	{Starbucks}	{33.874893932215556,-117.89004725370354,Fullerton,CA,United States}	{Food,}
3022	Sat May 28 20:49:43 +0000 2011	4de15cec18385df2b009710a	{Open House Shady Canyon}	{33.63979470540562,-117.79010877906009,Irvine,CA,United States}	{Residence,}
3022	Fri May 13 19:20:58 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Fri May 06 01:47:05 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Tue May 03 22:51:32 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Mon May 02 20:11:12 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sat Apr 30 20:17:47 +0000 2011	4d20f26dbdd7a0936eaaf1ce	{Open House 1pm to 4pm}	{33.59935875,-117.86948243333333,Corona del Mar,CA,United States}	{Professional & Other Places,}
3022	Sun Apr 24 18:14:27 +0000 2011	4bf41e7bff90c9b6bedb5428	{South Hills Church}	{33.850599,-117.569281,Corona,CA,United States}	{Spiritual Center,Professional & Other Places,}
3022	Sat Apr 23 21:11:04 +0000 2011	4db3400f6a23c31a02fe644b	{Open House 1pm To 4pm}	{33.541607,-117.780174,Laguna Beach,CA,United States}	{Travel & Transport,}
3022	Sat Apr 23 18:33:07 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Fri Apr 22 19:44:05 +0000 2011	447f1766f964a52003341fe3	{Javier's Grill & Cantina}	{33.57062001143586,-117.83431828022003,Newport Beach,CA,United States}	{Food,}
3022	Fri Apr 22 16:09:36 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Fri Apr 22 15:33:33 +0000 2011	4b58a02ff964a520116228e3	{Starbucks}	{33.60070751451795,-117.87283430528485,Corona Del Mar,CA,United States}	{Food,}
3022	Thu Apr 21 22:06:39 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Wed Apr 20 16:10:11 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Wed Apr 20 15:46:35 +0000 2011	4b58a02ff964a520116228e3	{Starbucks}	{33.60070751451795,-117.87283430528485,Corona Del Mar,CA,United States}	{Food,}
3022	Tue Apr 19 18:42:27 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Mon Apr 18 16:51:06 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sat Apr 16 16:36:33 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Fri Apr 15 17:01:08 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sun Apr 10 22:46:34 +0000 2011	4da2315fc6e96ea842bed05d	{Corona Del Mar Open House 1pm To 4pm}	{33.602040311047325,-117.86044718252812,Corona del Mar,CA,United States}	{Residence,}
3022	Mon Apr 04 16:44:52 +0000 2011	4b58a02ff964a520116228e3	{Starbucks}	{33.60070751451795,-117.87283430528485,Corona Del Mar,CA,United States}	{Food,}
3022	Tue Mar 29 01:31:29 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Tue Mar 22 18:38:07 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Mon Mar 21 19:57:03 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sun Mar 13 01:08:57 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Thu Mar 03 21:53:49 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Thu Feb 24 16:40:41 +0000 2011	4b58a02ff964a520116228e3	{Starbucks}	{33.60070751451795,-117.87283430528485,Corona Del Mar,CA,United States}	{Food,}
3022	Mon Feb 21 02:05:52 +0000 2011	4d5e19a2149637040b8cc594	{2011 NBA ALL-STAR GAME}	{34.04452,-118.266178,Los Angeles,CA,United States}	{Stadium,Arts & Entertainment,}
3022	Sat Feb 19 21:44:22 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sat Feb 19 17:44:03 +0000 2011	4b51eefff964a520175c27e3	{SMMOC Lab}	{33.67813847104794,-117.90241804984016,Costa Mesa,CA,United States}	{Professional & Other Places,}
3022	Tue Feb 01 19:47:24 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Mon Jan 31 22:50:26 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sun Jan 30 22:45:49 +0000 2011	4d20f26dbdd7a0936eaaf1ce	{Open House 1pm to 4pm}	{33.59935875,-117.86948243333333,Corona del Mar,CA,United States}	{Professional & Other Places,}
3022	Sun Jan 30 22:45:49 +0000 2011	4d20f26dbdd7a0936eaaf1ce	{Open House 1pm to 4pm}	{33.59935875,-117.86948243333333,Corona del Mar,CA,United States}	{Professional & Other Places,}
3022	Sat Jan 29 20:28:22 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Fri Jan 28 19:27:57 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Fri Jan 28 02:55:31 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Thu Jan 27 01:06:20 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Mon Jan 24 17:18:39 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sun Jan 23 18:00:07 +0000 2011	4b76dcb6f964a52019652ee3	{Peppermill Restaurant}	{36.13364844085978,-115.16329139471054,Las Vegas,NV,United States}	{Food,}
3022	Sun Jan 23 02:25:05 +0000 2011	49de8b97f964a52077601fe3	{The M Resort Spa & Casino}	{35.964703882487385,-115.16972064971924,Las Vegas,NV,United States}	{Travel & Transport,Arts & Entertainment,Hotel,}
3022	Sat Jan 22 22:25:27 +0000 2011	4bd08da6462cb713a696d807	{Coach Factory Store}	{36.05315847519722,-115.16916275024414,Las Vegas,NV,United States}	{Shop & Service,Clothing Store,}
3022	Sat Jan 22 04:30:01 +0000 2011	4ab7f615f964a5209d7b20e3	{In-N-Out Burger}	{34.84991025051407,-117.08245754241943,Barstow,CA,United States}	{Food,}
3022	Fri Jan 21 16:50:09 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Thu Jan 20 23:28:00 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Tue Jan 18 01:17:24 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sun Jan 16 17:22:06 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sat Jan 15 22:46:02 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sat Jan 15 17:19:30 +0000 2011	4b51eefff964a520175c27e3	{SMMOC Lab}	{33.67813847104794,-117.90241804984016,Costa Mesa,CA,United States}	{Professional & Other Places,}
3022	Fri Jan 14 22:51:57 +0000 2011	4b78be55f964a52070e02ee3	{Avila's El Ranchito}	{33.60346671133793,-117.87382432299322,Corona del Mar,CA,United States}	{Food,}
3022	Fri Jan 14 21:06:48 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Wed Jan 12 18:59:03 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Tue Jan 11 23:01:53 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Tue Jan 11 23:01:53 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Mon Jan 10 17:42:09 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sat Jan 08 21:37:07 +0000 2011	4d28d8e5915fa0933bdd000a	{Robert Cole @ Open House 1pm To 4pm}	{33.602224883333335,-117.87441551666667,Corona del Mar,CA,United States}	{}
3022	Sat Jan 08 20:17:10 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sat Jan 08 18:31:40 +0000 2011	4b51eefff964a520175c27e3	{SMMOC Lab}	{33.67813847104794,-117.90241804984016,Costa Mesa,CA,United States}	{Professional & Other Places,}
3022	Wed Jan 05 21:03:13 +0000 2011	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sun Jan 02 21:48:52 +0000 2011	4d20f26dbdd7a0936eaaf1ce	{Open House 1pm to 4pm}	{33.59935875,-117.86948243333333,Corona del Mar,CA,United States}	{Professional & Other Places,}
3022	Sat Jan 01 05:11:28 +0000 2011	4b4b87a2f964a520479f26e3	{Geisha House}	{33.773225795244585,-117.86686420440674,Santa Ana,CA,United States}	{Shop & Service,Food,}
3022	Sat Dec 11 17:13:06 +0000 2010	439ec330f964a520102c1fe3	{Los Angeles International Airport (LAX)}	{33.94389397698472,-118.40502262115479,Los Angeles,CA,United States}	{Travel & Transport,}
3022	Tue Dec 07 15:55:46 +0000 2010	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Tue Dec 07 15:46:39 +0000 2010	4b58a02ff964a520116228e3	{Starbucks}	{33.60070751451795,-117.87283430528485,Corona Del Mar,CA,United States}	{Food,}
3022	Mon Dec 06 22:02:25 +0000 2010	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sat Dec 04 21:56:01 +0000 2010	4cfab78b2d80a143afad46d8	{Open House 1PM to 4PM}	{33.61246,-117.86876,Corona del Mar,CA,United States}	{}
3022	Sat Dec 04 20:04:50 +0000 2010	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sat Dec 04 00:35:29 +0000 2010	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
3022	Sat Dec 04 00:00:46 +0000 2010	4cf984ad2d80a143095a3ed8	{Granite Escrow}	{33.684074240640854,-117.8155700753114,Newport Beach,CA,United States}	{}
3022	Mon Nov 22 18:15:05 +0000 2010	4c3caecf933b0f47e868e421	{McMonigle Group}	{33.61100957361389,-117.87776470184326,Newport Beach,CA,United States}	{Professional & Other Places,}
===
3022	Wed Oct 20 17:11:27 +0000 2010	4b0b0fb1f964a520412c23e3	{Starbucks}	{33.608063,-117.827375,Newport Coast,CA,United States}	{Food,}
3022	Mon Oct 18 23:01:37 +0000 2010	42ae1e00f964a52055251fe3	{Fullerton College}	{33.87504766550658,-117.91819095611572,Fullerton,CA,United States}	{College & University,}
3022	Fri Oct 15 18:49:01 +0000 2010	4b56745ef964a520111128e3	{Anacapa Apartment Homes}	{33.72516317292403,-117.77838308833336,Irvine,CA,United States}	{Residence,}
3022	Fri Oct 15 15:02:40 +0000 2010	4b20ac07f964a520cf3324e3	{Acacia School}	{33.88214817642337,-117.89809809461882,Fullerton,CA,United States}	{College & University,}
3022	Thu Oct 14 02:34:25 +0000 2010	4cb66af6e262b60c791d6fe0	{U.S Army Recruiting}	{33.917228,-117.89967791666666,Brea,CA,United States}	{}
3022	Wed Oct 13 19:26:05 +0000 2010	4bba41a0b35776b0c1b6ca01	{US Post Office}	{33.87391923128619,-117.9033850190498,Fullerton,CA,United States}	{Shop & Service,Professional & Other Places,}
3022	Wed Oct 13 17:09:07 +0000 2010	4aafe4a8f964a5200b6520e3	{Starbucks}	{33.874893932215556,-117.89004725370354,Fullerton,CA,United States}	{Food,}
3022	Tue Oct 12 19:29:33 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Tue Oct 12 17:43:32 +0000 2010	4b91c947f964a52050d733e3	{Jaguar Land Rover Aston Martin Newport Beach}	{33.62414112637608,-117.87972998115646,Newport Beach,CA,United States}	{Shop & Service,}
3022	Mon Oct 11 20:26:45 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Mon Oct 11 20:22:00 +0000 2010	4ae21390f964a5207a8a21e3	{Surterre Properties}	{33.60947425143982,-117.87963842203214,Newport Beach,CA,United States}	{}
3022	Sun Oct 10 15:29:37 +0000 2010	4aafe4a8f964a5200b6520e3	{Starbucks}	{33.874893932215556,-117.89004725370354,Fullerton,CA,United States}	{Food,}
3022	Sat Oct 09 18:48:12 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Sat Oct 09 17:45:56 +0000 2010	4b51eefff964a520175c27e3	{SMMOC Lab}	{33.67813847104794,-117.90241804984016,Costa Mesa,CA,United States}	{Professional & Other Places,}
3022	Tue Oct 05 16:49:12 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Wed Sep 29 20:29:01 +0000 2010	4bad8f3ff964a520805b3be3	{Marriott Newport Beach Hotel and Spa}	{33.61666879840092,-117.87963842203214,Newport Beach,CA,United States}	{Travel & Transport,}
3022	Thu Sep 16 15:19:52 +0000 2010	4aafe4a8f964a5200b6520e3	{Starbucks}	{33.874893932215556,-117.89004725370354,Fullerton,CA,United States}	{Food,}
===
3022	Sun Aug 22 03:42:55 +0000 2010	4aea5b3ff964a52031bb21e3	{Pho 88}	{33.860277469364256,-117.9202938079834,Fullerton,CA,United States}	{Food,}
===
3022	Sat Jul 24 19:02:55 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
===
3022	Wed Jun 16 01:19:30 +0000 2010	4b438cb7f964a520fde225e3	{OC Sports Grill}	{33.79510303541216,-117.8898984785748,Orange,CA,United States}	{Nightlife Spot,Food,}
3022	Tue Jun 15 01:30:46 +0000 2010	4b857dd9f964a520616131e3	{Mobil}	{33.87453475,-117.88922,FULLERTON,CA,United States}	{Shop & Service,}
3022	Thu Jun 10 01:27:50 +0000 2010	4af1bc3cf964a52098e221e3	{Panera Bread}	{33.63791374,-117.860021,Newport Beach,CA,United States}	{Food,}
3022	Wed Jun 09 21:19:35 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Fri Jun 04 23:23:30 +0000 2010	4b7dd64af964a5206ed72fe3	{Image Dental}	{33.63866292079354,-117.86055305894885,Newport Beach,CA,United States}	{Medical Center,Professional & Other Places,}
3022	Sat May 29 02:04:52 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Thu May 27 22:01:06 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Thu May 27 21:30:26 +0000 2010	4bf817714a67c92883ba24cf	{Chevron}	{33.638001,-117.8635436296463,Newport Beach,CA,United States}	{Shop & Service,}
3022	Thu May 27 21:29:00 +0000 2010	4ae107ccf964a520b88421e3	{Quiznos}	{33.638703,-117.860291,Newport Beach,CA,United States}	{Food,}
3022	Thu May 27 17:58:32 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Wed May 26 23:49:46 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Tue May 25 16:41:31 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Tue May 25 16:38:51 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Sun May 23 21:38:19 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Fri May 21 23:53:17 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Thu May 20 21:23:35 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Thu May 20 19:36:21 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Tue May 18 16:50:45 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Tue May 04 19:48:08 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Sat May 01 01:18:46 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Thu Apr 29 01:24:31 +0000 2010	4b7de681f964a520c1d82fe3	{University of Phoenix - Southern California Campus}	{33.68591937095303,-117.88471988349919,Costa Mesa,CA,United States}	{College & University,}
3022	Sat Apr 24 05:29:30 +0000 2010	4b69eba7f964a52038bc2be3	{Stater Bros}	{33.98576932340423,-117.3411512374878,Riverside,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
3022	Sat Apr 24 03:09:23 +0000 2010	4af5b12bf964a52058fb21e3	{First Team Estates}	{33.60685998368395,-117.87628503725675,Newport Beach,CA,United States}	{Shop & Service,}
3022	Thu Apr 22 21:58:35 +0000 2010	4ab43114f964a5204e7020e3	{Thai Basil Restaurant}	{33.875154557490475,-117.8884506225586,Fullerton,CA,United States}	{Food,}
3022	Sun Apr 18 20:54:43 +0000 2010	4bc242ce74a9a593a70ed3f6	{Harbor Ridge Community}	{33.61521376881109,-117.84872599577584,Newport Beach,CA,United States}	{Residence,}
