1732	Thu Aug 11 17:58:39 +0000 2011	4b53573df964a5201a9827e3	{Sunshine Foods}	{38.502962,-122.46764659881592,Saint Helena,CA,United States}	{Shop & Service,Food,Food & Drink Shop,}
1732	Thu Jul 07 23:23:36 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Thu Jul 07 17:31:45 +0000 2011	4bc370b0dce4eee1d79a719d	{The Carneros Inn}	{38.25573967237484,-122.333664894104,Napa,CA,United States}	{Travel & Transport,}
1732	Thu Jul 07 15:47:43 +0000 2011	453f5b78f964a520333c1fe3	{Bouchon Bakery}	{38.40248718545806,-122.36198902130127,Yountville,CA,United States}	{Food,}
1732	Thu Jul 07 03:22:28 +0000 2011	4baab6a0f964a520fb813ae3	{Chevron}	{38.28164321303374,-122.29310881539341,Napa,CA,United States}	{Shop & Service,}
1732	Thu Jul 07 02:26:43 +0000 2011	4b3ee0daf964a520d8a225e3	{Norman Rose Tavern}	{38.297534410039674,-122.28871218446294,Napa,CA,United States}	{Food,}
1732	Tue Jul 05 19:20:21 +0000 2011	4b7ae3ddf964a5200e442fe3	{Boys & Girls Clubs of Napa Valley}	{38.314933,-122.30116128,Napa,CA,United States}	{Professional & Other Places,}
1732	Mon Jul 04 20:22:15 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Sun Jul 03 21:05:04 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Sun Jul 03 18:06:02 +0000 2011	4c42300fce54e21ead4d0c1a	{La Vie Nail Spa}	{38.323971,-122.30687236666667,Napa,CA,United States}	{Shop & Service,}
1732	Sun Jul 03 17:23:45 +0000 2011	4a2ae37df964a52066961fe3	{Oxbow Public Market}	{38.301669,-122.281671,Napa,CA,United States}	{Shop & Service,Food & Drink Shop,}
1732	Sat Jul 02 05:36:55 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Sat Jul 02 03:09:56 +0000 2011	4b5f3172f964a5205dac29e3	{Veterans Memorial Park}	{38.298394,-122.284678,Napa,CA,United States}	{Outdoors & Recreation,}
1732	Fri Jul 01 04:21:31 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Sat Jun 25 18:48:34 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Fri Jun 24 01:57:10 +0000 2011	4df1903d1f6e818dadf8be87	{The Kitchen Door}	{38.30182135105133,-122.282001,Napa,CA,United States}	{Nightlife Spot,Food,}
1732	Thu Jun 23 20:23:21 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Thu Jun 23 01:10:00 +0000 2011	4a7667a3f964a52001e31fe3	{FARM, The Carneros Inn}	{38.25554496620611,-122.33535480951261,Napa,CA,United States}	{Travel & Transport,Food,Hotel,}
1732	Wed Jun 22 23:14:11 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Fri Jun 17 21:39:51 +0000 2011	3fd66200f964a520a7eb1ee3	{Ikeda's California Country Market}	{38.9280366897583,-121.055356,Auburn,CA,United States}	{Food,}
1732	Mon Jun 13 22:12:33 +0000 2011	4cf009957b9437048ec33653	{Beaver Liquors}	{39.63484459535098,-106.52112007141113,Avon,CO,United States}	{Shop & Service,Food & Drink Shop,}
1732	Mon Jun 13 19:32:16 +0000 2011	4c52ee309426c928ec710376	{Rimini Gelato}	{39.603647,-106.517245,Avon,CO,United States}	{Food,}
1732	Mon Jun 13 03:33:24 +0000 2011	4bba0ee0cf2fc9b64512a102	{Beaver Creek Ski Resort}	{39.6045143919303,-106.5163779258728,Avon,CO,United States}	{Outdoors & Recreation,Ski Area,Residence,}
1732	Mon Jun 13 03:31:06 +0000 2011	4b30de93f964a52053fc24e3	{Rimini}	{39.60399770439453,-106.5169468931744,Beaver Creek,CO,United States}	{Nightlife Spot,}
1732	Sat Jun 11 19:21:24 +0000 2011	4b282fa0f964a5207b9024e3	{Navajo Hogan}	{40.70014536380768,-111.87834165,Salt Lake City,UT,United States}	{Food,}
1732	Sat Jun 11 14:51:20 +0000 2011	4b4e1b2bf964a52062e126e3	{Red Lion Hotel & Casino Elko}	{40.85017679415775,-115.74663162231445,Elko,NV,United States}	{Travel & Transport,Arts & Entertainment,}
1732	Sat Jun 11 02:16:22 +0000 2011	4bc4192cdce4eee105f0719d	{Martin Hotel}	{40.97043693065643,-117.73162186145782,Winnemucca,NV,United States}	{Food,}
1732	Mon Jun 06 15:19:31 +0000 2011	4d0785fb8620224bcf9cb840	{Newton's Law of Fitness Club}	{38.31805918361988,-122.30368434864404,Napa,CA,United States}	{College & University,}
1732	Sat Jun 04 02:49:19 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Sat Jun 04 02:48:58 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Sat Jun 04 02:45:53 +0000 2011	4a2ae37df964a52066961fe3	{Oxbow Public Market}	{38.301669,-122.281671,Napa,CA,United States}	{Shop & Service,Food & Drink Shop,}
1732	Sun May 29 19:55:14 +0000 2011	4d1adda49aa554819bc2c9e0	{Rotisserie & Wine}	{38.297428,-122.28349375,Napa,CA,United States}	{Food,}
1732	Sat May 28 20:18:23 +0000 2011	4ac93c93f964a5204fbf20e3	{Azzurro Pizzeria e Enoteca}	{38.30122125145099,-122.28698449130675,Napa,CA,United States}	{Nightlife Spot,Food,}
1732	Fri May 27 19:43:54 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Wed May 25 20:32:39 +0000 2011	4b71e291f964a5202b622de3	{Alta Heights Elementary School}	{38.30261141,-122.27288923,Napa,CA,United States}	{College & University,}
1732	Wed May 25 00:38:37 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Sun May 22 19:20:09 +0000 2011	4b75f1d2f964a5200f312ee3	{Newton HQ}	{38.27824034892195,-122.28494666329566,,CA,United States}	{}
1732	Wed May 18 19:54:36 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Mon May 16 15:57:16 +0000 2011	4b60bda9f964a520c5f629e3	{US Post Office}	{38.297103930910765,-122.28749394220738,Napa,CA,United States}	{Professional & Other Places,}
1732	Sat May 07 17:35:04 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Sat May 07 00:40:37 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Fri May 06 20:36:40 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Thu May 05 21:46:58 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Wed May 04 01:47:16 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Wed May 04 01:47:16 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Sun May 01 19:49:25 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Sat Apr 30 18:18:40 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Sat Apr 30 00:20:27 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Fri Apr 29 00:24:03 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Tue Apr 26 20:32:50 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Tue Apr 26 20:31:52 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Mon Apr 25 15:22:24 +0000 2011	4d0785fb8620224bcf9cb840	{Newton's Law of Fitness Club}	{38.31805918361988,-122.30368434864404,Napa,CA,United States}	{College & University,}
1732	Sun Apr 24 01:45:44 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Fri Apr 22 20:15:35 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Fri Apr 22 20:09:01 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Thu Apr 21 23:52:12 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Wed Apr 20 21:35:01 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Tue Apr 19 18:13:35 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Tue Apr 19 02:07:32 +0000 2011	4b6b51ccf964a520a8002ce3	{Silverado Middle School}	{38.29509000877335,-122.26064443588255,Napa,CA,United States}	{School,Professional & Other Places,}
1732	Mon Apr 18 00:37:18 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Sun Apr 17 03:55:07 +0000 2011	4a3eeb25f964a5208fa31fe3	{Ubuntu}	{38.300394747293936,-122.28629783623072,Napa,CA,United States}	{Shop & Service,Food,Gym / Fitness Center,}
1732	Sat Apr 16 16:28:58 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Thu Apr 14 23:36:43 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Thu Apr 14 01:34:39 +0000 2011	4d8c4a93788fb60c4af96112	{Novato Chevrolet}	{38.10023437527418,-122.5683577147787,Novato,CA,United States}	{Shop & Service,}
1732	Mon Apr 11 19:33:20 +0000 2011	3fd66200f964a5206ef11ee3	{Zuzu}	{38.2982222953028,-122.28480577468872,Napa,CA,United States}	{Food,}
1732	Mon Apr 11 18:56:23 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Sat Apr 09 02:00:47 +0000 2011	4b428adcf964a52017d625e3	{Mini Garden}	{38.32053795,-122.307162,Napa,CA,United States}	{}
1732	Thu Apr 07 16:12:17 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Wed Apr 06 16:36:17 +0000 2011	4b5dcaf6f964a520fa6b29e3	{Alexis Baking Company}	{38.29554511,-122.28874,Napa,CA,United States}	{Food,}
1732	Wed Apr 06 16:36:17 +0000 2011	4b5dcaf6f964a520fa6b29e3	{Alexis Baking Company}	{38.29554511,-122.28874,Napa,CA,United States}	{Food,}
1732	Wed Apr 06 15:21:13 +0000 2011	4d0785fb8620224bcf9cb840	{Newton's Law of Fitness Club}	{38.31805918361988,-122.30368434864404,Napa,CA,United States}	{College & University,}
1732	Tue Apr 05 16:11:07 +0000 2011	4b5dcaf6f964a520fa6b29e3	{Alexis Baking Company}	{38.29554511,-122.28874,Napa,CA,United States}	{Food,}
1732	Sat Apr 02 21:59:35 +0000 2011	4c461b57cd5ca59348d0ff86	{Napa Recycling And Waste}	{38.21038540263222,-122.26432253387001,Napa,CA,United States}	{}
1732	Fri Apr 01 23:42:44 +0000 2011	4b2d6249f964a52081d524e3	{Napa Valley Marriott Hotel & Spa}	{38.32308558738984,-122.31213848061128,Napa,CA,United States}	{Travel & Transport,}
1732	Wed Mar 30 01:12:21 +0000 2011	4a2ae37df964a52066961fe3	{Oxbow Public Market}	{38.301669,-122.281671,Napa,CA,United States}	{Shop & Service,Food & Drink Shop,}
1732	Sat Mar 26 22:51:44 +0000 2011	4b4cbc0ef964a52069bc26e3	{Target}	{38.28251972313941,-122.27691679792798,Napa,CA,United States}	{Shop & Service,Clothing Store,}
1732	Sat Mar 26 21:10:47 +0000 2011	4ae4e9aff964a520639f21e3	{Napa Premium Outlets}	{38.296420327303764,-122.30307531509867,Napa,CA,United States}	{Shop & Service,}
1732	Sat Mar 26 20:06:35 +0000 2011	4b3ee0daf964a520d8a225e3	{Norman Rose Tavern}	{38.297534410039674,-122.28871218446294,Napa,CA,United States}	{Food,}
1732	Sat Mar 26 16:31:52 +0000 2011	4cb731adf6616dcb190ce508	{Iveta Salon}	{38.298315,-122.288274,Napa,CA,United States}	{}
1732	Sat Mar 26 03:45:20 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Sat Mar 26 01:02:45 +0000 2011	4c16ce8096040f47077873a5	{Carpe Diem Wine Bar}	{38.29835689285946,-122.28522354439401,Napa,CA,United States}	{Nightlife Spot,}
1732	Thu Mar 24 21:19:33 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Wed Mar 23 15:19:35 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Wed Mar 23 13:50:57 +0000 2011	4d0785fb8620224bcf9cb840	{Newton's Law of Fitness Club}	{38.31805918361988,-122.30368434864404,Napa,CA,United States}	{College & University,}
1732	Tue Mar 22 22:08:43 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Mon Mar 21 01:28:58 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Mon Mar 21 00:40:17 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Sun Mar 20 16:23:13 +0000 2011	4b75f1d2f964a5200f312ee3	{Newton HQ}	{38.27824034892195,-122.28494666329566,,CA,United States}	{}
1732	Sun Mar 20 04:28:21 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Sun Mar 20 02:13:48 +0000 2011	4d5889b5afe4b60c28375261	{Narnia}	{38.287823,-122.289364,,,United States}	{Travel & Transport,Hotel,}
1732	Sun Mar 20 01:03:33 +0000 2011	4ac93c93f964a5204fbf20e3	{Azzurro Pizzeria e Enoteca}	{38.30122125145099,-122.28698449130675,Napa,CA,United States}	{Nightlife Spot,Food,}
1732	Fri Mar 18 21:53:37 +0000 2011	4b7ae3ddf964a5200e442fe3	{Boys & Girls Clubs of Napa Valley}	{38.314933,-122.30116128,Napa,CA,United States}	{Professional & Other Places,}
1732	Fri Mar 18 18:14:28 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Fri Mar 18 17:39:28 +0000 2011	4bf9bb838d30d13ac4bc0218	{Lucky}	{38.305962217646716,-122.30271542999776,Napa,CA,United States}	{Shop & Service,Food & Drink Shop,}
1732	Fri Mar 18 16:05:41 +0000 2011	4b92dfe6f964a520722334e3	{Lucky Brand}	{38.295432329177856,-122.30299,Napa,CA,United States}	{Shop & Service,}
1732	Thu Mar 17 21:05:26 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Thu Mar 17 16:33:01 +0000 2011	4d8237b459d16dcb5d13091c	{Dr Lazarus Chiropractic}	{38.303536,-122.294027,,,United States}	{}
1732	Thu Mar 17 15:27:58 +0000 2011	4d82287a21c0b60c19ade76f	{Dr Larsen Optometrist}	{38.297324,-122.292584,,,United States}	{}
1732	Wed Mar 16 16:16:37 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Wed Mar 16 01:24:12 +0000 2011	4b3ee0daf964a520d8a225e3	{Norman Rose Tavern}	{38.297534410039674,-122.28871218446294,Napa,CA,United States}	{Food,}
1732	Sun Mar 13 18:23:07 +0000 2011	4b9dddb4f964a520b5c036e3	{Napa Valley Country Club}	{38.318123,-122.24101805,Napa,CA,United States}	{Outdoors & Recreation,Athletics & Sports,}
1732	Sat Mar 12 00:40:53 +0000 2011	4abc3960f964a520d38620e3	{The Bone Room}	{37.891098,-122.285274,Berkeley,CA,United States}	{Shop & Service,}
1732	Fri Mar 11 23:11:16 +0000 2011	4a88968bf964a520070720e3	{Sur La Table}	{37.86995073333333,-122.300961,Berkeley,CA,United States}	{Shop & Service,}
1732	Fri Mar 11 22:13:00 +0000 2011	49e8cfb6f964a5208b651fe3	{Urban Ore Salvage}	{37.85052267605451,-122.29054505900856,Berkeley,CA,United States}	{Shop & Service,}
1732	Fri Mar 11 19:48:32 +0000 2011	46349e90f964a5200d461fe3	{Rockridge Market Hall}	{37.84377485198374,-122.25188742231052,Oakland,CA,United States}	{Food,}
1732	Fri Mar 11 02:31:33 +0000 2011	4ba58615f964a520220f39e3	{Oenotri}	{38.29728183905271,-122.28893921897644,Napa,CA,United States}	{Food,}
1732	Mon Mar 07 16:13:42 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Fri Mar 04 22:46:38 +0000 2011	4d5eec73ef378cfa186e68a6	{BOXlab Studio}	{38.29889062522654,-122.28952579200268,Napa,CA,United States}	{Arts & Entertainment,}
1732	Fri Mar 04 22:44:23 +0000 2011	4d5eec73ef378cfa186e68a6	{BOXlab Studio}	{38.29889062522654,-122.28952579200268,Napa,CA,United States}	{Arts & Entertainment,}
1732	Fri Mar 04 18:55:23 +0000 2011	4c42300fce54e21ead4d0c1a	{La Vie Nail Spa}	{38.323971,-122.30687236666667,Napa,CA,United States}	{Shop & Service,}
1732	Fri Mar 04 17:36:47 +0000 2011	4d0785fb8620224bcf9cb840	{Newton's Law of Fitness Club}	{38.31805918361988,-122.30368434864404,Napa,CA,United States}	{College & University,}
1732	Wed Mar 02 19:57:18 +0000 2011	4ac66209f964a52014b420e3	{Ang?le Restaurant & Bar}	{38.295899,-122.2827297449112,Napa,CA,United States}	{Food,Arts & Entertainment,}
1732	Wed Mar 02 17:42:31 +0000 2011	4d0785fb8620224bcf9cb840	{Newton's Law of Fitness Club}	{38.31805918361988,-122.30368434864404,Napa,CA,United States}	{College & University,}
1732	Wed Mar 02 16:16:09 +0000 2011	4d0785fb8620224bcf9cb840	{Newton's Law of Fitness Club}	{38.31805918361988,-122.30368434864404,Napa,CA,United States}	{College & University,}
1732	Wed Mar 02 16:16:09 +0000 2011	4d0785fb8620224bcf9cb840	{Newton's Law of Fitness Club}	{38.31805918361988,-122.30368434864404,Napa,CA,United States}	{College & University,}
1732	Tue Mar 01 21:33:45 +0000 2011	4b699d40f964a520b3a92be3	{River School}	{38.287570971973906,-122.30367881199119,Napa,CA,United States}	{}
1732	Tue Mar 01 17:06:13 +0000 2011	4a05f551f964a520a1721fe3	{Artesa Vineyards & Winery}	{38.26929613146965,-122.35629737377167,Napa,CA,United States}	{Outdoors & Recreation,Food,}
1732	Tue Mar 01 04:15:31 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Tue Mar 01 04:03:06 +0000 2011	4b3ee0daf964a520d8a225e3	{Norman Rose Tavern}	{38.297534410039674,-122.28871218446294,Napa,CA,United States}	{Food,}
1732	Tue Mar 01 04:02:06 +0000 2011	4b3ee0daf964a520d8a225e3	{Norman Rose Tavern}	{38.297534410039674,-122.28871218446294,Napa,CA,United States}	{Food,}
1732	Tue Mar 01 04:02:06 +0000 2011	4b3ee0daf964a520d8a225e3	{Norman Rose Tavern}	{38.297534410039674,-122.28871218446294,Napa,CA,United States}	{Food,}
1732	Sat Feb 26 22:19:07 +0000 2011	4b66fc9df964a520aa332be3	{Napa Bowl}	{38.29224844104807,-122.277166009758,Napa,CA,United States}	{Arts & Entertainment,}
1732	Fri Feb 25 21:54:58 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Sat Feb 19 02:00:47 +0000 2011	4ac93c93f964a5204fbf20e3	{Azzurro Pizzeria e Enoteca}	{38.30122125145099,-122.28698449130675,Napa,CA,United States}	{Nightlife Spot,Food,}
1732	Thu Feb 17 16:09:16 +0000 2011	4d0785fb8620224bcf9cb840	{Newton's Law of Fitness Club}	{38.31805918361988,-122.30368434864404,Napa,CA,United States}	{College & University,}
1732	Thu Feb 17 04:15:02 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Thu Feb 17 02:04:10 +0000 2011	4cfe734e47699eb0cf0f1715	{H&R Block}	{38.324528,-122.289446,Napa,CA,United States}	{}
1732	Wed Feb 16 04:02:06 +0000 2011	4b3ee0daf964a520d8a225e3	{Norman Rose Tavern}	{38.297534410039674,-122.28871218446294,Napa,CA,United States}	{Food,}
1732	Wed Feb 16 02:25:47 +0000 2011	4b62fa88f964a520e95b2ae3	{La Salle Animal Park}	{38.278224,-122.290394,Napa,CA,United States}	{}
1732	Mon Jan 31 16:40:04 +0000 2011	4b3e5350f964a5204f9b25e3	{Emmy Lou's Diner}	{38.28110727834767,-122.29161929707337,Napa,CA,United States}	{Food,}
1732	Sat Jan 29 01:54:10 +0000 2011	4c4369c674ffc9284b2b74cc	{Morimoto Napa}	{38.297023159911795,-122.28341826666102,Napa,CA,United States}	{Food,}
