516	Wed Aug 10 22:59:48 +0000 2011	4c58b1f12fa89c741f5b1323	{San Clemente Beach Trail}	{33.42108134451109,-117.61986765415615,San Clemente,CA,United States}	{Outdoors & Recreation,Beach,}
516	Wed Jul 20 17:21:15 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Wed Jul 20 01:48:32 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Wed Jul 20 01:47:31 +0000 2011	4c8440d1d92ea09346f65b72	{Marblehead Park}	{33.451797125772806,-117.62163836440828,San Clemente,CA,United States}	{Outdoors & Recreation,Athletics & Sports,}
516	Mon Jul 18 03:09:45 +0000 2011	4b6b9fe7f964a5201f132ce3	{9 Style Sushi}	{33.42618227005005,-117.612411,San Clemente,CA,United States}	{Food,}
516	Wed Jul 13 00:14:05 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon Jul 11 00:03:10 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Thu Jun 30 22:51:26 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Wed Jun 29 05:30:26 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Sun Jun 26 07:39:53 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Fri Jun 24 17:42:49 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Thu Jun 23 16:33:01 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon Jun 20 15:07:46 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Sat Jun 18 20:39:57 +0000 2011	4ad241c1f964a52076e020e3	{Metrolink San Clemente Pier Station}	{33.41949627318349,-117.6197576522827,San Clemente,CA,United States}	{Travel & Transport,}
516	Sat Jun 18 16:24:59 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Fri Jun 17 13:49:47 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Thu Jun 16 17:28:58 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon Jun 13 05:02:41 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Thu Jun 09 19:53:05 +0000 2011	4d181a0b1356a0938eb8e082	{Leavens Beach House}	{34.318767,-119.385253,Ventura,CA,United States}	{Outdoors & Recreation,Beach,}
516	Thu Jun 09 17:48:45 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Wed Jun 08 14:53:07 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Wed Jun 08 14:53:06 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon Jun 06 12:23:56 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon Jun 06 06:01:59 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Sun Jun 05 01:54:48 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Sun Jun 05 01:54:48 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Sat Jun 04 04:42:59 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Thu Jun 02 16:48:13 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon May 30 00:19:17 +0000 2011	4bbfc71c74a9a593bd1ccff6	{The Fisherman's Restaurant and Bar}	{33.419514183053,-117.6202404499054,San Clemente,CA,United States}	{Nightlife Spot,Food,}
516	Thu May 26 01:24:21 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Thu May 19 13:03:56 +0000 2011	4c8d2aca5e38b1f7a5e337f9	{Bravo Troop 1/18th CAV}	{33.129910826683044,-117.08233952522278,Escondido,CA,United States}	{Professional & Other Places,}
516	Thu May 19 13:03:56 +0000 2011	4c8d2aca5e38b1f7a5e337f9	{Bravo Troop 1/18th CAV}	{33.129910826683044,-117.08233952522278,Escondido,CA,United States}	{Professional & Other Places,}
516	Sun May 15 23:57:04 +0000 2011	4a7a4f2ef964a5201de91fe3	{Riptide Sushi}	{33.56074373422427,-117.6710844039917,Mission Viejo,CA,United States}	{Food,}
516	Sun May 15 22:00:04 +0000 2011	4ca8001b76d3a09381df116b	{Dana Point Pier}	{33.462121444176624,-117.70638375919135,,,United States}	{Outdoors & Recreation,}
516	Sat May 07 01:56:48 +0000 2011	4b1bec27f964a5200cff23e3	{Proud Mary's}	{33.459347779397945,-117.69247770309448,Dana Point,CA,United States}	{Food,}
516	Wed May 04 22:35:05 +0000 2011	4ad241c1f964a52076e020e3	{Metrolink San Clemente Pier Station}	{33.41949627318349,-117.6197576522827,San Clemente,CA,United States}	{Travel & Transport,}
516	Sun May 01 17:18:28 +0000 2011	4ba66360f964a520f44c39e3	{Mariners Church - Mission Viejo}	{33.561790467182355,-117.6668918482279,Mission Viejo,CA,United States}	{Spiritual Center,Professional & Other Places,}
516	Sat Apr 30 03:56:46 +0000 2011	4bf585ba94b2a59391bcabee	{Rocco's}	{33.4284,-117.61323,San Clemente,CA,United States}	{Food,}
516	Fri Apr 29 02:47:07 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Tue Apr 26 00:51:33 +0000 2011	4ad241c1f964a52076e020e3	{Metrolink San Clemente Pier Station}	{33.41949627318349,-117.6197576522827,San Clemente,CA,United States}	{Travel & Transport,}
516	Mon Apr 25 23:33:26 +0000 2011	4bbfc71c74a9a593bd1ccff6	{The Fisherman's Restaurant and Bar}	{33.419514183053,-117.6202404499054,San Clemente,CA,United States}	{Nightlife Spot,Food,}
516	Sun Apr 24 19:58:18 +0000 2011	4b155044f964a5203db023e3	{Angel Stadium of Anaheim}	{33.80002327603627,-117.88301914930344,Anaheim,CA,United States}	{Stadium,Arts & Entertainment,}
516	Sat Apr 23 19:54:01 +0000 2011	4bcb42a0b6c49c7451ca9191	{Doheny Village Hand Car Wash}	{33.465616,-117.67853021621704,Capistrano Beach,CA,United States}	{Shop & Service,}
516	Sat Apr 23 02:50:52 +0000 2011	4ab94abff964a520cd7e20e3	{Fratello's Italian Family Restaurant}	{33.45819588,-117.6533442735672,San Clemente,CA,United States}	{Food,}
516	Sat Apr 23 00:34:14 +0000 2011	4ba66360f964a520f44c39e3	{Mariners Church - Mission Viejo}	{33.561790467182355,-117.6668918482279,Mission Viejo,CA,United States}	{Spiritual Center,Professional & Other Places,}
516	Tue Apr 19 00:12:03 +0000 2011	4ad241c1f964a52076e020e3	{Metrolink San Clemente Pier Station}	{33.41949627318349,-117.6197576522827,San Clemente,CA,United States}	{Travel & Transport,}
516	Mon Apr 18 19:43:08 +0000 2011	4b8ffefaf964a520f06e33e3	{San Clemente DMV Office}	{33.44295716473304,-117.64252461614898,San Clemente,CA,United States}	{Professional & Other Places,}
516	Sat Apr 16 21:13:13 +0000 2011	4ad241c1f964a52076e020e3	{Metrolink San Clemente Pier Station}	{33.41949627318349,-117.6197576522827,San Clemente,CA,United States}	{Travel & Transport,}
516	Fri Apr 15 14:37:56 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Thu Apr 14 04:39:43 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Wed Apr 13 03:23:20 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Sun Apr 10 18:09:10 +0000 2011	4ba66360f964a520f44c39e3	{Mariners Church - Mission Viejo}	{33.561790467182355,-117.6668918482279,Mission Viejo,CA,United States}	{Spiritual Center,Professional & Other Places,}
516	Fri Apr 08 17:38:43 +0000 2011	4c8d2aca5e38b1f7a5e337f9	{Bravo Troop 1/18th CAV}	{33.129910826683044,-117.08233952522278,Escondido,CA,United States}	{Professional & Other Places,}
516	Thu Apr 07 20:25:28 +0000 2011	4c3fbe9ee26920a1c3fa5be7	{La Cocina De Maria}	{33.130468,-117.08678,Escondido,CA,United States}	{Food,}
516	Thu Apr 07 18:25:26 +0000 2011	4c8d2aca5e38b1f7a5e337f9	{Bravo Troop 1/18th CAV}	{33.129910826683044,-117.08233952522278,Escondido,CA,United States}	{Professional & Other Places,}
516	Thu Apr 07 18:25:25 +0000 2011	4c8d2aca5e38b1f7a5e337f9	{Bravo Troop 1/18th CAV}	{33.129910826683044,-117.08233952522278,Escondido,CA,United States}	{Professional & Other Places,}
516	Wed Apr 06 20:35:47 +0000 2011	4beb034d6295c9b6932a8708	{Natraj Cuisine of India}	{33.6008286815066,-117.69342693221607,Laguna Hills,CA,United States}	{Food,}
516	Wed Apr 06 04:11:03 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Tue Apr 05 14:39:34 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon Apr 04 17:05:19 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon Apr 04 05:43:52 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon Apr 04 01:15:36 +0000 2011	4b560f25f964a5204cfe27e3	{Nick's San Clemente}	{33.425463575979826,-117.61557547541074,San Clemente,CA,United States}	{Food,}
516	Mon Apr 04 01:13:55 +0000 2011	4bbfc71c74a9a593bd1ccff6	{The Fisherman's Restaurant and Bar}	{33.419514183053,-117.6202404499054,San Clemente,CA,United States}	{Nightlife Spot,Food,}
516	Sun Apr 03 17:07:35 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Sun Apr 03 17:07:35 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Tue Mar 29 14:37:56 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Tue Mar 29 04:48:14 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon Mar 28 15:57:32 +0000 2011	4bcb42a0b6c49c7451ca9191	{Doheny Village Hand Car Wash}	{33.465616,-117.67853021621704,Capistrano Beach,CA,United States}	{Shop & Service,}
516	Mon Mar 28 14:49:51 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Sat Mar 26 15:25:14 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Sat Mar 26 06:05:43 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Fri Mar 25 16:37:16 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Fri Mar 25 01:05:29 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Thu Mar 24 14:28:24 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Wed Mar 23 14:26:55 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Wed Mar 23 04:55:28 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Tue Mar 22 16:35:34 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Tue Mar 22 05:13:46 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Tue Mar 22 02:09:48 +0000 2011	4be395602ff376b0155c4fed	{California Taste Fine Wine}	{33.54291453,-117.690746,Laguna Niguel,CA,United States}	{}
516	Mon Mar 21 13:28:47 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon Mar 21 03:15:07 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Sat Mar 19 22:05:44 +0000 2011	4d487a332165721eab7fc7d7	{Fitnees Elite For Men}	{33.458674,-117.652648,San Clemente,CA,United States}	{Shop & Service,Gym / Fitness Center,}
516	Sat Mar 19 22:05:44 +0000 2011	4d487a332165721eab7fc7d7	{Fitnees Elite For Men}	{33.458674,-117.652648,San Clemente,CA,United States}	{Shop & Service,Gym / Fitness Center,}
516	Fri Mar 18 01:11:28 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Tue Mar 15 21:34:20 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Tue Mar 15 02:11:13 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon Mar 14 00:09:34 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Sun Mar 13 19:18:17 +0000 2011	4b597de2f964a520028a28e3	{The Paintball Park At Camp Pendleton}	{33.235833895813435,-117.38662004470825,Oceanside,CA,United States}	{Outdoors & Recreation,}
516	Sun Mar 13 04:25:57 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Fri Mar 11 18:52:44 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Fri Mar 11 05:32:03 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Fri Mar 11 05:30:05 +0000 2011	4c5c9b92d25320a15ebdc37a	{Marblehead}	{33.44382152616037,-117.62160971227081,San Clemente,CA,United States}	{Residence,}
516	Fri Mar 11 03:16:38 +0000 2011	4bf585ba94b2a59391bcabee	{Rocco's}	{33.4284,-117.61323,San Clemente,CA,United States}	{Food,}
516	Thu Mar 10 15:55:38 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Wed Mar 09 17:45:32 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Wed Mar 09 06:39:04 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Tue Mar 08 05:57:48 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon Mar 07 14:46:29 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon Mar 07 14:46:29 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon Mar 07 04:46:01 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Sun Mar 06 18:54:34 +0000 2011	4b48cf43f964a520015826e3	{Rincon surf spot}	{34.37535750722784,-119.47464037921812,Carpinteria,CA,United States}	{}
516	Sun Mar 06 18:49:43 +0000 2011	4c360fc50a71c9b60b7b3cc9	{Lynda.com HQ}	{34.38525091138235,-119.48458955184952,Carpinteria,CA,United States}	{Office,Professional & Other Places,}
516	Sun Mar 06 18:45:01 +0000 2011	4bde10a50ee3a593e3d52fb0	{Santa Barbara}	{34.420150865879094,-119.69776153564453,Santa Barbara,CA,United States}	{Travel & Transport,Outdoors & Recreation,Hotel,}
516	Sat Mar 05 16:16:15 +0000 2011	4ac7ea53f964a52094ba20e3	{Camp San Luis Obispo}	{35.32428195173091,-120.72897434234619,San Luis Obispo,CA,United States}	{Professional & Other Places,}
516	Fri Mar 04 23:25:11 +0000 2011	4ac7ea53f964a52094ba20e3	{Camp San Luis Obispo}	{35.32428195173091,-120.72897434234619,San Luis Obispo,CA,United States}	{Professional & Other Places,}
516	Fri Mar 04 07:34:28 +0000 2011	4d20fd255c4ca1cd1ff0a53d	{Devani's LuvShak}	{36.036002967185574,-115.26597771559624,Las Vegas,NV,United States}	{Residence,}
516	Fri Mar 04 07:33:03 +0000 2011	4a60fb75f964a5209dc11fe3	{Playboy Mansion}	{34.076491,-118.429598,Los Angeles,CA,United States}	{Arts & Entertainment,}
516	Fri Mar 04 07:29:22 +0000 2011	4c8ad0bf1eafb1f7d5027e35	{LA's Home}	{35.027509859421194,-80.8377788738132,Charlotte,NC,United States}	{Residence,}
516	Fri Mar 04 06:24:39 +0000 2011	4ac7ea53f964a52094ba20e3	{Camp San Luis Obispo}	{35.32428195173091,-120.72897434234619,San Luis Obispo,CA,United States}	{Professional & Other Places,}
516	Fri Mar 04 01:38:28 +0000 2011	4ac7ea53f964a52094ba20e3	{Camp San Luis Obispo}	{35.32428195173091,-120.72897434234619,San Luis Obispo,CA,United States}	{Professional & Other Places,}
516	Thu Mar 03 02:21:34 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Wed Mar 02 05:49:45 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Tue Mar 01 23:47:03 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Tue Mar 01 14:11:52 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Tue Mar 01 05:20:33 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon Feb 28 06:48:32 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon Feb 28 05:17:35 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Sun Feb 27 19:13:09 +0000 2011	4ba66360f964a520f44c39e3	{Mariners Church - Mission Viejo}	{33.561790467182355,-117.6668918482279,Mission Viejo,CA,United States}	{Spiritual Center,Professional & Other Places,}
516	Sun Feb 27 18:09:16 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Sun Feb 27 18:09:16 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Sun Feb 27 08:13:53 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Sun Feb 27 07:55:25 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Sat Feb 26 03:49:56 +0000 2011	4b9805ebf964a520d32635e3	{Massage Envy}	{33.45798976523145,-117.6526546177847,San Clemente,CA,United States}	{}
516	Fri Feb 25 15:29:44 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Fri Feb 25 15:29:44 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Wed Feb 23 15:24:32 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Tue Feb 22 23:23:03 +0000 2011	4d487a332165721eab7fc7d7	{Fitnees Elite For Men}	{33.458674,-117.652648,San Clemente,CA,United States}	{Shop & Service,Gym / Fitness Center,}
516	Tue Feb 22 18:30:13 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Tue Feb 22 02:41:24 +0000 2011	4c8eedb91664b1f743a7a42f	{Enne Cucina Italiana}	{33.46351652522114,-117.59827315807343,San Clemente,CA,United States}	{Food,}
516	Tue Feb 22 02:32:33 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Sun Feb 20 23:28:16 +0000 2011	4bbfc71c74a9a593bd1ccff6	{The Fisherman's Restaurant and Bar}	{33.419514183053,-117.6202404499054,San Clemente,CA,United States}	{Nightlife Spot,Food,}
516	Sun Feb 20 19:48:53 +0000 2011	4ba66360f964a520f44c39e3	{Mariners Church - Mission Viejo}	{33.561790467182355,-117.6668918482279,Mission Viejo,CA,United States}	{Spiritual Center,Professional & Other Places,}
516	Sat Feb 19 20:57:45 +0000 2011	4d487a332165721eab7fc7d7	{Fitnees Elite For Men}	{33.458674,-117.652648,San Clemente,CA,United States}	{Shop & Service,Gym / Fitness Center,}
516	Fri Feb 18 23:35:46 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Thu Feb 17 02:31:26 +0000 2011	4b5dc54ff964a520cb6a29e3	{the shore}	{33.44833711100234,-117.62931125049892,San clemente,CA,United States}	{Food,}
516	Tue Feb 15 15:46:09 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon Feb 14 16:03:38 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
516	Mon Feb 14 16:03:38 +0000 2011	4ba42403f964a520a38538e3	{Talega of San Clemente}	{33.46817581359485,-117.60240893969846,San Clemente,CA,United States}	{Residence,}
