3104	Sat May 14 15:53:11 +0000 2011	4b76d702f964a52027632ee3	{Island Packers}	{34.2443134951612,-119.26533,Ventura,CA,United States}	{Travel & Transport,}
3104	Fri Feb 18 05:09:18 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Fri Feb 18 05:00:52 +0000 2011	4a0f611cf964a5205c761fe3	{Weiland Brewery}	{34.04868146008334,-118.23889464139938,Los Angeles,CA,United States}	{Nightlife Spot,}
3104	Thu Feb 17 17:14:42 +0000 2011	4b758cfff964a5208a132ee3	{Apparel Mart Building}	{34.041653966666665,-118.25575673333333,Los Angeles,CA,United States}	{Professional & Other Places,}
3104	Thu Feb 17 17:14:32 +0000 2011	4bae13e3f964a52092813be3	{Joe's Auto Park}	{34.041705,-118.255632,Los Angeles,CA,United States}	{Professional & Other Places,}
3104	Thu Feb 17 16:08:07 +0000 2011	4c8bbdc2ec61bfb734749d41	{Saslow Dog Park}	{34.04283821582794,-118.23443949222565,Los Angeles,CA,United States}	{Outdoors & Recreation,}
3104	Thu Feb 17 16:07:55 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Thu Feb 17 16:07:47 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Wed Feb 16 16:23:57 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Wed Feb 16 16:23:49 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Wed Feb 16 16:23:41 +0000 2011	4a33da8ef964a520559b1fe3	{Urth Caff?}	{34.04194415861958,-118.23521347103639,Los Angeles,CA,United States}	{Food,}
3104	Wed Feb 16 04:43:17 +0000 2011	4c8bbdc2ec61bfb734749d41	{Saslow Dog Park}	{34.04283821582794,-118.23443949222565,Los Angeles,CA,United States}	{Outdoors & Recreation,}
3104	Wed Feb 16 04:31:59 +0000 2011	4ad95092f964a520bc1921e3	{Pinkberry}	{34.04876591036268,-118.24090898036957,Los Angeles,CA,United States}	{Food,}
3104	Tue Feb 15 17:02:47 +0000 2011	4a33da8ef964a520559b1fe3	{Urth Caff?}	{34.04194415861958,-118.23521347103639,Los Angeles,CA,United States}	{Food,}
3104	Tue Feb 15 17:02:44 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Tue Feb 15 17:02:42 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Mon Feb 14 15:53:13 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Mon Feb 14 15:53:02 +0000 2011	4a33da8ef964a520559b1fe3	{Urth Caff?}	{34.04194415861958,-118.23521347103639,Los Angeles,CA,United States}	{Food,}
3104	Mon Feb 14 15:52:54 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Sun Feb 13 21:16:20 +0000 2011	4a33da8ef964a520559b1fe3	{Urth Caff?}	{34.04194415861958,-118.23521347103639,Los Angeles,CA,United States}	{Food,}
3104	Sun Feb 13 21:16:11 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Sun Feb 13 18:36:49 +0000 2011	40ec8e80f964a5202a0a1fe3	{The Standard, Downtown LA}	{34.04978277912779,-118.25658240427495,Los Angeles,CA,United States}	{Nightlife Spot,Travel & Transport,}
3104	Sun Feb 13 04:18:41 +0000 2011	4b01d11df964a520af4522e3	{Cafe Pinot}	{34.05110243858885,-118.25599425178743,Los Angeles,CA,United States}	{Food,Arts & Entertainment,}
3104	Sat Feb 12 23:36:51 +0000 2011	42ec1480f964a520a6261fe3	{Rooftop Bar at The Standard, Downtown LA}	{34.05008154595746,-118.25685739517212,Los Angeles,CA,United States}	{Nightlife Spot,}
3104	Sat Feb 12 23:19:25 +0000 2011	40ec8e80f964a5202a0a1fe3	{The Standard, Downtown LA}	{34.04978277912779,-118.25658240427495,Los Angeles,CA,United States}	{Nightlife Spot,Travel & Transport,}
3104	Sat Feb 12 19:30:38 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Sat Feb 12 19:30:38 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Sat Feb 12 19:30:29 +0000 2011	4a33da8ef964a520559b1fe3	{Urth Caff?}	{34.04194415861958,-118.23521347103639,Los Angeles,CA,United States}	{Food,}
3104	Fri Feb 11 17:59:15 +0000 2011	4b758cfff964a5208a132ee3	{Apparel Mart Building}	{34.041653966666665,-118.25575673333333,Los Angeles,CA,United States}	{Professional & Other Places,}
3104	Fri Feb 11 17:59:06 +0000 2011	4bae13e3f964a52092813be3	{Joe's Auto Park}	{34.041705,-118.255632,Los Angeles,CA,United States}	{Professional & Other Places,}
3104	Fri Feb 11 16:42:29 +0000 2011	4a33da8ef964a520559b1fe3	{Urth Caff?}	{34.04194415861958,-118.23521347103639,Los Angeles,CA,United States}	{Food,}
3104	Fri Feb 11 16:42:19 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Fri Feb 11 00:41:07 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Fri Feb 11 00:40:58 +0000 2011	4a33da8ef964a520559b1fe3	{Urth Caff?}	{34.04194415861958,-118.23521347103639,Los Angeles,CA,United States}	{Food,}
3104	Thu Feb 10 22:46:14 +0000 2011	4b758cfff964a5208a132ee3	{Apparel Mart Building}	{34.041653966666665,-118.25575673333333,Los Angeles,CA,United States}	{Professional & Other Places,}
3104	Thu Feb 10 22:46:03 +0000 2011	4bae13e3f964a52092813be3	{Joe's Auto Park}	{34.041705,-118.255632,Los Angeles,CA,United States}	{Professional & Other Places,}
3104	Thu Feb 10 16:16:15 +0000 2011	4a33da8ef964a520559b1fe3	{Urth Caff?}	{34.04194415861958,-118.23521347103639,Los Angeles,CA,United States}	{Food,}
3104	Thu Feb 10 16:15:59 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Wed Feb 09 16:29:49 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Wed Feb 09 16:29:33 +0000 2011	4a33da8ef964a520559b1fe3	{Urth Caff?}	{34.04194415861958,-118.23521347103639,Los Angeles,CA,United States}	{Food,}
3104	Wed Feb 09 16:29:33 +0000 2011	4a33da8ef964a520559b1fe3	{Urth Caff?}	{34.04194415861958,-118.23521347103639,Los Angeles,CA,United States}	{Food,}
3104	Wed Feb 09 02:31:12 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Tue Feb 08 17:10:29 +0000 2011	4a33da8ef964a520559b1fe3	{Urth Caff?}	{34.04194415861958,-118.23521347103639,Los Angeles,CA,United States}	{Food,}
3104	Tue Feb 08 15:55:54 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Tue Feb 08 01:13:55 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Mon Feb 07 22:56:14 +0000 2011	4c812c8d47cc224b669a799f	{Hart productions}	{34.197345,-118.382332,North Hollywood,CA,United States}	{Professional & Other Places,}
3104	Mon Feb 07 17:07:41 +0000 2011	4a33da8ef964a520559b1fe3	{Urth Caff?}	{34.04194415861958,-118.23521347103639,Los Angeles,CA,United States}	{Food,}
3104	Mon Feb 07 15:56:57 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Mon Feb 07 04:45:27 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Sun Feb 06 16:54:09 +0000 2011	4a33da8ef964a520559b1fe3	{Urth Caff?}	{34.04194415861958,-118.23521347103639,Los Angeles,CA,United States}	{Food,}
3104	Sun Feb 06 16:18:37 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Sun Feb 06 05:40:03 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Sat Feb 05 23:56:20 +0000 2011	4ad95092f964a520bc1921e3	{Pinkberry}	{34.04876591036268,-118.24090898036957,Los Angeles,CA,United States}	{Food,}
3104	Sat Feb 05 22:19:57 +0000 2011	4c44f2d659d99c7492f7fbad	{Swill Automatic}	{34.03566177692759,-118.23336124420166,Los Angeles,CA,United States}	{}
3104	Sat Feb 05 19:07:28 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Sat Feb 05 17:33:42 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Sat Feb 05 07:22:17 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Sat Feb 05 06:01:33 +0000 2011	4ac6b90ff964a52006b620e3	{Umami Burger}	{34.10061138113151,-118.29054594039917,Los Angeles,CA,United States}	{Food,}
3104	Sat Feb 05 01:26:57 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Fri Feb 04 17:01:34 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Fri Feb 04 06:17:32 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Thu Feb 03 21:00:23 +0000 2011	4d4b1752b5df236a2027b7df	{Bluebird Showroom}	{34.040807,-118.253448,,,United States}	{Shop & Service,Clothing Store,}
3104	Thu Feb 03 19:49:16 +0000 2011	4ba15932f964a52014af37e3	{Cooper Design Space}	{34.0407827647928,-118.25357437133789,Los Angeles,CA,United States}	{Office,Professional & Other Places,}
3104	Thu Feb 03 15:58:24 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Thu Feb 03 02:13:50 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Wed Feb 02 21:25:41 +0000 2011	4b758cfff964a5208a132ee3	{Apparel Mart Building}	{34.041653966666665,-118.25575673333333,Los Angeles,CA,United States}	{Professional & Other Places,}
3104	Wed Feb 02 11:32:49 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Wed Feb 02 06:00:27 +0000 2011	4d3da78a3ec9a35d145a5381	{The Number 502}	{34.041803,-118.234721,,,United States}	{}
3104	Wed Feb 02 06:00:16 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Wed Feb 02 04:47:50 +0000 2011	4c107a76f1b6a5931c0a7c27	{Mignon Wine And Cheese Bar}	{34.044839,-118.249341,Los Angeles,CA,United States}	{Food,}
3104	Wed Feb 02 02:56:37 +0000 2011	4b685934f964a52018732be3	{9100 Wilshire}	{34.066919056180346,-118.39018301973152,Beverly Hills,CA,United States}	{Professional & Other Places,}
3104	Wed Feb 02 02:56:27 +0000 2011	3fd66200f964a520d0ee1ee3	{Kate Mantilini}	{34.06726293886176,-118.39003443717957,Beverly Hills,CA,United States}	{Food,}
3104	Wed Feb 02 02:56:27 +0000 2011	3fd66200f964a520d0ee1ee3	{Kate Mantilini}	{34.06726293886176,-118.39003443717957,Beverly Hills,CA,United States}	{Food,}
3104	Wed Feb 02 02:50:27 +0000 2011	4be2470cd27a20a117688f5b	{Mobile Gas - Wilshire}	{34.065883,-118.378262,Beverly Hills,CA,United States}	{Shop & Service,}
3104	Wed Feb 02 01:56:06 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Tue Feb 01 17:12:41 +0000 2011	4b758cfff964a5208a132ee3	{Apparel Mart Building}	{34.041653966666665,-118.25575673333333,Los Angeles,CA,United States}	{Professional & Other Places,}
3104	Tue Feb 01 17:12:34 +0000 2011	4bae13e3f964a52092813be3	{Joe's Auto Park}	{34.041705,-118.255632,Los Angeles,CA,United States}	{Professional & Other Places,}
3104	Tue Feb 01 16:36:32 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Tue Feb 01 05:43:07 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
3104	Tue Feb 01 03:21:29 +0000 2011	49f65067f964a520306c1fe3	{Barker Block Lofts}	{34.04446515782708,-118.2351192408205,Los Angeles,CA,United States}	{Shop & Service,Gym / Fitness Center,Residence,}
