1984	Sun Jul 31 04:39:36 +0000 2011	4b32ce75f964a520451425e3	{25 Kitchen & Bar}	{42.962570427065934,-85.67253202199936,Grand Rapids,MI,United States}	{Nightlife Spot,Food,}
1984	Thu May 13 06:11:56 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Thu May 06 23:52:17 +0000 2010	4b7090a0f964a52060222de3	{Shoop's European Deli}	{34.091193754219255,-118.36326599121094,West Hollywood,CA,United States}	{Food,}
1984	Thu May 06 06:00:27 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Sun Apr 25 05:20:34 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Sat Apr 24 03:29:05 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Fri Apr 23 01:44:50 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Thu Apr 22 03:33:25 +0000 2010	4b7090a0f964a52060222de3	{Shoop's European Deli}	{34.091193754219255,-118.36326599121094,West Hollywood,CA,United States}	{Food,}
1984	Thu Apr 22 03:32:03 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Tue Apr 20 03:49:43 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Sat Apr 17 18:52:28 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Fri Apr 16 00:02:07 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Thu Apr 15 03:21:10 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Tue Apr 13 18:55:53 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Tue Apr 13 04:57:36 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Mon Apr 12 05:04:30 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Mon Apr 12 05:04:30 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Sun Apr 11 02:17:44 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Sat Apr 10 00:51:41 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
1984	Fri Apr 09 07:29:22 +0000 2010	49d52582f964a520715c1fe3	{Baby Blues BBQ}	{34.090945,-118.363134,West Hollywood,CA,United States}	{Nightlife Spot,Food,}
