2751	Fri Mar 18 20:11:56 +0000 2011	4b6c660ef964a520d3362ce3	{Roxbury Cafe}	{34.068264,-118.406918,Beverly Hills,CA,United States}	{Food,}
2751	Wed Sep 15 14:45:32 +0000 2010	4c54f334479fc928c4fff893	{Greg and Melissa}	{33.819782529246645,-118.10641562097527,Long beach,CA,United States}	{Residence,}
2751	Tue Sep 14 21:30:08 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Mon Sep 13 21:38:12 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Sat Sep 11 02:16:47 +0000 2010	4bca5b67511f952183b5afc7	{Stater Bros}	{33.81112287229017,-118.10618987176882,Long Beach,CA,United States}	{Shop & Service,Food & Drink Shop,}
2751	Fri Sep 10 18:04:19 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Fri Sep 10 18:04:18 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Thu Sep 09 20:52:09 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Thu Sep 09 16:51:43 +0000 2010	4b3009e0f964a520e3f424e3	{World Trade Center}	{33.76758584580714,-118.20013913045484,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Mon Sep 06 20:28:38 +0000 2010	43052100f964a52020271fe3	{Del Mar Racetrack}	{32.97345991420324,-117.26214408874512,Del Mar,CA,United States}	{Food,Arts & Entertainment,}
2751	Fri Aug 20 02:33:09 +0000 2010	4b817a4ff964a520d2a830e3	{Eastgate Park}	{33.7883855367966,-118.03433060646057,Garden Grove,CA,United States}	{Outdoors & Recreation,}
2751	Fri Aug 20 00:46:41 +0000 2010	4c0954e87e3fc928f3caf182	{Pittsburgh Broasted Chicken & Subs}	{33.803261767854956,-118.06881710886955,Los Alamitos,CA,United States}	{Food,}
2751	Fri Aug 20 00:46:41 +0000 2010	4c0954e87e3fc928f3caf182	{Pittsburgh Broasted Chicken & Subs}	{33.803261767854956,-118.06881710886955,Los Alamitos,CA,United States}	{Food,}
2751	Thu Aug 19 20:00:43 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Thu Aug 19 19:44:32 +0000 2010	4c7c09a0df08a1cd7f44e25d	{Del Taco}	{33.83217987552095,-118.16586345434189,Long Beach,CA,United States}	{Food,}
2751	Wed Aug 18 18:18:10 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Wed Aug 18 00:13:50 +0000 2010	4c54f334479fc928c4fff893	{Greg and Melissa}	{33.819782529246645,-118.10641562097527,Long beach,CA,United States}	{Residence,}
2751	Tue Aug 17 15:00:06 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Mon Aug 16 18:35:39 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Sat Aug 14 02:18:54 +0000 2010	4c54f334479fc928c4fff893	{Greg and Melissa}	{33.819782529246645,-118.10641562097527,Long beach,CA,United States}	{Residence,}
2751	Tue Aug 10 14:51:00 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Mon Aug 09 15:21:08 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Sat Aug 07 23:00:45 +0000 2010	4b68e690f964a52044922be3	{Marri's Pizza}	{33.79519060255938,-118.10724717566708,Long Beach,CA,United States}	{Food,}
2751	Thu Aug 05 19:19:42 +0000 2010	4b672b32f964a5201e3f2be3	{Big Boy Restaurant}	{33.804144304510544,-118.1688226451812,Signal Hill,CA,United States}	{Food,}
2751	Thu Aug 05 15:31:37 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Thu Aug 05 01:11:58 +0000 2010	4b5f6617f964a52017b829e3	{Pick Up Stix}	{33.7578445393907,-118.108653,Long Beach,CA,United States}	{Food,}
2751	Wed Aug 04 14:38:39 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Tue Aug 03 17:17:48 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Tue Aug 03 17:13:55 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Mon Aug 02 20:51:45 +0000 2010	4c54f334479fc928c4fff893	{Greg and Melissa}	{33.819782529246645,-118.10641562097527,Long beach,CA,United States}	{Residence,}
2751	Mon Aug 02 20:51:44 +0000 2010	4c54f334479fc928c4fff893	{Greg and Melissa}	{33.819782529246645,-118.10641562097527,Long beach,CA,United States}	{Residence,}
2751	Mon Aug 02 19:36:55 +0000 2010	4c0b2126340720a114c48793	{SuperMex}	{33.81131623252666,-118.10680389404297,Long Beach,CA,United States}	{Food,}
2751	Sun Aug 01 04:08:21 +0000 2010	4c54f334479fc928c4fff893	{Greg and Melissa}	{33.819782529246645,-118.10641562097527,Long beach,CA,United States}	{Residence,}
2751	Sat Jul 31 02:20:31 +0000 2010	4bf488fde5eba5936ad31f90	{Rite Aid}	{33.80977032185334,-118.10759008366779,Long Beach,CA,United States}	{Shop & Service,}
2751	Fri Jul 30 20:39:06 +0000 2010	452fab14f964a5205a3b1fe3	{Olive Garden}	{33.89514,-118.39515209197998,Manhattan Beach,CA,United States}	{Food,}
2751	Fri Jul 30 19:18:39 +0000 2010	4c50c72f0ef3a593592ee27a	{Inglewood Park Cemetery}	{33.96601769137931,-118.33904027938843,Inglewood,CA,United States}	{Outdoors & Recreation,}
2751	Thu Jul 29 15:24:30 +0000 2010	4c3f4ebfaf052d7f31237a79	{Long Beach Water Department}	{33.81834042606261,-118.16946029663086,Long Beach,CA,United States}	{Professional & Other Places,}
2751	Tue Jul 27 01:28:51 +0000 2010	4b2c5640f964a520fdc524e3	{La Strada Italiano}	{33.76167231890173,-118.13835190823431,Long Beach,CA,United States}	{Food,}
2751	Mon Jul 26 00:46:56 +0000 2010	4bd0fcdc77b29c7482fd8b82	{Super Mex}	{33.81122038612008,-118.10697856393061,Long Beach,CA,United States}	{Food,}
2751	Mon Jul 26 00:13:25 +0000 2010	4bca5b67511f952183b5afc7	{Stater Bros}	{33.81112287229017,-118.10618987176882,Long Beach,CA,United States}	{Shop & Service,Food & Drink Shop,}
2751	Sat Jul 24 20:43:30 +0000 2010	4c4b32bf46240f47d29401f3	{Long Beach Food Festival}	{33.762848,-118.187868,Long Beach,CA,United States}	{Arts & Entertainment,}
