1094	Sat May 28 21:04:37 +0000 2011	4de1633b18385df2b00a2373	{Bear Gallery}	{64.838418,-147.773841,Fairbanks,AK,United States}	{Arts & Entertainment,}
1094	Wed Apr 27 06:32:51 +0000 2011	4d58a811d1a08cfa025213ba	{Castle Mode}	{34.098607413120824,-118.22342287072155,Los Angeles,CA,United States}	{Residence,}
1094	Wed Apr 27 03:34:41 +0000 2011	3fd66200f964a520e4ee1ee3	{El Conquistador}	{34.090740615560165,-118.2778000831604,Los Angeles,CA,United States}	{Food,}
1094	Wed Apr 27 00:59:36 +0000 2011	4c1032ff6b7e2d7f9b4f2735	{Bar Covell}	{34.10004,-118.290173,Los Angeles,CA,United States}	{Nightlife Spot,}
1094	Tue Apr 26 21:10:13 +0000 2011	4a3ae617f964a52067a01fe3	{Citadel Outlets}	{34.00654806750311,-118.15277695655823,Commerce,CA,United States}	{Outdoors & Recreation,Shop & Service,Food & Drink Shop,}
1094	Tue Apr 26 01:33:04 +0000 2011	4ce18b53825e721e274c7c45	{KPCC broadcast Center}	{34.145749973656976,-118.15004260692092,Pasadena,CA,United States}	{Professional & Other Places,}
1094	Tue Apr 26 00:18:16 +0000 2011	43ee0ffef964a5205e2f1fe3	{Astro Family Restaurant}	{34.1045233,-118.25876771666667,Los Angeles,CA,United States}	{Food,}
1094	Mon Apr 25 21:43:57 +0000 2011	4a7b3910f964a5205fea1fe3	{Cypress Park Community Center}	{34.092729,-118.225504,Los Angeles,CA,United States}	{}
1094	Mon Apr 25 05:05:55 +0000 2011	4c6f114634443704e5f81f5f	{City of Compton}	{33.91398311562303,-118.2461929321289,Compton,CA,United States}	{Outdoors & Recreation,}
1094	Mon Apr 25 01:53:00 +0000 2011	4b6720dcf964a5208a3c2be3	{La Sierra University}	{33.911615373580545,-117.49976475131164,Riverside,CA,United States}	{College & University,}
1094	Mon Apr 25 00:38:13 +0000 2011	4b8af367f964a520de8a32e3	{Stater Bros}	{33.91613959041301,-117.48732138725158,Riverside,CA,United States}	{Shop & Service,Food & Drink Shop,}
1094	Sun Apr 24 03:21:02 +0000 2011	4c6f114634443704e5f81f5f	{City of Compton}	{33.91398311562303,-118.2461929321289,Compton,CA,United States}	{Outdoors & Recreation,}
1094	Sat Apr 23 19:17:16 +0000 2011	4b75bae8f964a5205d202ee3	{Panda Express}	{33.94531804168805,-118.36491823196411,Inglewood,CA,United States}	{Food,}
1094	Fri Apr 22 15:40:18 +0000 2011	4c9f7749542b224b8586fd9f	{Knotts Berry Farm - Phone Room}	{33.86521451592219,-118.02281429743026,buena park,CA,United States}	{Arts & Entertainment,}
1094	Fri Apr 22 02:00:19 +0000 2011	4aadba50f964a520596120e3	{Mickey & Friends Parking Structure}	{33.81481057349054,-117.92484283447264,Anaheim,CA,United States}	{Arts & Entertainment,Professional & Other Places,}
1094	Thu Apr 21 03:48:09 +0000 2011	4aae825cf964a5204c6220e3	{Long Beach Convention Center}	{33.76427582964914,-118.19072377691555,Long Beach,CA,United States}	{Arts & Entertainment,Convention Center,Professional & Other Places,}
1094	Sun Apr 17 16:47:36 +0000 2011	4b744b13f964a52023d32de3	{Denny's}	{33.94575889554875,-118.37764140793537,Los Angeles,CA,United States}	{Food,}
1094	Sun Apr 17 02:23:13 +0000 2011	49ea58f7f964a52055661fe3	{Truxtons American Bistro}	{33.95937191520039,-118.39367487584572,Los Angeles,CA,United States}	{Food,Convention Center,Professional & Other Places,}
1094	Sun Apr 17 00:18:34 +0000 2011	439ec330f964a520102c1fe3	{Los Angeles International Airport (LAX)}	{33.94389397698472,-118.40502262115479,Los Angeles,CA,United States}	{Travel & Transport,}
1094	Sat Apr 16 20:06:58 +0000 2011	45f555cef964a5200e441fe3	{Seattle-Tacoma International Airport (SEA)}	{47.44364658280913,-122.30259418487549,Seatac,WA,United States}	{Travel & Transport,}
1094	Sat Apr 16 15:56:12 +0000 2011	4b44e630f964a52078ff25e3	{Fairbanks International Airport (FAI)}	{64.81783955113315,-147.86782264709473,Fairbanks,AK,United States}	{Travel & Transport,Spiritual Center,Professional & Other Places,}
1094	Thu Apr 14 23:07:24 +0000 2011	4d8beb4ed49f37049a29318a	{Splash n Dash}	{64.83794299230082,-147.81090308398677,Fairbanks,AK,United States}	{Shop & Service,}
1094	Thu Apr 14 16:31:16 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Thu Apr 14 04:25:59 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Wed Apr 13 16:23:22 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Wed Apr 13 05:01:43 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Tue Apr 12 17:26:20 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Tue Apr 12 05:14:39 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Mon Apr 11 20:21:11 +0000 2011	4b52158df964a520906627e3	{Fred Meyer}	{64.85410214244622,-147.69046621926958,Fairbanks,AK,United States}	{Nightlife Spot,Shop & Service,Food & Drink Shop,}
1094	Mon Apr 11 19:57:42 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Mon Apr 11 14:53:04 +0000 2011	4c64146486b6be9ac6109034	{Hamme Swimming Pool}	{64.836123,-147.735532,Fairbanks,AK,United States}	{Outdoors & Recreation,}
1094	Sun Apr 10 18:24:12 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Sat Apr 09 19:14:02 +0000 2011	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Sat Apr 09 05:23:21 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Sat Apr 09 03:03:40 +0000 2011	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Fri Apr 08 16:43:17 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Fri Apr 08 04:56:35 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Thu Apr 07 17:44:02 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Thu Apr 07 05:34:44 +0000 2011	4cc3d289306e224becb7996c	{The Cabin}	{64.9016933154827,-147.75719536416668,Fairbanks,AK,United States}	{Arts & Entertainment,}
1094	Thu Apr 07 04:22:22 +0000 2011	4b899d16f964a520444632e3	{McDonald's}	{64.859285,-147.697178,Fairbanks,AK,United States}	{Food,}
1094	Thu Apr 07 02:43:17 +0000 2011	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Thu Apr 07 02:41:10 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Wed Apr 06 19:01:49 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Wed Apr 06 02:24:37 +0000 2011	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Wed Apr 06 02:24:31 +0000 2011	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Tue Apr 05 22:55:03 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Tue Apr 05 20:00:31 +0000 2011	4bf352f4e5eba593ac7d1e90	{Denny's}	{64.83631165015157,-147.75995263249786,Fairbanks,AK,United States}	{Food,}
1094	Thu Mar 31 00:16:01 +0000 2011	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Tue Mar 29 22:40:50 +0000 2011	4c759c48ff1fb60cffbef6a7	{Division Of Motor Vehicles}	{64.83235273731937,-147.7772077160841,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Tue Mar 29 17:23:41 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Tue Mar 29 03:22:07 +0000 2011	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Wed Mar 23 16:37:20 +0000 2011	4d8a2198f607a093f2a9f886	{Espresso Yourself}	{64.859465,-147.734759,,,United States}	{}
1094	Wed Mar 23 01:38:47 +0000 2011	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Sat Mar 19 22:31:46 +0000 2011	4d852ebee83fa143ae1975a1	{Stanley Nissan}	{64.82281867990287,-147.71319862630827,Fairbanks,AK,United States}	{Shop & Service,}
1094	Wed Mar 16 20:28:30 +0000 2011	4c0c75ffd64c0f47d753255d	{Taco King}	{64.84781,-147.70667552947998,Fairbanks,AK,United States}	{Food,}
1094	Tue Mar 15 16:48:17 +0000 2011	4c51b1ab250dd13a1c61ab7d	{Espresso Yourself}	{64.85273378007909,-147.68860700692662,Fairbanks,AK,United States}	{Food,}
1094	Tue Mar 15 02:32:02 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Mon Mar 14 23:45:46 +0000 2011	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Fri Mar 11 19:58:22 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
===
1094	Wed Jan 19 03:59:29 +0000 2011	4bd707024e32d13a0085c380	{Westmark Fairbanks Hotel & Conference Center}	{64.83997400476585,-147.71274412766698,Fairbanks,AK,United States}	{Nightlife Spot,Travel & Transport,}
1094	Sat Jan 15 21:58:33 +0000 2011	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Sat Jan 15 00:01:04 +0000 2011	4bc4abc5b492d13a4b5eaa60	{University Of Alaska Fairbanks}	{64.85718485322934,-147.82159196917195,Fairbanks,AK,United States}	{College & University,}
1094	Fri Jan 14 17:11:51 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Thu Jan 13 17:54:52 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Wed Jan 12 03:42:02 +0000 2011	4b6e2d60f964a520d9af2ce3	{Comic Shop}	{64.846913,-147.698617,Fairbanks,AK,United States}	{Shop & Service,}
1094	Wed Jan 12 03:41:56 +0000 2011	4b6e2d60f964a520d9af2ce3	{Comic Shop}	{64.846913,-147.698617,Fairbanks,AK,United States}	{Shop & Service,}
1094	Sat Jan 08 04:55:07 +0000 2011	4b5bc7bef964a520cf1529e3	{Carlson Center}	{64.84158154889464,-147.76391640527274,Fairbanks,AK,United States}	{College & University,Arts & Entertainment,}
1094	Thu Jan 06 17:28:38 +0000 2011	4c51b1ab250dd13a1c61ab7d	{Espresso Yourself}	{64.85273378007909,-147.68860700692662,Fairbanks,AK,United States}	{Food,}
1094	Mon Jan 03 17:42:41 +0000 2011	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Sun Jan 02 21:52:44 +0000 2011	4b52158df964a520906627e3	{Fred Meyer}	{64.85410214244622,-147.69046621926958,Fairbanks,AK,United States}	{Nightlife Spot,Shop & Service,Food & Drink Shop,}
1094	Sun Jan 02 21:11:24 +0000 2011	4bd7873188559521d2d387a7	{Sam's Club}	{64.85271851,-147.7081761,Fairbanks,AK,United States}	{Shop & Service,Food & Drink Shop,}
1094	Sat Jan 01 22:36:49 +0000 2011	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Fri Dec 31 05:46:18 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Thu Dec 30 08:51:30 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Thu Dec 30 03:53:54 +0000 2010	4cc3d289306e224becb7996c	{The Cabin}	{64.9016933154827,-147.75719536416668,Fairbanks,AK,United States}	{Arts & Entertainment,}
1094	Wed Dec 29 23:46:01 +0000 2010	4cc0a642d363721e374155c9	{Holistic Medical Clinic}	{64.846422,-147.70606,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Tue Dec 28 18:12:53 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Tue Dec 28 07:30:05 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Tue Dec 28 02:50:03 +0000 2010	4b6e2d60f964a520d9af2ce3	{Comic Shop}	{64.846913,-147.698617,Fairbanks,AK,United States}	{Shop & Service,}
1094	Tue Dec 28 02:31:18 +0000 2010	4b52158df964a520906627e3	{Fred Meyer}	{64.85410214244622,-147.69046621926958,Fairbanks,AK,United States}	{Nightlife Spot,Shop & Service,Food & Drink Shop,}
1094	Mon Dec 27 23:33:49 +0000 2010	4cc0a642d363721e374155c9	{Holistic Medical Clinic}	{64.846422,-147.70606,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Mon Dec 27 03:53:09 +0000 2010	4b52158df964a520906627e3	{Fred Meyer}	{64.85410214244622,-147.69046621926958,Fairbanks,AK,United States}	{Nightlife Spot,Shop & Service,Food & Drink Shop,}
1094	Mon Dec 27 03:53:02 +0000 2010	4b52158df964a520906627e3	{Fred Meyer}	{64.85410214244622,-147.69046621926958,Fairbanks,AK,United States}	{Nightlife Spot,Shop & Service,Food & Drink Shop,}
1094	Fri Dec 24 08:08:46 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
